#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Wm-Basic (Pauldrach et al 2002)
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
8.6 35000 -1.75 2.1941 0.7832 0.1651 0.2996 0.0169 0.0439 0.0000
8.6 37500 -1.75 1.4758 2.1081 0.1257 0.3116 0.0223 0.0578 0.0000
8.6 40000 -1.75 0.9934 4.4172 0.1289 0.3508 0.0226 0.0586 0.0000
8.6 45000 -1.75 0.9856 5.9774 0.1409 0.3812 0.0228 0.0590 0.0000
8.6 50000 -1.75 0.8795 7.6142 0.1682 0.3729 0.0228 0.0588 0.0013
8.6 55000 -1.75 0.9577 9.3543 0.1795 0.4100 0.0229 0.0592 0.0000
8.6 60000 -1.75 0.8861 10.8153 0.2222 0.3751 0.0224 0.0577 0.0026
8.6 30000 -1.50 0.6929 0.0110 0.1003 0.1167 0.0030 0.0078 0.0000
8.6 32500 -1.50 1.6241 0.1615 0.1264 0.2243 0.0087 0.0227 0.0000
8.6 35000 -1.50 2.1102 1.1207 0.1175 0.3125 0.0186 0.0485 0.0000
8.6 37500 -1.50 1.2471 2.6817 0.0920 0.3204 0.0223 0.0581 0.0000
8.6 40000 -1.50 0.7957 5.2908 0.1012 0.3511 0.0226 0.0585 0.0000
8.6 45000 -1.50 0.7784 7.0863 0.1125 0.3704 0.0228 0.0589 0.0000
8.6 50000 -1.50 0.6929 8.9327 0.1350 0.3457 0.0227 0.0586 0.0017
8.6 55000 -1.50 0.7403 10.8325 0.1433 0.3755 0.0229 0.0592 0.0000
8.6 60000 -1.50 0.6858 12.4305 0.1751 0.3309 0.0223 0.0575 0.0034
8.9 30000 -4.00 0.0000 0.0000 0.0010 0.0000 0.0000 0.0000 0.0000
8.9 35000 -4.00 0.0088 0.0000 0.0385 0.0022 0.0071 0.0202 0.0000
8.9 37500 -4.00 0.0138 0.0000 0.0603 0.0047 0.0103 0.0282 0.0000
8.9 40000 -4.00 0.0344 0.0010 0.1182 0.0134 0.0132 0.0351 0.0000
8.9 45000 -4.00 0.0734 0.0030 0.2069 0.0286 0.0203 0.0539 0.0000
8.9 50000 -4.00 0.0855 0.0062 0.2252 0.0324 0.0218 0.0581 0.0000
8.9 55000 -4.00 0.3097 0.0085 0.6855 0.0586 0.0253 0.0666 0.0000
8.9 60000 -4.00 0.4482 0.0183 0.9265 0.0611 0.0259 0.0679 0.0000
8.9 30000 -3.75 0.0000 0.0000 0.0016 0.0000 0.0000 0.0016 0.0000
8.9 32500 -3.75 0.0024 0.0000 0.0089 0.0000 0.0026 0.0076 0.0000
8.9 35000 -3.75 0.0108 0.0000 0.0470 0.0044 0.0094 0.0266 0.0000
8.9 37500 -3.75 0.0185 0.0000 0.0708 0.0091 0.0121 0.0332 0.0000
8.9 40000 -3.75 0.0585 0.0046 0.1616 0.0306 0.0214 0.0570 0.0000
8.9 45000 -3.75 0.1025 0.0113 0.2097 0.0481 0.0220 0.0583 0.0000
8.9 50000 -3.75 0.2786 0.0163 0.5451 0.0626 0.0241 0.0635 0.0000
8.9 55000 -3.75 0.5169 0.0333 0.7591 0.0959 0.0250 0.0658 0.0000
8.9 60000 -3.75 0.7322 0.0694 1.0259 0.1011 0.0253 0.0663 0.0000
8.9 30000 -3.50 0.0000 0.0000 0.0028 0.0000 0.0000 0.0027 0.0000
8.9 32500 -3.50 0.0031 0.0000 0.0135 0.0014 0.0038 0.0114 0.0000
8.9 32500 -3.50 0.0031 0.0000 0.0135 0.0014 0.0038 0.0114 0.0000
8.9 35000 -3.50 0.0164 0.0000 0.0631 0.0096 0.0117 0.0331 0.0000
8.9 37500 -3.50 0.0322 0.0019 0.0918 0.0192 0.0136 0.0372 0.0000
8.9 40000 -3.50 0.0895 0.0186 0.1644 0.0516 0.0211 0.0561 0.0000
8.9 45000 -3.50 0.2646 0.0241 0.4191 0.0760 0.0233 0.0615 0.0000
8.9 50000 -3.50 0.4537 0.0664 0.5877 0.1044 0.0240 0.0632 0.0000
8.9 55000 -3.50 0.8325 0.1354 0.7903 0.1557 0.0246 0.0645 0.0000
8.9 60000 -3.50 1.1095 0.2563 1.0568 0.1636 0.0247 0.0645 0.0000
8.9 30000 -3.25 0.0011 0.0000 0.0060 0.0000 0.0014 0.0044 0.0000
8.9 32500 -3.25 0.0063 0.0000 0.0269 0.0042 0.0054 0.0159 0.0000
8.9 35000 -3.25 0.0461 0.0019 0.1173 0.0285 0.0162 0.0442 0.0000
8.9 37500 -3.25 0.0829 0.0117 0.1482 0.0508 0.0201 0.0537 0.0000
8.9 40000 -3.25 0.2175 0.0380 0.3123 0.0799 0.0227 0.0599 0.0000
8.9 45000 -3.25 0.4477 0.1035 0.4426 0.1298 0.0234 0.0615 0.0000
8.9 50000 -3.25 0.6974 0.2383 0.5895 0.1658 0.0238 0.0625 0.0000
8.9 55000 -3.25 1.2160 0.4520 0.7547 0.2350 0.0242 0.0633 0.0000
8.9 60000 -3.25 1.4724 0.7373 0.9949 0.2427 0.0241 0.0629 0.0012
8.9 30000 -3.00 0.0041 0.0000 0.0156 0.0023 0.0021 0.0066 0.0000
8.9 32500 -3.00 0.0436 0.0000 0.1059 0.0254 0.0112 0.0300 0.0000
8.9 35000 -3.00 0.1094 0.0085 0.1584 0.0613 0.0196 0.0521 0.0000
8.9 37500 -3.00 0.1135 0.0187 0.1811 0.0612 0.0201 0.0533 0.0000
8.9 40000 -3.00 0.3642 0.1342 0.3220 0.1324 0.0229 0.0602 0.0000
8.9 45000 -3.00 0.6675 0.3084 0.4175 0.1919 0.0234 0.0613 0.0000
8.9 50000 -3.00 0.9056 0.5774 0.5255 0.2257 0.0237 0.0619 0.0000
8.9 55000 -3.00 1.4469 1.0133 0.6417 0.3036 0.0239 0.0623 0.0000
8.9 60000 -3.00 1.6249 1.4942 0.8471 0.3132 0.0237 0.0617 0.0014
8.9 30000 -2.75 0.0329 0.0000 0.0739 0.0170 0.0051 0.0137 0.0000
8.9 32500 -2.75 0.1160 0.0027 0.1620 0.0571 0.0128 0.0340 0.0000
8.9 35000 -2.75 0.1602 0.0146 0.1884 0.0755 0.0125 0.0331 0.0000
8.9 37500 -2.75 0.2299 0.0700 0.2078 0.1118 0.0208 0.0550 0.0000
8.9 40000 -2.75 0.5250 0.3116 0.2903 0.1823 0.0230 0.0604 0.0000
8.9 45000 -2.75 0.8189 0.6173 0.3479 0.2385 0.0233 0.0611 0.0000
8.9 50000 -2.75 0.9927 1.0498 0.4293 0.2701 0.0235 0.0615 0.0000
8.9 55000 -2.75 1.4542 1.7412 0.5097 0.3519 0.0237 0.0618 0.0000
8.9 60000 -2.75 1.5462 2.4309 0.6776 0.3668 0.0234 0.0610 0.0015
8.9 30000 -2.50 0.0020 0.0000 0.0054 0.0028 0.0020 0.0064 0.0000
8.9 32500 -2.50 0.1590 0.0035 0.1822 0.0732 0.0050 0.0132 0.0000
8.9 35000 -2.50 0.3366 0.0457 0.2207 0.1341 0.0128 0.0338 0.0000
8.9 37500 -2.50 0.3752 0.1655 0.2023 0.1641 0.0214 0.0564 0.0000
8.9 40000 -2.50 0.6401 0.5466 0.2347 0.2172 0.0230 0.0605 0.0000
8.9 45000 -2.50 0.8602 1.0126 0.2715 0.2705 0.0233 0.0611 0.0000
8.9 50000 -2.50 0.9481 1.6441 0.3366 0.3035 0.0234 0.0612 0.0000
8.9 55000 -2.50 1.2890 2.6019 0.3930 0.3868 0.0235 0.0614 0.0000
8.9 60000 -2.50 1.3230 3.4953 0.5259 0.4047 0.0233 0.0604 0.0016
8.9 30000 -2.25 0.0012 0.0000 0.0083 0.0037 0.0037 0.0118 0.0000
8.9 32500 -2.25 0.2866 0.0087 0.1927 0.1178 0.0053 0.0141 0.0000
8.9 35000 -2.25 0.5517 0.0978 0.2132 0.1931 0.0135 0.0354 0.0000
8.9 37500 -2.25 0.5298 0.2851 0.1735 0.2067 0.0219 0.0576 0.0000
8.9 40000 -2.25 0.6842 0.8488 0.1815 0.2431 0.0231 0.0606 0.0000
8.9 45000 -2.25 0.7993 1.5122 0.2081 0.2953 0.0233 0.0610 0.0000
8.9 50000 -2.25 0.8261 2.3562 0.2614 0.3300 0.0233 0.0610 0.0000
8.9 55000 -2.25 1.0538 3.5589 0.3010 0.4104 0.0234 0.0611 0.0000
8.9 60000 -2.25 1.0582 4.6211 0.4023 0.4223 0.0231 0.0600 0.0018
8.9 30000 -2.00 0.0015 0.0000 0.0094 0.0051 0.0045 0.0145 0.0000
8.9 32500 -2.00 0.4070 0.0174 0.1697 0.1560 0.0059 0.0156 0.0000
8.9 35000 -2.00 0.7438 0.1634 0.1783 0.2390 0.0145 0.0382 0.0000
8.9 37500 -2.00 0.7005 0.4127 0.1387 0.2409 0.0224 0.0588 0.0000
8.9 40000 -2.00 0.6486 1.2382 0.1392 0.2635 0.0231 0.0607 0.0000
8.9 45000 -2.00 0.6976 2.1125 0.1610 0.3175 0.0233 0.0610 0.0000
8.9 50000 -2.00 0.6866 3.1732 0.2043 0.3467 0.0233 0.0608 0.0000
8.9 55000 -2.00 0.8310 4.5881 0.2322 0.4193 0.0234 0.0610 0.0000
8.9 60000 -2.00 0.8224 5.7998 0.3077 0.4169 0.0230 0.0597 0.0020
8.9 30000 -1.75 0.0041 0.0000 0.0108 0.0091 0.0045 0.0141 0.0000
8.9 32500 -1.75 0.5034 0.0306 0.1355 0.1840 0.0068 0.0180 0.0000
8.9 35000 -1.75 0.9004 0.2330 0.1382 0.2706 0.0160 0.0421 0.0000
8.9 37500 -1.75 0.8704 0.5531 0.1071 0.2670 0.0227 0.0597 0.0000
8.9 40000 -1.75 0.5586 1.7365 0.1095 0.2806 0.0231 0.0607 0.0000
8.9 45000 -1.75 0.5907 2.8237 0.1276 0.3340 0.0233 0.0609 0.0000
8.9 50000 -1.75 0.5635 4.1004 0.1629 0.3499 0.0232 0.0606 0.0011
8.9 55000 -1.75 0.6540 5.7111 0.1826 0.4114 0.0233 0.0609 0.0000
8.9 60000 -1.75 0.6407 7.0811 0.2389 0.3919 0.0229 0.0595 0.0024
8.9 30000 -1.50 0.1803 0.0035 0.0730 0.0957 0.0028 0.0076 0.0000
8.9 32500 -1.50 0.5828 0.0490 0.1040 0.2041 0.0081 0.0214 0.0000
8.9 35000 -1.50 1.0453 0.3074 0.1043 0.2926 0.0178 0.0468 0.0000
8.9 37500 -1.50 0.9553 0.7416 0.0813 0.2797 0.0228 0.0602 0.0000
8.9 40000 -1.50 0.4889 2.3112 0.0889 0.2959 0.0231 0.0607 0.0000
8.9 45000 -1.50 0.4973 3.6508 0.1047 0.3403 0.0232 0.0608 0.0000
8.9 50000 -1.50 0.4668 5.1793 0.1336 0.3396 0.0232 0.0604 0.0015
8.9 55000 -1.50 0.5243 7.0036 0.1478 0.3894 0.0233 0.0608 0.0000
8.9 60000 -1.50 0.5106 8.5643 0.1904 0.3556 0.0228 0.0592 0.0030
