#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Wm-Basic (Pauldrach et al 2002)
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.4 30000 -3.50 0.6226 0.0000 0.1872 0.0045 0.0011 0.0030 0.0000
7.4 32500 -3.50 0.9277 0.0000 0.2460 0.0097 0.0040 0.0103 0.0000
7.4 35000 -3.50 1.1532 0.0029 0.2538 0.0171 0.0109 0.0279 0.0000
7.4 37500 -3.50 1.2403 0.0151 0.2285 0.0239 0.0178 0.0455 0.0000
7.4 40000 -3.50 1.3226 0.0668 0.1991 0.0328 0.0212 0.0543 0.0000
7.4 45000 -3.50 1.3703 0.0998 0.1886 0.0371 0.0220 0.0562 0.0000
7.4 50000 -3.50 1.3368 0.1736 0.1914 0.0386 0.0224 0.0572 0.0000
7.4 55000 -3.50 1.3600 0.1924 0.1852 0.0407 0.0228 0.0583 0.0000
7.4 60000 -3.50 1.2786 0.2767 0.2115 0.0377 0.0226 0.0576 0.0012
7.4 30000 -3.25 0.7095 0.0000 0.1794 0.0074 0.0012 0.0031 0.0000
7.4 32500 -3.25 1.0929 0.0000 0.2299 0.0155 0.0041 0.0107 0.0000
7.4 35000 -3.25 1.3635 0.0084 0.2248 0.0256 0.0113 0.0291 0.0000
7.4 37500 -3.25 1.4476 0.0461 0.1901 0.0339 0.0188 0.0480 0.0000
7.4 40000 -3.25 1.4526 0.1914 0.1554 0.0435 0.0213 0.0546 0.0000
7.4 45000 -3.25 1.4562 0.2792 0.1441 0.0479 0.0219 0.0559 0.0000
7.4 50000 -3.25 1.3253 0.4383 0.1463 0.0492 0.0221 0.0565 0.0000
7.4 55000 -3.25 1.3306 0.4828 0.1405 0.0512 0.0223 0.0571 0.0000
7.4 60000 -3.25 1.1743 0.6262 0.1636 0.0483 0.0220 0.0561 0.0014
7.4 30000 -3.00 0.7786 0.0000 0.1610 0.0114 0.0012 0.0032 0.0000
7.4 32500 -3.00 1.2630 0.0017 0.2010 0.0231 0.0043 0.0111 0.0000
7.4 35000 -3.00 1.5937 0.0237 0.1865 0.0359 0.0118 0.0303 0.0000
7.4 37500 -3.00 1.6270 0.1285 0.1484 0.0449 0.0195 0.0499 0.0000
7.4 40000 -3.00 1.4401 0.4602 0.1152 0.0543 0.0213 0.0546 0.0000
7.4 45000 -3.00 1.3675 0.6248 0.1060 0.0583 0.0217 0.0556 0.0000
7.4 50000 -3.00 1.1378 0.8686 0.1079 0.0592 0.0218 0.0558 0.0000
7.4 55000 -3.00 1.1262 0.9385 0.1037 0.0611 0.0219 0.0562 0.0000
7.4 60000 -3.00 0.9349 1.1087 0.1221 0.0582 0.0215 0.0550 0.0015
7.4 30000 -2.75 0.8151 0.0000 0.1329 0.0160 0.0013 0.0034 0.0000
7.4 32500 -2.75 1.4162 0.0042 0.1626 0.0316 0.0046 0.0118 0.0000
7.4 35000 -2.75 1.8170 0.0617 0.1451 0.0467 0.0124 0.0318 0.0000
7.4 37500 -2.75 1.7125 0.3063 0.1101 0.0556 0.0201 0.0514 0.0000
7.4 40000 -2.75 1.2589 0.8796 0.0827 0.0642 0.0213 0.0546 0.0000
7.4 45000 -2.75 1.1267 1.1089 0.0761 0.0677 0.0216 0.0553 0.0000
7.4 50000 -2.75 0.8663 1.3841 0.0780 0.0680 0.0216 0.0552 0.0000
7.4 55000 -2.75 0.8488 1.4711 0.0753 0.0696 0.0216 0.0556 0.0000
7.4 60000 -2.75 0.6765 1.6263 0.0892 0.0663 0.0211 0.0541 0.0016
7.4 30000 -2.50 0.8249 0.0000 0.1020 0.0204 0.0014 0.0037 0.0000
7.4 32500 -2.50 1.5246 0.0100 0.1221 0.0393 0.0050 0.0129 0.0000
7.4 35000 -2.50 1.9796 0.1457 0.1067 0.0568 0.0133 0.0341 0.0000
7.4 37500 -2.50 1.6418 0.6090 0.0784 0.0652 0.0205 0.0525 0.0000
7.4 40000 -2.50 0.9906 1.3721 0.0586 0.0726 0.0213 0.0545 0.0000
7.4 45000 -2.50 0.8466 1.6366 0.0544 0.0757 0.0215 0.0550 0.0000
7.4 50000 -2.50 0.6176 1.8985 0.0561 0.0747 0.0214 0.0548 0.0000
7.4 55000 -2.50 0.6024 2.0009 0.0546 0.0759 0.0214 0.0550 0.0000
7.4 60000 -2.50 0.4705 2.1278 0.0646 0.0713 0.0208 0.0533 0.0017
7.4 30000 -2.25 0.8119 0.0000 0.0734 0.0238 0.0016 0.0043 0.0000
7.4 32500 -2.25 1.5843 0.0229 0.0871 0.0454 0.0057 0.0146 0.0000
7.4 35000 -2.25 2.0233 0.3008 0.0756 0.0650 0.0145 0.0373 0.0000
7.4 37500 -2.25 1.4242 1.0065 0.0547 0.0730 0.0208 0.0533 0.0000
7.4 40000 -2.25 0.7323 1.8517 0.0418 0.0793 0.0212 0.0544 0.0000
7.4 45000 -2.25 0.6094 2.1384 0.0393 0.0815 0.0213 0.0548 0.0000
7.4 50000 -2.25 0.4329 2.3789 0.0409 0.0783 0.0212 0.0544 0.0010
7.4 55000 -2.25 0.4217 2.5018 0.0402 0.0793 0.0212 0.0547 0.0000
7.4 60000 -2.25 0.3275 2.6062 0.0471 0.0724 0.0206 0.0527 0.0019
7.4 30000 -2.00 0.7842 0.0022 0.0506 0.0259 0.0020 0.0051 0.0000
7.4 32500 -2.00 1.5962 0.0497 0.0603 0.0495 0.0066 0.0171 0.0000
7.4 35000 -2.00 1.9146 0.5446 0.0526 0.0713 0.0161 0.0414 0.0000
7.4 37500 -2.00 1.1366 1.4302 0.0380 0.0789 0.0209 0.0537 0.0000
7.4 40000 -2.00 0.5293 2.2789 0.0303 0.0835 0.0211 0.0544 0.0000
7.4 45000 -2.00 0.4366 2.5943 0.0291 0.0845 0.0213 0.0547 0.0000
7.4 50000 -2.00 0.3080 2.8225 0.0305 0.0784 0.0211 0.0542 0.0012
7.4 55000 -2.00 0.3004 2.9734 0.0303 0.0791 0.0211 0.0545 0.0000
7.4 60000 -2.00 0.2342 3.0652 0.0352 0.0696 0.0204 0.0523 0.0023
7.4 30000 -1.75 0.7491 0.0051 0.0340 0.0268 0.0024 0.0062 0.0000
7.4 32500 -1.75 1.5645 0.1010 0.0413 0.0520 0.0079 0.0204 0.0000
7.4 35000 -1.75 1.6723 0.8665 0.0365 0.0759 0.0178 0.0457 0.0000
7.4 37500 -1.75 0.8601 1.8226 0.0270 0.0830 0.0209 0.0538 0.0000
7.4 40000 -1.75 0.3845 2.6536 0.0227 0.0851 0.0211 0.0543 0.0000
7.4 45000 -1.75 0.3184 3.0065 0.0223 0.0844 0.0212 0.0546 0.0000
7.4 50000 -1.75 0.2257 3.2330 0.0236 0.0749 0.0209 0.0540 0.0016
7.4 55000 -1.75 0.2210 3.4206 0.0237 0.0754 0.0210 0.0544 0.0000
7.4 60000 -1.75 0.1739 3.5072 0.0272 0.0638 0.0202 0.0519 0.0030
7.4 30000 -1.50 0.7100 0.0116 0.0226 0.0266 0.0030 0.0079 0.0000
7.4 32500 -1.50 1.4847 0.1913 0.0284 0.0534 0.0094 0.0244 0.0000
7.4 35000 -1.50 1.3587 1.2329 0.0255 0.0792 0.0192 0.0495 0.0000
7.4 37500 -1.50 0.6364 2.1676 0.0197 0.0854 0.0208 0.0538 0.0000
7.4 40000 -1.50 0.2850 2.9932 0.0176 0.0839 0.0209 0.0541 0.0000
7.4 45000 -1.50 0.2382 3.3876 0.0177 0.0811 0.0211 0.0544 0.0000
7.4 50000 -1.50 0.1710 3.6163 0.0190 0.0684 0.0208 0.0538 0.0022
7.4 55000 -1.50 0.1684 3.8454 0.0192 0.0691 0.0209 0.0543 0.0000
7.4 60000 -1.50 0.1341 3.9268 0.0218 0.0562 0.0200 0.0515 0.0040
7.7 30000 -4.00 0.6596 0.0000 0.3136 0.0025 0.0010 0.0026 0.0000
7.7 32500 -4.00 0.9976 0.0000 0.4351 0.0059 0.0034 0.0088 0.0000
7.7 35000 -4.00 1.2930 0.0000 0.5000 0.0117 0.0088 0.0228 0.0000
7.7 37500 -4.00 1.4365 0.0024 0.5066 0.0178 0.0150 0.0385 0.0000
7.7 40000 -4.00 1.6505 0.0110 0.5152 0.0284 0.0206 0.0527 0.0000
7.7 45000 -4.00 1.7778 0.0170 0.5197 0.0347 0.0221 0.0566 0.0000
7.7 50000 -4.00 1.8515 0.0317 0.5416 0.0374 0.0232 0.0593 0.0000
7.7 55000 -4.00 1.9293 0.0362 0.5411 0.0417 0.0241 0.0617 0.0000
7.7 60000 -4.00 1.9489 0.0572 0.5975 0.0370 0.0243 0.0620 0.0000
7.7 30000 -3.75 0.7875 0.0000 0.3197 0.0044 0.0011 0.0029 0.0000
7.7 32500 -3.75 1.1863 0.0000 0.4344 0.0098 0.0038 0.0099 0.0000
7.7 35000 -3.75 1.5374 0.0016 0.4818 0.0189 0.0101 0.0259 0.0000
7.7 37500 -3.75 1.7106 0.0078 0.4683 0.0281 0.0166 0.0425 0.0000
7.7 40000 -3.75 1.9550 0.0362 0.4492 0.0424 0.0211 0.0541 0.0000
7.7 45000 -3.75 2.0979 0.0558 0.4414 0.0502 0.0222 0.0568 0.0000
7.7 50000 -3.75 2.1582 0.1026 0.4557 0.0534 0.0229 0.0586 0.0000
7.7 55000 -3.75 2.2460 0.1168 0.4490 0.0581 0.0235 0.0603 0.0000
7.7 60000 -3.75 2.2262 0.1799 0.5051 0.0529 0.0235 0.0600 0.0000
