#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 0.100 -0.98 0.0033 3.2874 0.0000 0.0044 0.0148 0.0385 0.0101 0.1100 0.0193 0.0014
7.1 0.050 -0.77 0.0010 2.8905 0.0000 0.0020 0.0112 0.0291 0.0076 0.2171 0.0190 0.0000
7.1 0.020 -0.51 0.0000 1.9108 0.0000 0.0000 0.0042 0.0111 0.0029 0.4999 0.0182 0.0000
7.1 0.013 -0.34 0.0000 1.1059 0.0000 0.0000 0.0012 0.0033 0.0000 0.7590 0.0174 0.0000
7.4 1.000 -4.01 1.0376 0.0475 0.3251 0.0196 0.0247 0.0632 0.0179 0.0010 0.0000 0.0139
7.4 0.813 -4.00 1.1246 0.0570 0.2539 0.0219 0.0215 0.0547 0.0154 0.0011 0.0000 0.0137
7.4 0.511 -3.99 1.1984 0.0777 0.2336 0.0245 0.0207 0.0528 0.0149 0.0014 0.0000 0.0139
7.4 0.212 -3.97 1.3000 0.1011 0.2372 0.0275 0.0213 0.0543 0.0153 0.0022 0.0000 0.0150
7.4 0.131 -3.97 1.2212 0.0978 0.2186 0.0260 0.0197 0.0502 0.0141 0.0026 0.0000 0.0141
7.4 0.056 -3.97 1.2561 0.0994 0.2214 0.0268 0.0197 0.0498 0.0140 0.0036 0.0000 0.0144
7.4 0.032 -3.97 1.1211 0.0874 0.1963 0.0239 0.0174 0.0440 0.0123 0.0042 0.0000 0.0128
7.4 0.013 -3.97 0.8437 0.0665 0.1467 0.0180 0.0131 0.0333 0.0094 0.0061 0.0000 0.0097
7.4 1.000 -3.75 1.1578 0.1640 0.2678 0.0288 0.0237 0.0606 0.0171 0.0013 0.0000 0.0157
7.4 0.804 -3.74 1.2536 0.1987 0.2069 0.0327 0.0211 0.0537 0.0151 0.0015 0.0000 0.0158
7.4 0.530 -3.72 1.2953 0.2648 0.1872 0.0364 0.0207 0.0526 0.0148 0.0019 0.0000 0.0164
7.4 0.249 -3.69 1.2887 0.3283 0.1753 0.0387 0.0202 0.0514 0.0144 0.0028 0.0000 0.0167
7.4 0.124 -3.68 1.2732 0.3400 0.1686 0.0387 0.0196 0.0500 0.0141 0.0040 0.0000 0.0166
7.4 0.056 -3.68 1.3128 0.3473 0.1704 0.0398 0.0196 0.0497 0.0139 0.0056 0.0000 0.0170
7.4 0.032 -3.68 1.1704 0.3058 0.1503 0.0354 0.0173 0.0437 0.0122 0.0066 0.0000 0.0151
7.4 0.013 -3.68 0.8734 0.2314 0.1115 0.0265 0.0129 0.0329 0.0092 0.0094 0.0000 0.0112
7.4 1.000 -3.51 1.1195 0.4481 0.2117 0.0392 0.0229 0.0584 0.0165 0.0016 0.0000 0.0175
7.4 0.786 -3.48 1.1815 0.5591 0.1546 0.0453 0.0208 0.0529 0.0149 0.0019 0.0000 0.0182
7.4 0.485 -3.45 1.1065 0.7571 0.1322 0.0506 0.0206 0.0523 0.0147 0.0027 0.0000 0.0190
7.4 0.224 -3.41 1.0247 0.8863 0.1205 0.0528 0.0201 0.0512 0.0143 0.0044 0.0000 0.0194
7.4 0.118 -3.39 0.9995 0.9053 0.1152 0.0526 0.0195 0.0497 0.0139 0.0061 0.0000 0.0192
7.4 0.055 -3.38 1.0305 0.9336 0.1160 0.0541 0.0196 0.0496 0.0138 0.0087 0.0000 0.0197
7.4 0.032 -3.38 0.9127 0.8216 0.1013 0.0477 0.0171 0.0433 0.0120 0.0107 0.0000 0.0173
7.4 0.013 -3.38 0.6721 0.6159 0.0743 0.0354 0.0127 0.0322 0.0090 0.0148 0.0000 0.0128
7.4 1.000 -3.27 0.8930 0.9408 0.1572 0.0502 0.0221 0.0566 0.0159 0.0018 0.0000 0.0195
7.4 0.779 -3.22 0.8580 1.1824 0.1030 0.0581 0.0206 0.0524 0.0147 0.0023 0.0000 0.0206
7.4 0.488 -3.16 0.6537 1.5168 0.0809 0.0637 0.0204 0.0521 0.0146 0.0035 0.0000 0.0216
7.4 0.205 -3.09 0.5131 1.7238 0.0675 0.0659 0.0199 0.0508 0.0142 0.0068 0.0000 0.0219
7.4 0.098 -3.05 0.4749 1.7528 0.0621 0.0652 0.0191 0.0488 0.0136 0.0105 0.0000 0.0216
7.4 0.062 -3.04 0.4607 1.7295 0.0594 0.0639 0.0184 0.0469 0.0130 0.0132 0.0000 0.0211
7.4 0.026 -3.02 0.4661 1.7535 0.0589 0.0645 0.0182 0.0461 0.0128 0.0201 0.0000 0.0213
7.4 0.020 -3.02 0.3858 1.4506 0.0482 0.0532 0.0149 0.0377 0.0104 0.0231 0.0000 0.0176
7.4 1.000 -3.03 0.6504 1.4805 0.1146 0.0578 0.0216 0.0552 0.0155 0.0021 0.0000 0.0207
7.4 0.764 -2.97 0.5107 1.8708 0.0623 0.0665 0.0203 0.0519 0.0145 0.0027 0.0000 0.0220
7.4 0.490 -2.88 0.3061 2.2481 0.0434 0.0706 0.0203 0.0519 0.0144 0.0041 0.0014 0.0226
7.4 0.199 -2.75 0.1952 2.5368 0.0304 0.0713 0.0198 0.0505 0.0140 0.0093 0.0021 0.0224
7.4 0.101 -2.68 0.1685 2.6047 0.0262 0.0699 0.0191 0.0488 0.0135 0.0161 0.0024 0.0219
7.4 0.053 -2.63 0.1518 2.5292 0.0232 0.0662 0.0177 0.0452 0.0125 0.0243 0.0025 0.0207
7.4 0.019 -2.60 0.1365 2.3824 0.0204 0.0612 0.0160 0.0407 0.0112 0.0405 0.0024 0.0192
7.4 0.014 -2.59 0.1241 2.1782 0.0185 0.0557 0.0144 0.0366 0.0100 0.0512 0.0022 0.0175
7.4 1.000 -2.78 0.4857 1.9716 0.0860 0.0593 0.0211 0.0542 0.0151 0.0025 0.0021 0.0203
7.4 0.763 -2.72 0.2997 2.4603 0.0380 0.0667 0.0201 0.0515 0.0143 0.0033 0.0027 0.0212
7.4 0.477 -2.61 0.1455 2.8948 0.0218 0.0674 0.0202 0.0516 0.0143 0.0052 0.0040 0.0208
7.4 0.189 -2.41 0.0765 3.2966 0.0112 0.0617 0.0195 0.0499 0.0138 0.0125 0.0064 0.0181
7.4 0.103 -2.30 0.0607 3.4275 0.0083 0.0575 0.0187 0.0479 0.0131 0.0219 0.0076 0.0165
7.4 0.049 -2.20 0.0488 3.3929 0.0062 0.0516 0.0170 0.0435 0.0119 0.0414 0.0084 0.0145
7.4 0.020 -2.13 0.0395 3.0981 0.0048 0.0444 0.0143 0.0366 0.0100 0.0735 0.0081 0.0124
7.4 0.013 -2.10 0.0343 2.8052 0.0041 0.0395 0.0126 0.0320 0.0087 0.1015 0.0075 0.0110
7.4 1.000 -2.54 0.3828 2.3757 0.0685 0.0567 0.0208 0.0533 0.0148 0.0032 0.0038 0.0190
7.4 0.806 -2.49 0.2218 2.8397 0.0283 0.0617 0.0199 0.0509 0.0141 0.0039 0.0047 0.0194
7.4 0.506 -2.37 0.0902 3.3549 0.0130 0.0590 0.0200 0.0511 0.0141 0.0062 0.0070 0.0177
7.4 0.228 -2.17 0.0439 3.8308 0.0054 0.0486 0.0194 0.0498 0.0137 0.0135 0.0106 0.0136
7.4 0.102 -1.99 0.0280 4.1600 0.0026 0.0389 0.0185 0.0474 0.0129 0.0294 0.0136 0.0103
7.4 0.055 -1.85 0.0206 4.1423 0.0000 0.0314 0.0166 0.0427 0.0116 0.0531 0.0147 0.0081
7.4 0.021 -1.68 0.0138 3.7717 0.0000 0.0233 0.0126 0.0323 0.0087 0.1262 0.0149 0.0059
7.4 0.013 -1.61 0.0105 3.2027 0.0000 0.0188 0.0095 0.0244 0.0066 0.1900 0.0134 0.0047
7.4 1.000 -2.29 0.3109 2.7179 0.0567 0.0526 0.0204 0.0526 0.0146 0.0043 0.0055 0.0176
7.4 0.808 -2.24 0.1524 3.2135 0.0202 0.0557 0.0196 0.0503 0.0139 0.0053 0.0068 0.0175
7.4 0.517 -2.13 0.0603 3.7573 0.0079 0.0500 0.0197 0.0505 0.0139 0.0082 0.0099 0.0148
7.4 0.217 -1.91 0.0262 4.3631 0.0025 0.0356 0.0191 0.0491 0.0134 0.0191 0.0148 0.0096
7.4 0.108 -1.72 0.0161 4.6368 0.0000 0.0252 0.0179 0.0461 0.0125 0.0378 0.0177 0.0066
7.4 0.051 -1.53 0.0101 4.6473 0.0000 0.0167 0.0157 0.0404 0.0109 0.0775 0.0194 0.0044
7.4 0.022 -1.33 0.0061 4.1869 0.0000 0.0105 0.0114 0.0294 0.0078 0.1714 0.0195 0.0028
7.4 0.013 -1.20 0.0040 3.4530 0.0000 0.0077 0.0072 0.0185 0.0049 0.2879 0.0184 0.0021
7.4 1.000 -2.10 0.2681 2.9558 0.0498 0.0490 0.0202 0.0519 0.0144 0.0055 0.0069 0.0164
7.4 0.750 -2.03 0.0920 3.5961 0.0123 0.0497 0.0194 0.0498 0.0137 0.0073 0.0091 0.0155
7.4 0.472 -1.91 0.0399 4.1341 0.0047 0.0414 0.0194 0.0498 0.0137 0.0115 0.0127 0.0120
7.4 0.189 -1.67 0.0171 4.7749 0.0000 0.0258 0.0187 0.0480 0.0130 0.0281 0.0181 0.0069
7.4 0.094 -1.48 0.0102 4.9755 0.0000 0.0164 0.0172 0.0442 0.0119 0.0554 0.0207 0.0044
7.4 0.048 -1.29 0.0061 4.8023 0.0000 0.0097 0.0145 0.0375 0.0100 0.1073 0.0217 0.0027
7.4 0.019 -1.05 0.0031 3.9316 0.0000 0.0048 0.0089 0.0229 0.0061 0.2506 0.0212 0.0015
7.4 0.012 -0.90 0.0010 3.0442 0.0000 0.0034 0.0045 0.0117 0.0031 0.4220 0.0209 0.0011
7.4 1.000 -1.79 0.2180 3.2858 0.0416 0.0432 0.0197 0.0509 0.0141 0.0081 0.0089 0.0146
7.4 0.784 -1.74 0.0713 3.8875 0.0098 0.0423 0.0190 0.0489 0.0134 0.0104 0.0113 0.0134
7.4 0.497 -1.63 0.0287 4.5057 0.0030 0.0328 0.0190 0.0488 0.0133 0.0163 0.0156 0.0095
7.4 0.196 -1.38 0.0112 5.1639 0.0000 0.0172 0.0179 0.0461 0.0125 0.0406 0.0213 0.0046
7.4 0.100 -1.19 0.0064 5.2506 0.0000 0.0096 0.0162 0.0418 0.0112 0.0782 0.0234 0.0027
7.4 0.051 -0.99 0.0035 4.7979 0.0000 0.0047 0.0131 0.0337 0.0090 0.1501 0.0236 0.0015
7.4 0.020 -0.71 0.0000 3.2435 0.0000 0.0017 0.0058 0.0149 0.0039 0.3626 0.0218 0.0000
7.4 0.013 -0.56 0.0000 2.2525 0.0000 0.0011 0.0023 0.0060 0.0016 0.5723 0.0224 0.0000
7.4 1.000 -1.55 0.1879 3.5238 0.0366 0.0388 0.0194 0.0500 0.0138 0.0113 0.0105 0.0132
7.4 0.779 -1.49 0.0529 4.1611 0.0072 0.0361 0.0187 0.0480 0.0132 0.0144 0.0133 0.0115
7.4 0.493 -1.38 0.0216 4.8292 0.0011 0.0262 0.0185 0.0477 0.0130 0.0227 0.0180 0.0076
7.4 0.196 -1.14 0.0083 5.4786 0.0000 0.0122 0.0173 0.0445 0.0119 0.0563 0.0236 0.0034
7.4 0.100 -0.95 0.0045 5.3821 0.0000 0.0060 0.0152 0.0392 0.0104 0.1084 0.0251 0.0019
7.4 0.050 -0.74 0.0013 4.5893 0.0000 0.0025 0.0114 0.0293 0.0078 0.2109 0.0242 0.0000
7.4 0.019 -0.46 0.0000 2.6601 0.0000 0.0000 0.0036 0.0093 0.0024 0.4934 0.0223 0.0000
7.4 0.013 -0.31 0.0000 1.6102 0.0000 0.0000 0.0013 0.0033 0.0000 0.7269 0.0222 0.0000
7.7 1.000 -4.01 1.9215 0.0880 0.6284 0.0377 0.0250 0.0639 0.0181 0.0010 0.0000 0.0337
7.7 0.811 -4.00 2.0721 0.1059 0.4875 0.0419 0.0216 0.0551 0.0155 0.0011 0.0000 0.0330
7.7 0.533 -3.99 2.1722 0.1401 0.4472 0.0461 0.0209 0.0533 0.0150 0.0013 0.0000 0.0333
7.7 0.219 -3.97 2.2244 0.1764 0.4260 0.0492 0.0204 0.0519 0.0146 0.0021 0.0000 0.0339
7.7 0.143 -3.97 2.2258 0.1799 0.4193 0.0495 0.0200 0.0508 0.0143 0.0025 0.0000 0.0338
7.7 0.057 -3.97 2.3008 0.1846 0.4246 0.0511 0.0199 0.0504 0.0141 0.0035 0.0000 0.0347
7.7 0.032 -3.97 2.0586 0.1627 0.3767 0.0456 0.0175 0.0445 0.0125 0.0042 0.0000 0.0309
7.7 0.013 -3.97 1.5523 0.1241 0.2822 0.0345 0.0132 0.0336 0.0095 0.0061 0.0000 0.0233
7.7 1.000 -3.75 2.1396 0.3016 0.5184 0.0551 0.0240 0.0613 0.0173 0.0013 0.0000 0.0379
7.7 0.799 -3.73 2.3042 0.3683 0.3967 0.0625 0.0213 0.0543 0.0153 0.0015 0.0000 0.0381
7.7 0.533 -3.71 2.3456 0.4860 0.3570 0.0691 0.0209 0.0532 0.0150 0.0019 0.0000 0.0391
7.7 0.200 -3.69 2.3426 0.6232 0.3341 0.0744 0.0207 0.0526 0.0148 0.0032 0.0000 0.0403
7.7 0.126 -3.68 2.3016 0.6230 0.3219 0.0734 0.0199 0.0506 0.0142 0.0039 0.0000 0.0395
7.7 0.056 -3.68 2.3918 0.6418 0.3268 0.0758 0.0199 0.0504 0.0141 0.0055 0.0000 0.0407
7.7 0.032 -3.68 2.1375 0.5663 0.2884 0.0674 0.0175 0.0443 0.0124 0.0066 0.0000 0.0361
7.7 0.013 -3.68 1.5984 0.4293 0.2142 0.0506 0.0131 0.0333 0.0094 0.0093 0.0000 0.0270
7.7 1.000 -3.51 2.0666 0.8187 0.4102 0.0749 0.0231 0.0591 0.0167 0.0016 0.0000 0.0422
7.7 0.790 -3.48 2.1591 1.0167 0.2974 0.0859 0.0211 0.0536 0.0151 0.0019 0.0000 0.0435
7.7 0.538 -3.45 2.0205 1.3124 0.2570 0.0941 0.0209 0.0531 0.0149 0.0025 0.0000 0.0449
7.7 0.232 -3.41 1.8218 1.5918 0.2286 0.0988 0.0204 0.0519 0.0146 0.0043 0.0000 0.0456
7.7 0.114 -3.39 1.7886 1.6464 0.2193 0.0993 0.0198 0.0505 0.0142 0.0061 0.0000 0.0455
7.7 0.055 -3.38 1.8579 1.7061 0.2219 0.1025 0.0199 0.0504 0.0141 0.0086 0.0000 0.0469
7.7 0.032 -3.38 1.6491 1.5041 0.1936 0.0904 0.0173 0.0439 0.0122 0.0106 0.0000 0.0413
7.7 0.013 -3.38 1.2173 1.1299 0.1424 0.0673 0.0129 0.0328 0.0092 0.0146 0.0000 0.0307
7.7 1.000 -3.26 1.6511 1.7022 0.3041 0.0953 0.0224 0.0574 0.0161 0.0018 0.0000 0.0467
7.7 0.784 -3.22 1.5628 2.1257 0.1974 0.1095 0.0209 0.0531 0.0149 0.0023 0.0000 0.0488
7.7 0.503 -3.16 1.1642 2.6801 0.1537 0.1184 0.0208 0.0530 0.0148 0.0034 0.0000 0.0504
7.7 0.210 -3.08 0.8911 3.0321 0.1265 0.1217 0.0203 0.0517 0.0145 0.0066 0.0000 0.0508
7.7 0.099 -3.05 0.8312 3.1099 0.1170 0.1213 0.0196 0.0499 0.0140 0.0103 0.0011 0.0504
7.7 0.063 -3.04 0.8072 3.0692 0.1120 0.1187 0.0188 0.0477 0.0133 0.0130 0.0011 0.0493
7.7 0.026 -3.02 0.8281 3.1513 0.1120 0.1211 0.0186 0.0472 0.0131 0.0195 0.0011 0.0503
7.7 0.021 -3.02 0.6869 2.6121 0.0918 0.1001 0.0153 0.0387 0.0107 0.0225 0.0000 0.0415
7.7 1.000 -3.02 1.2050 2.6472 0.2208 0.1089 0.0219 0.0561 0.0157 0.0021 0.0016 0.0492
7.7 0.779 -2.96 0.9444 3.2910 0.1205 0.1238 0.0207 0.0529 0.0148 0.0027 0.0021 0.0516
7.7 0.503 -2.88 0.5306 3.8940 0.0809 0.1292 0.0207 0.0528 0.0147 0.0040 0.0029 0.0521
