#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Plane-parallel geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.4 55000.0 -1.75 0.221 3.4206 0.0237 0.0754 0.0544 0.0
7.4 60000.0 -1.75 0.1739 3.5072 0.0272 0.0638 0.0519 0.003
7.4 30000.0 -1.5 0.7579 0.0089 0.0309 0.0271 0.0074 0.0
7.4 32500.0 -1.5 1.4165 0.1227 0.0317 0.0492 0.0192 0.0
7.4 35000.0 -1.5 1.5313 0.8283 0.0265 0.0722 0.0396 0.0
7.4 37500.0 -1.5 0.533 2.0841 0.0192 0.0804 0.0525 0.0
7.4 40000.0 -1.5 0.1985 3.1024 0.0181 0.0746 0.0538 0.0
7.4 45000.0 -1.5 0.1676 3.5067 0.0187 0.0698 0.0543 0.0
7.4 50000.0 -1.5 0.1394 3.662 0.0199 0.0567 0.0535 0.0035
7.4 55000.0 -1.5 0.1684 3.8454 0.0192 0.0691 0.0543 0.0
7.4 60000.0 -1.5 0.1341 3.9268 0.0218 0.0562 0.0515 0.004
7.7 30000.0 -3.5 0.9506 0.0 0.3438 0.0059 0.0029 0.0
7.7 32500.0 -3.5 1.3366 0.0 0.4264 0.0132 0.0079 0.0
7.7 35000.0 -3.5 1.6905 0.0026 0.4474 0.0253 0.019 0.0
7.7 37500.0 -3.5 1.9448 0.0279 0.4114 0.0398 0.0433 0.0
7.7 40000.0 -3.5 2.2252 0.188 0.3755 0.0607 0.0555 0.0
7.7 45000.0 -3.5 2.3271 0.2891 0.3685 0.0689 0.0574 0.0
7.7 50000.0 -3.5 2.2798 0.4215 0.3816 0.0714 0.0584 0.0
7.7 55000.0 -3.5 2.4649 0.3463 0.3565 0.0771 0.0589 0.0
7.7 60000.0 -3.5 2.3423 0.5026 0.4086 0.0717 0.0583 0.0012
7.7 30000.0 -3.25 1.0763 0.0 0.3365 0.0099 0.003 0.0
7.7 32500.0 -3.25 1.5573 0.0 0.4061 0.0216 0.0082 0.0
7.7 35000.0 -3.25 1.9691 0.007 0.4013 0.0384 0.0197 0.0
7.7 37500.0 -3.25 2.2268 0.0824 0.3443 0.0565 0.046 0.0
7.7 40000.0 -3.25 2.3018 0.5021 0.2914 0.0798 0.0556 0.0
7.7 45000.0 -3.25 2.3017 0.7249 0.2825 0.0882 0.0569 0.0
7.7 50000.0 -3.25 2.1348 0.9743 0.2927 0.0905 0.0574 0.001
7.7 55000.0 -3.25 2.4016 0.8582 0.2704 0.0964 0.0579 0.0
7.7 60000.0 -3.25 2.1497 1.1273 0.3161 0.0914 0.0569 0.0014
7.7 30000.0 -3.0 1.1746 0.0 0.3123 0.0158 0.0031 0.0
7.7 32500.0 -3.0 1.772 0.0015 0.3632 0.033 0.0085 0.0
7.7 35000.0 -3.0 2.2669 0.0183 0.3368 0.0548 0.0205 0.0
7.7 37500.0 -3.0 2.4403 0.2202 0.2701 0.0747 0.0481 0.0
7.7 40000.0 -3.0 2.095 1.0665 0.2156 0.0979 0.0555 0.0
7.7 45000.0 -3.0 1.9779 1.4254 0.2081 0.1061 0.0565 0.0
7.7 50000.0 -3.0 1.7323 1.7582 0.2165 0.1077 0.0566 0.0011
7.7 55000.0 -3.0 2.0286 1.6467 0.1993 0.114 0.057 0.0
7.7 60000.0 -3.0 1.7137 1.976 0.236 0.1095 0.0558 0.0015
7.7 30000.0 -2.75 1.2242 0.0 0.2686 0.023 0.0033 0.0
7.7 32500.0 -2.75 1.9478 0.0035 0.3003 0.0461 0.009 0.0
7.7 35000.0 -2.75 2.5514 0.0459 0.2639 0.072 0.0216 0.0
7.7 37500.0 -2.75 2.4924 0.4996 0.2005 0.0919 0.0498 0.0
7.7 40000.0 -2.75 1.6825 1.8012 0.1545 0.1134 0.0554 0.0
7.7 45000.0 -2.75 1.5068 2.251 0.1495 0.1211 0.0561 0.0
7.7 50000.0 -2.75 1.269 2.6014 0.1566 0.1214 0.056 0.0012
7.7 55000.0 -2.75 1.5309 2.5517 0.1446 0.1288 0.0564 0.0
7.7 60000.0 -2.75 1.2444 2.8708 0.1721 0.1237 0.055 0.0016
7.7 30000.0 -2.5 1.2337 0.0 0.2149 0.0307 0.0036 0.0
7.7 32500.0 -2.5 2.06 0.0081 0.2299 0.0586 0.0098 0.0
7.7 35000.0 -2.5 2.7646 0.1073 0.1943 0.0877 0.0234 0.0
7.7 37500.0 -2.5 2.3183 0.9431 0.142 0.1066 0.0513 0.0
7.7 40000.0 -2.5 1.2406 2.5545 0.1092 0.1256 0.0552 0.0
7.7 45000.0 -2.5 1.0735 3.0562 0.1066 0.1322 0.0559 0.0
7.7 50000.0 -2.5 0.8872 3.3966 0.1125 0.1298 0.0556 0.0013
7.7 55000.0 -2.5 1.087 3.4319 0.1046 0.1393 0.056 0.0
7.7 60000.0 -2.5 0.8669 3.716 0.1244 0.1322 0.0544 0.0017
7.7 30000.0 -2.25 1.2141 0.001 0.1609 0.0375 0.0041 0.0
7.7 32500.0 -2.25 2.1112 0.0183 0.1661 0.0686 0.0111 0.0
7.7 35000.0 -2.25 2.8566 0.2246 0.1372 0.1001 0.026 0.0
7.7 37500.0 -2.25 1.961 1.4938 0.0978 0.1177 0.0525 0.0
7.7 40000.0 -2.25 0.88 3.2334 0.0776 0.1337 0.0551 0.0
7.7 45000.0 -2.25 0.7496 3.7843 0.0768 0.1383 0.0557 0.0
7.7 50000.0 -2.25 0.6176 4.1184 0.0815 0.1317 0.0553 0.0016
7.7 55000.0 -2.25 0.76 4.2403 0.0765 0.1444 0.0558 0.0
7.7 60000.0 -2.25 0.603 4.4994 0.0905 0.1334 0.054 0.002
7.7 30000.0 -2.0 1.176 0.0023 0.1146 0.0424 0.0048 0.0
7.7 32500.0 -2.0 2.1143 0.0398 0.1159 0.0756 0.013 0.0
7.7 35000.0 -2.0 2.7935 0.4239 0.0949 0.1089 0.0297 0.0
7.7 37500.0 -2.0 1.5315 2.0596 0.0669 0.1254 0.0532 0.0
7.7 40000.0 -2.0 0.6234 3.8234 0.0562 0.1369 0.055 0.0
7.7 45000.0 -2.0 0.53 4.4366 0.0566 0.1385 0.0556 0.0
7.7 50000.0 -2.0 0.4396 4.7786 0.0605 0.1263 0.055 0.0019
7.7 55000.0 -2.0 0.5394 4.9883 0.0574 0.1429 0.0556 0.0
7.7 60000.0 -2.0 0.4296 5.2375 0.0672 0.1272 0.0536 0.0024
7.7 30000.0 -1.75 1.1284 0.0053 0.079 0.0451 0.0059 0.0
7.7 32500.0 -1.75 2.0762 0.0829 0.0796 0.0799 0.0157 0.0
7.7 35000.0 -1.75 2.5784 0.7187 0.0654 0.1146 0.0343 0.0
7.7 37500.0 -1.75 1.137 2.5737 0.0465 0.1301 0.0534 0.0
7.7 40000.0 -1.75 0.4507 4.3445 0.0421 0.1349 0.0549 0.0
7.7 45000.0 -1.75 0.386 5.0399 0.0433 0.1324 0.0555 0.0
7.7 50000.0 -1.75 0.3243 5.3992 0.0465 0.1149 0.0549 0.0025
7.7 55000.0 -1.75 0.3949 5.6931 0.0446 0.135 0.0556 0.0
7.7 60000.0 -1.75 0.3173 5.9421 0.0516 0.1154 0.0533 0.003
7.7 30000.0 -1.5 1.0762 0.0122 0.0534 0.0459 0.0074 0.0
7.7 32500.0 -1.5 1.9952 0.1632 0.0545 0.082 0.0191 0.0
7.7 35000.0 -1.5 2.239 1.1069 0.0454 0.1183 0.0393 0.0
7.7 37500.0 -1.5 0.8272 3.0208 0.0334 0.1323 0.0533 0.0
7.7 40000.0 -1.5 0.3358 4.837 0.0328 0.1279 0.0547 0.0
7.7 45000.0 -1.5 0.291 5.6165 0.0344 0.1213 0.0553 0.0
7.7 50000.0 -1.5 0.2482 5.9871 0.0371 0.0999 0.0547 0.0034
7.7 55000.0 -1.5 0.2996 6.3663 0.0359 0.1225 0.0556 0.0
7.7 60000.0 -1.5 0.2434 6.6098 0.041 0.1008 0.053 0.004
8.0 30000.0 -3.5 1.0391 0.0 0.4962 0.0083 0.003 0.0
8.0 32500.0 -3.5 1.4996 0.0 0.624 0.0189 0.0081 0.0
8.0 35000.0 -3.5 2.0005 0.0034 0.6778 0.0373 0.0192 0.0
8.0 37500.0 -3.5 2.4836 0.0367 0.6567 0.0615 0.0436 0.0
8.0 40000.0 -3.5 3.2345 0.272 0.6503 0.1011 0.0563 0.0
8.0 45000.0 -3.5 3.5437 0.4352 0.6545 0.1179 0.0582 0.0
8.0 50000.0 -3.5 3.5974 0.6529 0.6903 0.1245 0.0593 0.0
8.0 55000.0 -3.5 3.978 0.5506 0.6518 0.1366 0.0599 0.0
8.0 60000.0 -3.5 3.8675 0.8148 0.7532 0.1283 0.0594 0.0012
8.0 30000.0 -3.25 1.2145 0.0 0.4954 0.0142 0.0031 0.0
8.0 32500.0 -3.25 1.7868 0.0 0.605 0.0313 0.0084 0.0
8.0 35000.0 -3.25 2.3472 0.0089 0.6153 0.0571 0.02 0.0
8.0 37500.0 -3.25 2.8333 0.1063 0.554 0.0873 0.0464 0.0
8.0 40000.0 -3.25 3.3158 0.7063 0.5055 0.1317 0.0563 0.0
8.0 45000.0 -3.25 3.4822 1.066 0.5022 0.1495 0.0578 0.0
8.0 50000.0 -3.25 3.3613 1.4796 0.5298 0.1561 0.0584 0.001
8.0 55000.0 -3.25 3.8558 1.3361 0.4948 0.1692 0.0589 0.0
8.0 60000.0 -3.25 3.5499 1.7991 0.5834 0.162 0.058 0.0014
8.0 30000.0 -3.0 1.3477 0.0 0.4657 0.0229 0.0032 0.0
8.0 32500.0 -3.0 2.0571 0.0019 0.549 0.0483 0.0087 0.0
8.0 35000.0 -3.0 2.6996 0.0228 0.5218 0.0817 0.0208 0.0
8.0 37500.0 -3.0 3.0798 0.277 0.437 0.1151 0.0486 0.0
8.0 40000.0 -3.0 3.0005 1.4652 0.373 0.1594 0.0563 0.0
8.0 45000.0 -3.0 2.9871 2.0495 0.369 0.1771 0.0574 0.0
8.0 50000.0 -3.0 2.741 2.6222 0.3914 0.1834 0.0576 0.0011
8.0 55000.0 -3.0 3.2583 2.5145 0.3641 0.1975 0.0581 0.0
8.0 60000.0 -3.0 2.8446 3.1033 0.4351 0.1918 0.057 0.0015
8.0 30000.0 -2.75 1.4221 0.0 0.4068 0.034 0.0034 0.0
8.0 32500.0 -2.75 2.2717 0.0044 0.4593 0.0682 0.0092 0.0
8.0 35000.0 -2.75 3.0315 0.0555 0.4122 0.1081 0.0218 0.0
8.0 37500.0 -2.75 3.129 0.6137 0.3253 0.141 0.0503 0.0
8.0 40000.0 -2.75 2.42 2.4318 0.2663 0.182 0.0562 0.0
8.0 45000.0 -2.75 2.292 3.1848 0.2642 0.1991 0.0571 0.0
8.0 50000.0 -2.75 2.0279 3.8238 0.2826 0.2038 0.0571 0.0012
8.0 55000.0 -2.75 2.473 3.8335 0.2632 0.2197 0.0575 0.0
8.0 60000.0 -2.75 2.0827 4.4426 0.3169 0.2141 0.0562 0.0016
8.0 30000.0 -2.5 1.4442 0.0 0.3293 0.046 0.0037 0.0
8.0 32500.0 -2.5 2.4126 0.0098 0.3555 0.0876 0.0099 0.0
8.0 35000.0 -2.5 3.2812 0.1263 0.3056 0.1322 0.0234 0.0
8.0 37500.0 -2.5 2.9137 1.14 0.2303 0.1624 0.0519 0.0
8.0 40000.0 -2.5 1.8029 3.4161 0.1875 0.1989 0.0561 0.0
8.0 45000.0 -2.5 1.648 4.2752 0.1878 0.2144 0.0568 0.0
8.0 50000.0 -2.5 1.4331 4.9373 0.2026 0.2154 0.0567 0.0013
8.0 55000.0 -2.5 1.7663 5.0881 0.1897 0.2344 0.0572 0.0
8.0 60000.0 -2.5 1.4612 5.6778 0.2286 0.2261 0.0557 0.0018
8.0 30000.0 -2.25 1.4305 0.0013 0.2494 0.0569 0.0041 0.0
8.0 32500.0 -2.25 2.481 0.0216 0.259 0.1037 0.0111 0.0
8.0 35000.0 -2.25 3.4004 0.2589 0.2169 0.1513 0.0258 0.0
8.0 37500.0 -2.25 2.4915 1.7961 0.1582 0.1782 0.0532 0.0
8.0 40000.0 -2.25 1.2945 4.3096 0.1327 0.2097 0.056 0.0
8.0 45000.0 -2.25 1.1607 5.2587 0.1348 0.222 0.0567 0.0
8.0 50000.0 -2.25 1.005 5.9421 0.1465 0.2164 0.0564 0.0015
8.0 55000.0 -2.25 1.2392 6.2303 0.1382 0.2403 0.057 0.0
8.0 60000.0 -2.25 1.0196 6.8081 0.1657 0.2262 0.0553 0.002
8.0 30000.0 -2.0 1.3946 0.0028 0.1793 0.0652 0.0048 0.0
8.0 32500.0 -2.0 2.4951 0.0462 0.1818 0.1152 0.0129 0.0
8.0 35000.0 -2.0 3.3495 0.4837 0.1502 0.1649 0.0294 0.0
8.0 37500.0 -2.0 1.9807 2.4858 0.1079 0.1887 0.054 0.0
8.0 40000.0 -2.0 0.9273 5.0993 0.0961 0.2135 0.056 0.0
8.0 45000.0 -2.0 0.8261 6.1525 0.0991 0.2209 0.0566 0.0
8.0 50000.0 -2.0 0.7188 6.8763 0.1084 0.2067 0.0562 0.0018
8.0 55000.0 -2.0 0.8798 7.2859 0.1031 0.2361 0.0569 0.0
