#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK)
#spherical geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.4 30000.00 -3.51 0.0079 0.0000 0.0000 0.0000 0.0204 0.0000 0.0000 0.0000 0.0056 0.0000 0.0000 0.0085 0.0000 0.0000 0.0000 0.0015 0.0000
7.4 30000.00 -3.27 0.0079 0.0000 0.0000 0.0000 0.0212 0.0000 0.0000 0.0000 0.0093 0.0000 0.0000 0.0139 0.0000 0.0000 0.0000 0.0015 0.0000
7.4 30000.00 -3.04 0.0078 0.0000 0.0000 0.0000 0.0215 0.0000 0.0000 0.0000 0.0141 0.0000 0.0000 0.0210 0.0000 0.0000 0.0000 0.0015 0.0000
7.4 30000.00 -2.79 0.0076 0.0000 0.0000 0.0000 0.0214 0.0000 0.0000 0.0000 0.0193 0.0000 0.0000 0.0286 0.0000 0.0000 0.0000 0.0015 0.0000
7.4 30000.00 -2.54 0.0072 0.0000 0.0000 0.0000 0.0209 0.0000 0.0000 0.0000 0.0230 0.0000 0.0000 0.0341 0.0000 0.0000 0.0000 0.0014 0.0000
7.4 30000.00 -2.29 0.0066 0.0000 0.0000 0.0000 0.0201 0.0000 0.0000 0.0000 0.0253 0.0000 0.0000 0.0372 0.0013 0.0000 0.0016 0.0014 0.0000
7.4 30000.00 -2.03 0.0059 0.0000 0.0012 0.0000 0.0191 0.0000 0.0000 0.0000 0.0265 0.0000 0.0000 0.0388 0.0028 0.0000 0.0034 0.0013 0.0000
7.4 30000.00 -1.78 0.0052 0.0000 0.0015 0.0000 0.0181 0.0000 0.0000 0.0000 0.0273 0.0000 0.0000 0.0395 0.0048 0.0012 0.0059 0.0012 0.0000
7.4 30000.00 -1.53 0.0044 0.0000 0.0018 0.0000 0.0170 0.0000 0.0000 0.0000 0.0279 0.0000 0.0000 0.0395 0.0076 0.0016 0.0092 0.0010 0.0000
7.4 32500.00 -3.99 0.0102 0.0000 0.0000 0.0000 0.0252 0.0000 0.0000 0.0000 0.0036 0.0000 0.0000 0.0055 0.0000 0.0000 0.0000 0.0019 0.0000
