#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.40 -4.00 0.0557 0.0000 0.0551 0.0015 0.2376 0.0000 0.0000 0.1957 0.1265 0.0000 0.0000 0.1683 0.0223 0.0039 0.0135 0.0205 0.0043
8.1 -1.40 -3.75 0.0529 0.0000 0.0593 0.0049 0.2196 0.0000 0.0000 0.2266 0.1754 0.0000 0.0017 0.2305 0.0655 0.0112 0.0392 0.0194 0.0042
8.1 -1.40 -3.50 0.0522 0.0000 0.0630 0.0153 0.2119 0.0000 0.0000 0.2537 0.2312 0.0000 0.0113 0.3009 0.1698 0.0285 0.1009 0.0178 0.0041
8.1 -1.40 -3.25 0.0519 0.0000 0.0654 0.0436 0.2069 0.0000 0.0000 0.2752 0.2816 0.0000 0.0527 0.3625 0.3357 0.0564 0.1991 0.0155 0.0041
8.1 -1.40 -3.00 0.0505 0.0011 0.0656 0.1069 0.1963 0.0018 0.0029 0.2910 0.3149 0.0032 0.1584 0.4000 0.4972 0.0843 0.2949 0.0134 0.0041
8.1 -1.40 -2.75 0.0493 0.0032 0.0622 0.2173 0.1868 0.0052 0.0125 0.3017 0.3273 0.0140 0.3454 0.4128 0.6114 0.1040 0.3624 0.0122 0.0043
8.1 -1.40 -2.50 0.0477 0.0079 0.0561 0.3640 0.1730 0.0126 0.0431 0.3059 0.3186 0.0485 0.6144 0.4017 0.6762 0.1140 0.3996 0.0118 0.0045
8.1 -1.40 -2.25 0.0464 0.0163 0.0489 0.5055 0.1562 0.0258 0.1170 0.3037 0.2938 0.1330 0.9622 0.3750 0.6936 0.1139 0.4080 0.0119 0.0047
8.1 -1.40 -2.00 0.0510 0.0288 0.0417 0.5663 0.1644 0.0448 0.2537 0.3050 0.2641 0.2915 1.3644 0.3511 0.6585 0.1032 0.3855 0.0128 0.0051
8.1 -1.40 -1.75 0.0596 0.0433 0.0357 0.4874 0.1873 0.0667 0.4425 0.3101 0.2386 0.5142 1.7414 0.3376 0.5697 0.0840 0.3331 0.0144 0.0057
8.1 -1.40 -1.50 0.0734 0.0531 0.0318 0.3170 0.2322 0.0808 0.6096 0.3216 0.2331 0.7173 1.9044 0.3528 0.4319 0.0606 0.2535 0.0167 0.0065
8.1 -1.40 -1.25 0.0915 0.0482 0.0304 0.1678 0.2956 0.0724 0.6466 0.3394 0.2547 0.7686 1.6681 0.4042 0.2757 0.0389 0.1634 0.0196 0.0073
8.1 -1.40 -1.00 0.1134 0.0296 0.0312 0.0827 0.3740 0.0441 0.5368 0.3640 0.3010 0.6309 1.1366 0.4882 0.1484 0.0227 0.0892 0.0224 0.0079
8.1 -1.20 -4.00 0.0962 0.0000 0.0645 0.0028 0.3593 0.0000 0.0000 0.3282 0.2334 0.0000 0.0000 0.3544 0.0278 0.0044 0.0171 0.0254 0.0066
8.1 -1.20 -3.75 0.0967 0.0000 0.0676 0.0084 0.3503 0.0000 0.0000 0.3483 0.2987 0.0000 0.0038 0.4456 0.0806 0.0125 0.0487 0.0246 0.0067
8.1 -1.20 -3.50 0.0957 0.0000 0.0704 0.0256 0.3409 0.0000 0.0000 0.3626 0.3568 0.0000 0.0254 0.5199 0.1985 0.0310 0.1189 0.0234 0.0069
8.1 -1.20 -3.25 0.0929 0.0000 0.0717 0.0725 0.3293 0.0011 0.0018 0.3724 0.3972 0.0020 0.1134 0.5654 0.3574 0.0577 0.2135 0.0218 0.0072
8.1 -1.20 -3.00 0.0869 0.0023 0.0697 0.1714 0.3022 0.0036 0.0106 0.3753 0.4103 0.0118 0.3305 0.5719 0.4796 0.0803 0.2865 0.0206 0.0075
8.1 -1.20 -2.75 0.0782 0.0067 0.0637 0.3188 0.2563 0.0107 0.0469 0.3664 0.3946 0.0529 0.6939 0.5428 0.5385 0.0927 0.3216 0.0201 0.0076
8.1 -1.20 -2.50 0.0751 0.0158 0.0556 0.4552 0.2362 0.0248 0.1473 0.3553 0.3630 0.1678 1.1509 0.5038 0.5340 0.0928 0.3185 0.0202 0.0078
8.1 -1.20 -2.25 0.0765 0.0291 0.0477 0.4872 0.2331 0.0452 0.3262 0.3476 0.3233 0.3754 1.5868 0.4622 0.4764 0.0817 0.2839 0.0207 0.0080
8.1 -1.20 -2.00 0.0820 0.0423 0.0414 0.3753 0.2467 0.0649 0.5267 0.3473 0.2912 0.6129 1.8359 0.4342 0.3771 0.0629 0.2248 0.0216 0.0081
8.1 -1.20 -1.75 0.0918 0.0468 0.0374 0.2194 0.2805 0.0710 0.6344 0.3552 0.2832 0.7468 1.7272 0.4374 0.2581 0.0425 0.1544 0.0228 0.0083
8.1 -1.20 -1.50 0.1057 0.0363 0.0357 0.1151 0.3311 0.0546 0.5859 0.3686 0.3023 0.6933 1.2777 0.4746 0.1518 0.0259 0.0916 0.0242 0.0085
8.1 -1.20 -1.25 0.1293 0.0192 0.0358 0.0635 0.4306 0.0288 0.4277 0.3896 0.3508 0.5008 0.7505 0.5515 0.0796 0.0149 0.0488 0.0255 0.0087
8.1 -1.20 -1.00 0.1672 0.0083 0.0369 0.0416 0.5883 0.0125 0.2476 0.4063 0.4217 0.2871 0.3717 0.6535 0.0411 0.0087 0.0260 0.0265 0.0087
8.1 -1.00 -4.00 0.1341 0.0000 0.0724 0.0034 0.4716 0.0000 0.0000 0.4291 0.3460 0.0000 0.0000 0.5505 0.0265 0.0041 0.0166 0.0303 0.0089
8.1 -1.00 -3.75 0.1328 0.0000 0.0744 0.0098 0.4570 0.0000 0.0000 0.4354 0.4106 0.0000 0.0046 0.6400 0.0762 0.0115 0.0465 0.0297 0.0092
8.1 -1.00 -3.50 0.1274 0.0000 0.0764 0.0294 0.4324 0.0000 0.0000 0.4380 0.4563 0.0000 0.0313 0.6923 0.1842 0.0282 0.1111 0.0289 0.0096
8.1 -1.00 -3.25 0.1166 0.0000 0.0770 0.0832 0.3857 0.0013 0.0028 0.4358 0.4756 0.0032 0.1426 0.7004 0.3232 0.0518 0.1941 0.0277 0.0098
8.1 -1.00 -3.00 0.1032 0.0028 0.0741 0.1936 0.3259 0.0045 0.0174 0.4249 0.4664 0.0195 0.4202 0.6706 0.4188 0.0705 0.2511 0.0268 0.0099
