#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.40 -3.75 0.0498 0.0000 0.0590 0.0049 0.2008 0.0000 0.0000 0.2228 0.1695 0.0000 0.0017 0.2190 0.0667 0.0114 0.0398 0.0194 0.0041
8.1 -1.40 -3.50 0.0474 0.0000 0.0627 0.0156 0.1845 0.0000 0.0000 0.2486 0.2228 0.0000 0.0116 0.2845 0.1736 0.0291 0.1031 0.0178 0.0040
8.1 -1.40 -3.25 0.0462 0.0000 0.0649 0.0449 0.1755 0.0000 0.0000 0.2685 0.2721 0.0000 0.0539 0.3446 0.3442 0.0576 0.2041 0.0154 0.0039
8.1 -1.40 -3.00 0.0462 0.0012 0.0641 0.1113 0.1730 0.0019 0.0029 0.2829 0.3058 0.0032 0.1568 0.3860 0.5059 0.0854 0.2997 0.0136 0.0042
8.1 -1.40 -2.75 0.0455 0.0034 0.0590 0.2312 0.1672 0.0055 0.0120 0.2910 0.3135 0.0134 0.3240 0.3948 0.6188 0.1044 0.3656 0.0131 0.0048
8.1 -1.40 -2.50 0.0454 0.0082 0.0505 0.3917 0.1641 0.0131 0.0378 0.2942 0.2949 0.0425 0.5298 0.3740 0.6821 0.1127 0.4001 0.0138 0.0056
8.1 -1.40 -2.25 0.0439 0.0160 0.0408 0.5391 0.1524 0.0253 0.0896 0.2933 0.2549 0.1018 0.7399 0.3274 0.7089 0.1109 0.4095 0.0153 0.0066
8.1 -1.40 -2.00 0.0415 0.0261 0.0312 0.6059 0.1358 0.0410 0.1642 0.2905 0.2059 0.1884 0.9206 0.2699 0.7094 0.0998 0.3991 0.0169 0.0073
8.1 -1.40 -1.75 0.0392 0.0364 0.0227 0.5822 0.1213 0.0568 0.2391 0.2865 0.1608 0.2774 1.0405 0.2165 0.6899 0.0816 0.3730 0.0183 0.0078
8.1 -1.40 -1.50 0.0376 0.0430 0.0161 0.5410 0.1147 0.0666 0.2842 0.2801 0.1266 0.3331 1.0716 0.1759 0.6540 0.0602 0.3350 0.0194 0.0079
8.1 -1.40 -1.25 0.0371 0.0419 0.0115 0.5406 0.1172 0.0645 0.2892 0.2709 0.1044 0.3403 1.0234 0.1502 0.6130 0.0411 0.2934 0.0205 0.0077
8.1 -1.40 -1.00 0.0394 0.0342 0.0087 0.5796 0.1345 0.0527 0.2743 0.2659 0.0954 0.3149 0.9397 0.1428 0.5870 0.0276 0.2593 0.0220 0.0074
8.1 -1.20 -4.00 0.0944 0.0000 0.0639 0.0028 0.3429 0.0000 0.0000 0.3238 0.2266 0.0000 0.0000 0.3418 0.0279 0.0044 0.0172 0.0254 0.0065
8.1 -1.20 -3.75 0.0941 0.0000 0.0671 0.0084 0.3284 0.0000 0.0000 0.3437 0.2915 0.0000 0.0039 0.4325 0.0811 0.0125 0.0490 0.0247 0.0067
8.1 -1.20 -3.50 0.0932 0.0000 0.0698 0.0260 0.3186 0.0000 0.0000 0.3574 0.3514 0.0000 0.0262 0.5109 0.2017 0.0314 0.1208 0.0237 0.0070
8.1 -1.20 -3.25 0.0937 0.0000 0.0708 0.0741 0.3221 0.0011 0.0019 0.3677 0.3966 0.0021 0.1152 0.5681 0.3601 0.0581 0.2150 0.0227 0.0076
8.1 -1.20 -3.00 0.0932 0.0024 0.0676 0.1776 0.3224 0.0038 0.0106 0.3736 0.4127 0.0119 0.3251 0.5855 0.4760 0.0797 0.2842 0.0229 0.0086
8.1 -1.20 -2.75 0.0899 0.0071 0.0594 0.3353 0.3053 0.0113 0.0460 0.3719 0.3937 0.0519 0.6515 0.5571 0.5327 0.0909 0.3176 0.0243 0.0097
8.1 -1.20 -2.50 0.0864 0.0164 0.0492 0.4795 0.2846 0.0258 0.1362 0.3659 0.3479 0.1552 1.0199 0.4979 0.5447 0.0914 0.3233 0.0263 0.0108
8.1 -1.20 -2.25 0.0814 0.0294 0.0395 0.5106 0.2538 0.0457 0.2776 0.3568 0.2887 0.3200 1.3298 0.4225 0.5336 0.0826 0.3134 0.0285 0.0116
8.1 -1.20 -2.00 0.0774 0.0425 0.0306 0.4119 0.2321 0.0653 0.4102 0.3487 0.2354 0.4784 1.4943 0.3546 0.5088 0.0666 0.2930 0.0308 0.0122
8.1 -1.20 -1.75 0.0752 0.0495 0.0232 0.3010 0.2254 0.0752 0.4682 0.3380 0.1992 0.5529 1.4791 0.3072 0.4772 0.0477 0.2664 0.0331 0.0126
8.1 -1.20 -1.50 0.0752 0.0448 0.0177 0.2567 0.2346 0.0677 0.4493 0.3226 0.1802 0.5287 1.3397 0.2817 0.4472 0.0312 0.2387 0.0354 0.0125
8.1 -1.20 -1.25 0.0812 0.0340 0.0141 0.2693 0.2756 0.0513 0.3854 0.3086 0.1795 0.4416 1.1815 0.2818 0.4272 0.0196 0.2144 0.0376 0.0121
