#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons w/ dust grains
#plane-parallel geometry
#
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.40 -4.00 0.0207 0.0000 0.0487 0.0023 0.0921 0.0000 0.0000 0.1180 0.0949 0.0000 0.0000 0.0985 0.0360 0.0064 0.0215 0.0146 0.0021
8.1 -1.40 -3.75 0.0154 0.0000 0.0546 0.0065 0.0714 0.0000 0.0000 0.1554 0.1320 0.0000 0.0023 0.1356 0.0882 0.0153 0.0524 0.0142 0.0020
8.1 -1.40 -3.50 0.0103 0.0000 0.0598 0.0194 0.0520 0.0000 0.0000 0.1888 0.1747 0.0000 0.0142 0.1778 0.2146 0.0368 0.1273 0.0125 0.0018
8.1 -1.40 -3.25 0.0065 0.0000 0.0631 0.0529 0.0370 0.0000 0.0000 0.2140 0.2127 0.0000 0.0641 0.2150 0.4134 0.0702 0.2450 0.0094 0.0013
8.1 -1.40 -3.00 0.0039 0.0014 0.0634 0.1260 0.0254 0.0022 0.0035 0.2309 0.2380 0.0039 0.1914 0.2390 0.6075 0.1031 0.3601 0.0061 0.0000
8.1 -1.40 -2.75 0.0022 0.0038 0.0593 0.2525 0.0166 0.0061 0.0149 0.2387 0.2440 0.0167 0.4116 0.2436 0.7358 0.1248 0.4358 0.0038 0.0000
8.1 -1.40 -2.50 0.0013 0.0092 0.0515 0.4219 0.0103 0.0146 0.0505 0.2360 0.2291 0.0568 0.7219 0.2275 0.7991 0.1343 0.4721 0.0024 0.0000
8.1 -1.40 -2.25 0.0000 0.0189 0.0421 0.5874 0.0061 0.0299 0.1365 0.2225 0.1963 0.1552 1.1235 0.1939 0.8119 0.1331 0.4774 0.0015 0.0000
8.1 -1.40 -2.00 0.0000 0.0338 0.0324 0.6675 0.0035 0.0527 0.2992 0.1990 0.1505 0.3438 1.6098 0.1479 0.7769 0.1216 0.4547 0.0000 0.0000
8.1 -1.40 -1.75 0.0000 0.0521 0.0236 0.5881 0.0020 0.0803 0.5341 0.1660 0.1011 0.6206 2.1016 0.0990 0.6873 0.1012 0.4016 0.0000 0.0000
8.1 -1.40 -1.50 0.0000 0.0670 0.0161 0.3995 0.0012 0.1019 0.7698 0.1250 0.0598 0.9057 2.4041 0.0585 0.5447 0.0764 0.3195 0.0000 0.0000
