#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
7.10 -0.260 -2.00 1.1896 0.3085 0.0117 0.1524 0.6455 1.6149
7.10 -0.260 -2.50 2.0960 0.0574 0.0065 0.0717 0.3744 1.1202
7.10 -0.260 -2.25 1.5638 0.1415 0.0086 0.1074 0.5061 1.3724
7.10 -0.260 -2.00 1.1886 0.3079 0.0117 0.1522 0.6446 1.6139
7.10 -0.260 -2.50 2.0953 0.0573 0.0065 0.0716 0.3739 1.1195
7.10 -0.260 -2.25 1.5628 0.1412 0.0086 0.1072 0.5053 1.3715
7.10 -0.260 -2.00 1.1870 0.3071 0.0117 0.1518 0.6433 1.6126
7.10 -0.260 -2.50 2.0918 0.0571 0.0065 0.0714 0.3731 1.1186
7.10 -0.260 -2.25 1.5596 0.1408 0.0086 0.1069 0.5042 1.3703
7.10 -0.260 -2.00 1.1858 0.3060 0.0117 0.1513 0.6415 1.6109
7.10 -0.260 -2.50 2.0894 0.0569 0.0065 0.0712 0.3721 1.1174
7.10 -0.260 -2.25 1.5580 0.1402 0.0086 0.1065 0.5027 1.3686
7.10 -0.260 -2.00 1.1917 0.3046 0.0117 0.1507 0.6393 1.6087
7.10 -0.260 -2.50 2.0856 0.0567 0.0065 0.0709 0.3708 1.1158
7.10 -0.260 -2.25 1.5544 0.1395 0.0086 0.1060 0.5007 1.3665
7.10 -0.260 -2.00 1.1893 0.3027 0.0117 0.1499 0.6362 1.6057
7.10 -0.260 -2.50 2.0796 0.0564 0.0065 0.0705 0.3691 1.1138
7.10 -0.260 -2.25 1.5494 0.1386 0.0086 0.1054 0.4981 1.3637
7.10 -0.260 -2.00 1.1849 0.3002 0.0117 0.1487 0.6321 1.6016
7.10 0.200 -2.50 2.0646 0.1409 0.0065 0.0662 1.0077 1.0892
7.10 0.200 -2.25 1.5337 0.3369 0.0085 0.0967 1.3333 1.3237
7.10 0.200 -2.00 1.1763 0.6729 0.0115 0.1324 1.6482 1.5390
7.20 -1.400 -2.50 2.0840 0.0065 0.0065 0.0889 0.0337 1.4020
7.20 -1.400 -2.25 1.5588 0.0163 0.0085 0.1342 0.0459 1.7227
7.20 -1.400 -2.00 1.1960 0.0353 0.0117 0.1929 0.0592 2.0354
7.20 -1.275 -2.50 2.0835 0.0085 0.0065 0.0888 0.0449 1.4015
7.20 -1.275 -2.25 1.5586 0.0209 0.0085 0.1340 0.0612 1.7218
7.20 -1.275 -2.00 1.1958 0.0452 0.0117 0.1924 0.0788 2.0339
7.20 -1.150 -2.50 2.0834 0.0110 0.0065 0.0887 0.0598 1.4008
7.20 -1.150 -2.25 1.5587 0.0268 0.0085 0.1337 0.0814 1.7206
7.20 -1.150 -2.00 1.1949 0.0582 0.0117 0.1919 0.1048 2.0319
7.20 -1.025 -2.50 2.0837 0.0142 0.0065 0.0885 0.0797 1.3999
7.20 -1.025 -2.25 1.5583 0.0344 0.0085 0.1334 0.1083 1.7191
7.20 -1.025 -2.00 1.1953 0.0750 0.0117 0.1911 0.1393 2.0293
7.20 -0.900 -2.50 2.0827 0.0183 0.0065 0.0883 0.1060 1.3986
7.20 -0.900 -2.25 1.5583 0.0443 0.0085 0.1329 0.1440 1.7169
7.20 -0.900 -2.00 1.1943 0.0968 0.0117 0.1901 0.1849 2.0256
7.20 -0.775 -2.50 2.0833 0.0235 0.0065 0.0880 0.1409 1.3969
7.20 -0.775 -2.25 1.5567 0.0571 0.0085 0.1323 0.1912 1.7141
7.20 -0.775 -2.00 1.1924 0.1251 0.0116 0.1889 0.2452 2.0211
7.20 -0.650 -2.50 2.0821 0.0302 0.0065 0.0876 0.1872 1.3947
7.20 -0.650 -2.25 1.5569 0.0737 0.0085 0.1314 0.2536 1.7104
7.20 -0.650 -2.00 1.1919 0.1617 0.0116 0.1872 0.3244 2.0150
7.20 -0.525 -2.50 2.0810 0.0389 0.0065 0.0871 0.2483 1.3917
7.20 -0.525 -2.25 1.5508 0.0952 0.0085 0.1303 0.3357 1.7054
7.20 -0.525 -2.00 1.1905 0.2083 0.0116 0.1850 0.4282 2.0070
7.20 -0.400 -2.50 2.0794 0.0501 0.0065 0.0864 0.3289 1.3878
7.20 -0.400 -2.25 1.5485 0.1228 0.0085 0.1289 0.4434 1.6990
7.20 -0.400 -2.00 1.1853 0.2671 0.0116 0.1822 0.5634 1.9965
7.20 -0.275 -2.50 2.0775 0.0644 0.0065 0.0855 0.4346 1.3827
7.20 -0.275 -2.25 1.5468 0.1580 0.0085 0.1270 0.5838 1.6905
7.20 -0.275 -2.00 1.1828 0.3399 0.0116 0.1785 0.7381 1.9827
7.20 -0.150 -2.50 2.0747 0.0828 0.0065 0.0843 0.5726 1.3759
7.20 -0.150 -2.25 1.5536 0.2023 0.0085 0.1246 0.7659 1.6794
7.20 -0.150 -2.00 1.1882 0.4280 0.0115 0.1739 0.9623 1.9651
7.20 -0.025 -2.50 2.0701 0.1061 0.0065 0.0827 0.7517 1.3671
7.20 -0.025 -2.25 1.5516 0.2570 0.0084 0.1216 0.9996 1.6650
7.20 -0.025 -2.00 1.1840 0.5310 0.0115 0.1682 1.2467 1.9426
7.20 0.100 -2.50 2.0670 0.1352 0.0064 0.0808 0.9819 1.3555
7.20 0.100 -2.25 1.5468 0.3229 0.0084 0.1178 1.2966 1.6465
7.20 0.100 -2.00 1.1792 0.6463 0.0114 0.1612 1.6024 1.9140
7.20 0.225 -2.50 2.0694 0.1709 0.0064 0.0783 1.2750 1.3407
7.20 0.225 -2.25 1.5408 0.3997 0.0084 0.1130 1.6688 1.6230
7.20 0.225 -2.00 1.1717 0.7675 0.0114 0.1529 2.0403 1.8784
7.20 0.350 -2.50 2.0642 0.2137 0.0064 0.0752 1.6429 1.3217
7.20 0.350 -2.25 1.5337 0.4852 0.0083 0.1073 2.1276 1.5934
7.20 0.350 -2.00 1.1683 0.8851 0.0113 0.1431 2.5701 1.8350
7.20 0.475 -2.50 2.0457 0.2630 0.0064 0.0715 2.0971 1.2977
7.20 0.475 -2.25 1.5272 0.5747 0.0083 0.1006 2.6826 1.5569
7.20 0.475 -2.00 1.1591 0.9863 0.0112 0.1321 3.1967 1.7829
7.20 0.600 -2.50 2.0412 0.3173 0.0064 0.0670 2.6465 1.2678
7.20 0.600 -2.25 1.5072 0.6603 0.0082 0.0930 3.3397 1.5128
7.20 0.600 -2.00 1.1464 1.0580 0.0110 0.1200 3.9211 1.7216
7.30 -1.400 -2.50 2.0718 0.0076 0.0064 0.1046 0.0401 1.7224
7.30 -1.400 -2.25 1.5470 0.0186 0.0084 0.1568 0.0543 2.1125
7.30 -1.400 -2.00 1.1852 0.0398 0.0115 0.2236 0.0695 2.4902
7.30 -1.275 -2.50 2.0720 0.0098 0.0064 0.1045 0.0534 1.7215
7.30 -1.275 -2.25 1.5461 0.0238 0.0084 0.1565 0.0723 2.1112
7.30 -1.275 -2.00 1.1858 0.0510 0.0115 0.2230 0.0925 2.4879
7.30 -1.150 -2.50 2.0711 0.0126 0.0064 0.1043 0.0711 1.7205
7.30 -1.150 -2.25 1.5461 0.0304 0.0084 0.1561 0.0961 2.1094
7.30 -1.150 -2.00 1.1852 0.0655 0.0115 0.2222 0.1230 2.4850
7.30 -1.025 -2.50 2.0708 0.0163 0.0064 0.1040 0.0946 1.7190
7.30 -1.025 -2.25 1.5455 0.0389 0.0084 0.1556 0.1278 2.1069
7.30 -1.025 -2.00 1.1845 0.0844 0.0115 0.2212 0.1634 2.4810
7.30 -0.900 -2.50 2.0703 0.0208 0.0064 0.1037 0.1258 1.7171
7.30 -0.900 -2.25 1.5444 0.0500 0.0084 0.1549 0.1698 2.1037
7.30 -0.900 -2.00 1.1848 0.1088 0.0115 0.2198 0.2167 2.4757
7.30 -0.775 -2.50 2.0703 0.0267 0.0064 0.1033 0.1672 1.7145
7.30 -0.775 -2.25 1.5440 0.0644 0.0084 0.1540 0.2253 2.0994
7.30 -0.775 -2.00 1.1831 0.1404 0.0115 0.2181 0.2869 2.4688
7.30 -0.650 -2.50 2.0680 0.0343 0.0064 0.1027 0.2218 1.7111
7.30 -0.650 -2.25 1.5432 0.0830 0.0084 0.1528 0.2985 2.0938
7.30 -0.650 -2.00 1.1822 0.1808 0.0115 0.2158 0.3791 2.4598
7.30 -0.525 -2.50 2.0584 0.0440 0.0064 0.1019 0.2939 1.7065
7.30 -0.525 -2.25 1.5416 0.1069 0.0084 0.1513 0.3945 2.0863
7.30 -0.525 -2.00 1.1813 0.2319 0.0115 0.2127 0.4993 2.4478
7.30 -0.400 -2.50 2.0553 0.0565 0.0064 0.1009 0.3886 1.7006
7.30 -0.400 -2.25 1.5401 0.1375 0.0084 0.1493 0.5199 2.0766
7.30 -0.400 -2.00 1.1789 0.2955 0.0114 0.2089 0.6553 2.4324
7.30 -0.275 -2.50 2.0532 0.0725 0.0064 0.0996 0.5124 1.6927
7.30 -0.275 -2.25 1.5380 0.1761 0.0084 0.1467 0.6828 2.0638
7.30 -0.275 -2.00 1.1751 0.3730 0.0114 0.2040 0.8561 2.4123
7.30 -0.150 -2.50 2.0495 0.0928 0.0064 0.0979 0.6734 1.6825
7.30 -0.150 -2.25 1.5343 0.2241 0.0084 0.1434 0.8927 2.0473
7.30 -0.150 -2.00 1.1724 0.4643 0.0114 0.1978 1.1114 2.3864
7.30 -0.025 -2.50 2.0456 0.1183 0.0064 0.0957 0.8808 1.6691
7.30 -0.025 -2.25 1.5296 0.2822 0.0083 0.1392 1.1602 2.0260
7.30 -0.025 -2.00 1.1733 0.5679 0.0113 0.1902 1.4329 2.3539
7.30 0.100 -2.50 2.0530 0.1497 0.0064 0.0930 1.1457 1.6518
7.30 0.100 -2.25 1.5252 0.3506 0.0083 0.1340 1.4969 1.9988
7.30 0.100 -2.00 1.1672 0.6790 0.0113 0.1811 1.8308 2.3131
7.30 0.225 -2.50 2.0446 0.1875 0.0064 0.0896 1.4795 1.6297
