#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.9 -1.000 -3.25 0.358 0.0389 0.0039 0.2315 0.0401 0.053
6.9 -1.000 -3.0 0.2765 0.0501 0.0077 0.3954 0.0288 0.0394
6.9 -1.000 -2.75 0.1962 0.0625 0.0126 0.568 0.0196 0.0286
6.9 -1.000 -2.5 0.1353 0.0765 0.0187 0.7373 0.0133 0.0206
6.9 -1.000 -2.25 0.0944 0.0921 0.0259 0.9032 0.0092 0.0149
6.9 -1.000 -2.0 0.0682 0.1091 0.0346 1.0673 0.0066 0.0111
6.9 -1.000 -1.75 0.0514 0.1273 0.0446 1.2307 0.005 0.0086
6.9 -1.000 -1.5 0.0405 0.1462 0.056 1.3928 0.0039 0.0069
6.9 -0.875 -4.0 0.3443 0.0142 0.0 0.0123 0.0721 0.1018
6.9 -0.875 -3.75 0.3903 0.0208 0.0 0.0385 0.0727 0.0855
6.9 -0.875 -3.5 0.4025 0.0291 0.0016 0.1062 0.0667 0.0687
6.9 -0.875 -3.25 0.3577 0.0389 0.0039 0.2313 0.0534 0.053
6.9 -0.875 -3.0 0.2763 0.05 0.0077 0.395 0.0384 0.0394
6.9 -0.875 -2.75 0.196 0.0624 0.0126 0.5672 0.0262 0.0286
6.9 -0.875 -2.5 0.1352 0.0764 0.0186 0.736 0.0177 0.0206
6.9 -0.875 -2.25 0.0943 0.0919 0.0258 0.901 0.0123 0.0149
6.9 -0.875 -2.0 0.0681 0.1087 0.0343 1.0637 0.0088 0.0111
6.9 -0.875 -1.75 0.0513 0.1265 0.0441 1.2248 0.0067 0.0086
6.9 -0.875 -1.5 0.0403 0.145 0.0552 1.3838 0.0052 0.0069
6.9 -0.750 -4.0 0.344 0.0142 0.0 0.0123 0.0961 0.1018
6.9 -0.750 -3.75 0.3899 0.0207 0.0 0.0385 0.0969 0.0854
6.9 -0.750 -3.5 0.402 0.029 0.0016 0.1061 0.0889 0.0687
6.9 -0.750 -3.25 0.3575 0.0389 0.0039 0.2311 0.0712 0.0529
6.9 -0.750 -3.0 0.276 0.0499 0.0077 0.3944 0.0512 0.0394
6.9 -0.750 -2.75 0.1958 0.0623 0.0125 0.5663 0.0349 0.0286
6.9 -0.750 -2.5 0.135 0.0762 0.0185 0.7344 0.0236 0.0206
6.9 -0.750 -2.25 0.0942 0.0915 0.0256 0.898 0.0163 0.0149
6.9 -0.750 -2.0 0.068 0.1081 0.034 1.0591 0.0118 0.0111
