#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
8.10 -1.625 -2.75 2.3851 0.2866 0.0512 4.3601 0.0658 0.3484
8.10 -1.625 -2.50 1.6855 0.3394 0.0724 5.6428 0.0444 0.2495
8.10 -1.500 -3.00 3.2051 0.2326 0.0320 2.9695 0.1265 0.4819
8.10 -1.500 -2.75 2.3773 0.2855 0.0509 4.3441 0.0876 0.3479
8.10 -1.500 -2.50 1.6803 0.3379 0.0719 5.6217 0.0591 0.2492
8.10 -1.375 -3.00 3.1899 0.2313 0.0317 2.9543 0.1683 0.4809
8.10 -1.375 -2.75 2.3673 0.2839 0.0504 4.3232 0.1166 0.3472
8.10 -1.375 -2.50 1.6733 0.3361 0.0712 5.5940 0.0787 0.2487
8.10 -1.250 -3.00 3.1696 0.2295 0.0312 2.9341 0.2237 0.4796
8.10 -1.250 -2.75 2.3536 0.2819 0.0498 4.2951 0.1551 0.3463
8.10 -1.250 -2.50 1.6646 0.3337 0.0704 5.5597 0.1046 0.2481
8.20 -1.500 -3.00 3.5248 0.2347 0.0274 3.0146 0.1490 0.5571
8.20 -1.500 -2.75 2.6510 0.2877 0.0437 4.4337 0.1040 0.4019
8.20 -1.500 -2.50 1.8956 0.3401 0.0621 5.7674 0.0704 0.2879
8.20 -1.375 -3.00 3.5042 0.2331 0.0271 2.9969 0.1981 0.5557
8.20 -1.375 -2.75 2.6375 0.2860 0.0433 4.4104 0.1384 0.4010
8.20 -1.375 -2.50 1.8870 0.3382 0.0615 5.7397 0.0937 0.2872
8.20 -1.250 -3.00 3.4775 0.2311 0.0267 2.9736 0.2631 0.5538
8.20 -1.250 -2.75 2.6202 0.2837 0.0427 4.3805 0.1839 0.3997
8.20 -1.250 -2.50 1.8753 0.3356 0.0607 5.7020 0.1246 0.2864
8.20 -1.125 -3.00 3.4416 0.2284 0.0262 2.9427 0.3490 0.5512
8.20 -1.125 -2.75 2.5971 0.2808 0.0420 4.3409 0.2441 0.3981
8.20 -1.125 -2.50 1.8606 0.3324 0.0597 5.6544 0.1655 0.2853
8.20 -1.000 -3.00 3.3944 0.2249 0.0255 2.9022 0.4620 0.5478
8.20 -1.000 -2.75 2.5670 0.2770 0.0410 4.2889 0.3236 0.3959
8.20 -1.000 -2.50 1.8403 0.3279 0.0584 5.5892 0.2194 0.2837
8.30 -1.500 -3.00 3.6820 0.2176 0.0207 2.8413 0.1714 0.6252
8.30 -1.500 -2.75 2.8288 0.2690 0.0335 4.2379 0.1212 0.4511
8.30 -1.500 -2.50 2.0573 0.3196 0.0481 5.5734 0.0827 0.3232
8.30 -1.375 -3.00 3.6548 0.2158 0.0204 2.8214 0.2277 0.6230
8.30 -1.375 -2.75 2.8111 0.2671 0.0331 4.2130 0.1611 0.4498
8.30 -1.375 -2.50 2.0459 0.3176 0.0476 5.5443 0.1099 0.3223
8.30 -1.250 -3.00 3.6190 0.2135 0.0201 2.7956 0.3021 0.6202
8.30 -1.250 -2.75 2.7885 0.2647 0.0326 4.1806 0.2139 0.4481
8.30 -1.250 -2.50 2.0303 0.3149 0.0470 5.5047 0.1460 0.3211
8.30 -1.125 -3.00 3.5720 0.2105 0.0196 2.7613 0.4000 0.6165
8.30 -1.125 -2.75 2.7576 0.2615 0.0319 4.1375 0.2836 0.4457
8.30 -1.125 -2.50 2.0107 0.3114 0.0461 5.4545 0.1936 0.3196
8.30 -1.000 -3.00 3.5107 0.2065 0.0190 2.7168 0.5285 0.6117
8.30 -1.000 -2.75 2.7165 0.2572 0.0311 4.0812 0.3752 0.4426
8.30 -1.000 -2.50 1.9847 0.3069 0.0451 5.3888 0.2565 0.3175
8.40 -1.500 -3.00 3.7082 0.1903 0.0144 2.5475 0.1913 0.6873
8.40 -1.500 -2.75 2.9237 0.2387 0.0238 3.8700 0.1372 0.4966
8.40 -1.500 -2.50 2.1722 0.2864 0.0347 5.1666 0.0944 0.3560
8.40 -1.375 -3.00 3.6755 0.1884 0.0142 2.5273 0.2538 0.6844
8.40 -1.375 -2.75 2.9010 0.2367 0.0234 3.8438 0.1822 0.4948
8.40 -1.375 -2.50 2.1571 0.2843 0.0343 5.1362 0.1254 0.3547
8.40 -1.250 -3.00 3.6305 0.1860 0.0139 2.4994 0.3362 0.6804
8.40 -1.250 -2.75 2.8713 0.2341 0.0230 3.8095 0.2416 0.4923
8.40 -1.250 -2.50 2.1382 0.2816 0.0338 5.0972 0.1664 0.3531
8.40 -1.125 -3.00 3.5721 0.1827 0.0135 2.4628 0.4444 0.6752
8.40 -1.125 -2.75 2.8321 0.2307 0.0225 3.7644 0.3198 0.4891
8.40 -1.125 -2.50 2.1128 0.2780 0.0331 5.0447 0.2205 0.3511
8.40 -1.000 -3.00 3.4953 0.1785 0.0130 2.4161 0.5856 0.6683
8.40 -1.000 -2.75 2.7801 0.2262 0.0218 3.7048 0.4222 0.4847
8.40 -1.000 -2.50 2.0786 0.2733 0.0323 4.9763 0.2915 0.3482
8.50 -1.500 -3.00 3.4524 0.1434 0.0083 2.0246 0.2031 0.7147
8.50 -1.500 -2.75 2.8433 0.1868 0.0142 3.1887 0.1491 0.5194
8.50 -1.500 -2.50 2.1843 0.2299 0.0214 4.3714 0.1041 0.3728
8.50 -1.375 -3.00 3.4109 0.1415 0.0081 2.0041 0.2690 0.7106
8.50 -1.375 -2.75 2.8147 0.1848 0.0140 3.1625 0.1977 0.5168
8.50 -1.375 -2.50 2.1656 0.2278 0.0211 4.3411 0.1381 0.3712
8.50 -1.250 -3.00 3.3579 0.1392 0.0079 1.9772 0.3556 0.7052
8.50 -1.250 -2.75 2.7772 0.1822 0.0137 3.1278 0.2617 0.5134
8.50 -1.250 -2.50 2.1404 0.2251 0.0208 4.3010 0.1830 0.3690
8.50 -1.125 -3.00 3.2893 0.1361 0.0077 1.9422 0.4688 0.6982
8.50 -1.125 -2.75 2.7292 0.1789 0.0133 3.0832 0.3457 0.5089
8.50 -1.125 -2.50 2.1079 0.2216 0.0203 4.2487 0.2420 0.3661
8.50 -1.000 -3.00 3.1980 0.1321 0.0073 1.8967 0.6155 0.6886
8.50 -1.000 -2.75 2.6638 0.1744 0.0128 3.0231 0.4550 0.5030
8.50 -1.000 -2.50 2.0649 0.2170 0.0196 4.1799 0.3192 0.3623
8.60 -1.250 -3.00 2.8886 0.0879 0.0037 1.3791 0.3624 0.6927
8.60 -1.250 -2.75 2.5445 0.1225 0.0069 2.3039 0.2763 0.5092
8.60 -1.250 -2.50 2.0548 0.1583 0.0109 3.2962 0.1972 0.3665
8.60 -1.125 -3.00 2.8101 0.0853 0.0036 1.3478 0.4758 0.6833
8.60 -1.125 -2.75 2.4858 0.1195 0.0066 2.2615 0.3637 0.5033
8.60 -1.125 -2.50 2.0130 0.1549 0.0105 3.2437 0.2600 0.3626
8.60 -1.000 -3.00 2.7082 0.0820 0.0034 1.3069 0.6214 0.6708
8.60 -1.000 -2.75 2.4084 0.1156 0.0063 2.2049 0.4766 0.4953
8.60 -1.000 -2.50 1.9592 0.1506 0.0101 3.1752 0.3416 0.3575
8.60 -0.875 -3.00 2.5776 0.0778 0.0031 1.2544 0.8059 0.6543
8.60 -0.875 -2.75 2.3093 0.1105 0.0059 2.1317 0.6210 0.4849
8.60 -0.875 -2.50 1.8901 0.1450 0.0095 3.0868 0.4466 0.3509
8.60 -0.750 -3.00 2.4155 0.0725 0.0028 1.1881 1.0361 0.6333
8.60 -0.750 -2.75 2.1845 0.1041 0.0054 2.0376 0.8030 0.4714
8.60 -0.750 -2.50 1.8011 0.1379 0.0088 2.9717 0.5801 0.3422
8.70 -1.250 -3.00 2.1286 0.0471 0.0014 0.8624 0.3382 0.6308
