#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5 (O/H vs N/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
7.40 -1.750 -1.25 0.2054 0.0617 0.0079 0.2279 0.0156 0.2431
7.40 -1.750 -1.00 0.2332 0.0625 0.0033 0.1047 0.0167 0.3908
7.40 -1.750 -0.75 0.2542 0.0600 0.0015 0.0540 0.0170 0.6182
7.40 -1.750 -0.50 0.2668 0.0558 0.0000 0.0374 0.0169 0.7832
7.40 -1.625 -2.50 0.3243 0.1108 0.0426 1.4712 0.0176 0.1703
7.40 -1.625 -2.25 0.2510 0.1014 0.0455 1.3990 0.0163 0.1534
7.40 -1.625 -2.00 0.2059 0.0868 0.0407 1.1477 0.0162 0.1597
7.40 -1.625 -1.75 0.1852 0.0727 0.0293 0.7931 0.0170 0.1659
7.40 -1.625 -1.50 0.1861 0.0637 0.0168 0.4595 0.0187 0.1873
7.40 -1.625 -1.25 0.2055 0.0616 0.0079 0.2283 0.0208 0.2391
7.40 -1.625 -1.00 0.2333 0.0626 0.0033 0.1048 0.0223 0.3881
7.40 -1.625 -0.75 0.2539 0.0599 0.0015 0.0539 0.0227 0.6215
7.40 -1.625 -0.50 0.2668 0.0558 0.0000 0.0374 0.0225 0.7830
7.40 -1.500 -2.50 0.3244 0.1107 0.0426 1.4718 0.0235 0.1693
7.40 -1.500 -2.25 0.2510 0.1014 0.0455 1.3989 0.0217 0.1534
7.40 -1.500 -2.00 0.2059 0.0869 0.0407 1.1475 0.0215 0.1606
7.40 -1.500 -1.75 0.1852 0.0727 0.0293 0.7932 0.0227 0.1659
7.40 -1.500 -1.50 0.1860 0.0637 0.0168 0.4596 0.0249 0.1872
7.40 -1.500 -1.25 0.2054 0.0616 0.0079 0.2283 0.0277 0.2399
7.40 -1.500 -1.00 0.2332 0.0625 0.0033 0.1047 0.0298 0.3908
7.40 -1.500 -0.75 0.2540 0.0599 0.0015 0.0540 0.0302 0.6204
7.40 -1.500 -0.50 0.2668 0.0558 0.0000 0.0374 0.0300 0.7829
7.50 -1.750 -2.50 0.4065 0.1390 0.0537 1.8528 0.0166 0.2126
7.50 -1.750 -2.25 0.3141 0.1275 0.0577 1.7611 0.0153 0.1978
7.50 -1.750 -2.00 0.2575 0.1088 0.0517 1.4439 0.0152 0.2047
7.50 -1.750 -1.75 0.2316 0.0908 0.0371 0.9955 0.0160 0.2127
7.50 -1.750 -1.50 0.2330 0.0795 0.0211 0.5761 0.0176 0.2406
7.50 -1.750 -1.25 0.2585 0.0768 0.0098 0.2852 0.0195 0.3221
7.50 -1.750 -1.00 0.2930 0.0772 0.0041 0.1311 0.0209 0.5017
7.50 -1.750 -0.75 0.3185 0.0739 0.0019 0.0676 0.0212 0.7770
7.50 -1.750 -0.50 0.3344 0.0691 0.0012 0.0468 0.0211 0.9653
7.50 -1.625 -2.50 0.4065 0.1389 0.0536 1.8516 0.0221 0.2125
7.50 -1.625 -2.25 0.3141 0.1274 0.0576 1.7598 0.0204 0.1981
7.50 -1.625 -2.00 0.2576 0.1088 0.0516 1.4436 0.0202 0.2039
7.50 -1.625 -1.75 0.2317 0.0908 0.0370 0.9954 0.0213 0.2127
7.50 -1.625 -1.50 0.2330 0.0796 0.0211 0.5760 0.0234 0.2422
7.50 -1.625 -1.25 0.2586 0.0768 0.0098 0.2855 0.0260 0.3195
7.50 -1.625 -1.00 0.2931 0.0772 0.0041 0.1312 0.0279 0.4996
7.50 -1.625 -0.75 0.3193 0.0742 0.0019 0.0679 0.0283 0.7665
7.50 -1.625 -0.50 0.3345 0.0691 0.0012 0.0469 0.0281 0.9644
7.50 -1.500 -2.50 0.4064 0.1387 0.0535 1.8495 0.0295 0.2129
7.50 -1.500 -2.25 0.3142 0.1272 0.0575 1.7600 0.0273 0.1951
7.50 -1.500 -2.00 0.2577 0.1088 0.0515 1.4427 0.0270 0.2051
7.50 -1.500 -1.75 0.2319 0.0909 0.0370 0.9951 0.0284 0.2134
7.50 -1.500 -1.50 0.2332 0.0796 0.0211 0.5759 0.0312 0.2424
7.50 -1.500 -1.25 0.2586 0.0768 0.0098 0.2856 0.0347 0.3185
7.50 -1.500 -1.00 0.2929 0.0772 0.0041 0.1309 0.0372 0.5060
7.50 -1.500 -0.75 0.3186 0.0739 0.0019 0.0677 0.0377 0.7754
7.50 -1.500 -0.50 0.3345 0.0691 0.0012 0.0468 0.0374 0.9648
7.60 -1.750 -2.50 0.5078 0.1721 0.0653 2.2974 0.0208 0.2703
7.60 -1.750 -2.25 0.3935 0.1584 0.0707 2.1935 0.0193 0.2502
7.60 -1.750 -2.00 0.3234 0.1358 0.0637 1.8033 0.0191 0.2629
7.60 -1.750 -1.75 0.2914 0.1136 0.0460 1.2460 0.0201 0.2776
7.60 -1.750 -1.50 0.2932 0.0994 0.0263 0.7211 0.0220 0.3179
7.60 -1.750 -1.25 0.3252 0.0952 0.0122 0.3569 0.0244 0.4255
7.60 -1.750 -1.00 0.3675 0.0950 0.0052 0.1640 0.0261 0.6485
7.60 -1.750 -0.75 0.3994 0.0911 0.0024 0.0851 0.0264 0.9553
7.60 -1.750 -0.50 0.4214 0.0862 0.0015 0.0594 0.0264 1.1465
7.60 -1.625 -2.50 0.5078 0.1719 0.0652 2.2958 0.0277 0.2697
7.60 -1.625 -2.25 0.3936 0.1584 0.0705 2.1911 0.0257 0.2512
7.60 -1.625 -2.00 0.3235 0.1358 0.0635 1.8019 0.0254 0.2639
7.60 -1.625 -1.75 0.2916 0.1136 0.0459 1.2458 0.0268 0.2773
7.60 -1.625 -1.50 0.2934 0.0993 0.0263 0.7214 0.0294 0.3169
7.60 -1.625 -1.25 0.3253 0.0952 0.0122 0.3574 0.0325 0.4215
7.60 -1.625 -1.00 0.3673 0.0949 0.0051 0.1639 0.0347 0.6521
7.60 -1.625 -0.75 0.3990 0.0910 0.0024 0.0850 0.0352 0.9588
7.60 -1.625 -0.50 0.4214 0.0861 0.0015 0.0594 0.0352 1.1473
7.60 -1.500 -2.50 0.5075 0.1717 0.0649 2.2916 0.0370 0.2717
7.60 -1.500 -2.25 0.3936 0.1582 0.0702 2.1883 0.0343 0.2514
7.60 -1.500 -2.00 0.3236 0.1358 0.0634 1.8010 0.0339 0.2639
7.60 -1.500 -1.75 0.2917 0.1136 0.0458 1.2459 0.0357 0.2772
7.60 -1.500 -1.50 0.2935 0.0994 0.0262 0.7210 0.0392 0.3201
7.60 -1.500 -1.25 0.3254 0.0952 0.0122 0.3576 0.0433 0.4199
7.60 -1.500 -1.00 0.3674 0.0949 0.0052 0.1640 0.0463 0.6494
7.60 -1.500 -0.75 0.3990 0.0910 0.0024 0.0850 0.0469 0.9587
7.60 -1.500 -0.50 0.4215 0.0861 0.0015 0.0594 0.0469 1.1470
7.70 -1.750 -2.50 0.6324 0.2116 0.0786 2.8357 0.0260 0.3394
7.70 -1.750 -2.25 0.4916 0.1959 0.0858 2.7199 0.0241 0.3188
7.70 -1.750 -2.00 0.4051 0.1688 0.0779 2.2442 0.0239 0.3415
7.70 -1.750 -1.75 0.3659 0.1414 0.0567 1.5559 0.0252 0.3632
7.70 -1.750 -1.50 0.3684 0.1235 0.0325 0.9002 0.0276 0.4240
7.70 -1.750 -1.25 0.4083 0.1170 0.0151 0.4461 0.0303 0.5561
7.70 -1.750 -1.00 0.4593 0.1156 0.0064 0.2049 0.0323 0.8306
7.70 -1.750 -0.75 0.5007 0.1119 0.0030 0.1075 0.0329 1.1357
7.70 -1.750 -0.50 0.5328 0.1073 0.0020 0.0756 0.0331 1.3465
7.70 -1.625 -2.50 0.6321 0.2113 0.0784 2.8309 0.0347 0.3408
7.70 -1.625 -2.25 0.4916 0.1957 0.0855 2.7173 0.0322 0.3189
7.70 -1.625 -2.00 0.4052 0.1687 0.0777 2.2430 0.0319 0.3414
7.70 -1.625 -1.75 0.3660 0.1414 0.0566 1.5560 0.0336 0.3633
7.70 -1.625 -1.50 0.3686 0.1234 0.0325 0.9008 0.0367 0.4219
7.70 -1.625 -1.25 0.4084 0.1170 0.0152 0.4464 0.0405 0.5538
7.70 -1.625 -1.00 0.4591 0.1156 0.0064 0.2048 0.0430 0.8329
7.70 -1.625 -0.75 0.5010 0.1120 0.0030 0.1076 0.0439 1.1357
7.70 -1.625 -0.50 0.5329 0.1073 0.0020 0.0756 0.0441 1.3453
7.70 -1.500 -2.50 0.6320 0.2110 0.0781 2.8274 0.0463 0.3397
7.70 -1.500 -2.25 0.4914 0.1955 0.0851 2.7122 0.0429 0.3207
7.70 -1.500 -2.00 0.4054 0.1686 0.0774 2.2409 0.0426 0.3413
7.70 -1.500 -1.75 0.3663 0.1414 0.0564 1.5555 0.0448 0.3630
7.70 -1.500 -1.50 0.3689 0.1234 0.0325 0.9012 0.0490 0.4216
7.70 -1.500 -1.25 0.4083 0.1170 0.0151 0.4464 0.0539 0.5551
7.70 -1.500 -1.00 0.4590 0.1155 0.0064 0.2047 0.0574 0.8341
7.70 -1.500 -0.75 0.5011 0.1120 0.0031 0.1077 0.0585 1.1301
7.70 -1.500 -0.50 0.5329 0.1073 0.0020 0.0756 0.0588 1.3454
7.80 -1.750 -2.50 0.7844 0.2581 0.0935 3.4798 0.0325 0.4209
7.80 -1.750 -2.25 0.6121 0.2406 0.1031 3.3575 0.0302 0.4029
7.80 -1.750 -2.00 0.5062 0.2085 0.0946 2.7861 0.0299 0.4360
7.80 -1.750 -1.75 0.4584 0.1750 0.0696 1.9403 0.0315 0.4694
7.80 -1.750 -1.50 0.4618 0.1523 0.0402 1.1242 0.0344 0.5539
7.80 -1.750 -1.25 0.5105 0.1427 0.0188 0.5570 0.0376 0.7249
7.80 -1.750 -1.00 0.5716 0.1399 0.0080 0.2567 0.0399 1.0260
7.80 -1.750 -0.75 0.6303 0.1378 0.0039 0.1372 0.0410 1.3187
7.80 -1.750 -0.50 0.6686 0.1322 0.0025 0.0956 0.0411 1.5906
7.80 -1.625 -2.50 0.7839 0.2577 0.0932 3.4742 0.0433 0.4213
