#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 40000 -2.00 0.2936 1.3156 0.0160 0.0454 0.0209 0.0537 0.0149 0.0000 0.0000 0.0184 0.0046
7.1 40000 -1.75 0.2137 1.5434 0.0121 0.0466 0.0207 0.0536 0.0149 0.0000 0.0000 0.0193 0.0033
7.1 40000 -1.50 0.1585 1.7498 0.0094 0.0463 0.0206 0.0534 0.0148 0.0000 0.0000 0.0198 0.0025
7.1 45000 -4.00 0.5336 0.0051 0.1416 0.0096 0.0218 0.0559 0.0158 0.0000 0.0000 0.0075 0.0258
7.1 45000 -3.75 0.6343 0.0169 0.1200 0.0140 0.0219 0.0560 0.0158 0.0000 0.0000 0.0088 0.0272
7.1 45000 -3.50 0.7305 0.0534 0.0968 0.0192 0.0218 0.0559 0.0158 0.0000 0.0000 0.0102 0.0269
7.1 45000 -3.25 0.7806 0.1507 0.0740 0.0249 0.0217 0.0555 0.0156 0.0000 0.0000 0.0117 0.0235
7.1 45000 -3.00 0.7362 0.3407 0.0545 0.0305 0.0215 0.0551 0.0155 0.0000 0.0000 0.0132 0.0181
7.1 45000 -2.75 0.6086 0.6103 0.0393 0.0357 0.0214 0.0547 0.0153 0.0000 0.0000 0.0147 0.0128
7.1 45000 -2.50 0.4580 0.9090 0.0281 0.0401 0.0212 0.0544 0.0152 0.0000 0.0000 0.0161 0.0087
7.1 45000 -2.25 0.3303 1.1989 0.0204 0.0435 0.0211 0.0541 0.0151 0.0000 0.0000 0.0173 0.0059
7.1 45000 -2.00 0.2373 1.4672 0.0152 0.0454 0.0209 0.0539 0.0150 0.0000 0.0000 0.0180 0.0042
7.1 45000 -1.75 0.1735 1.7138 0.0117 0.0457 0.0208 0.0538 0.0149 0.0000 0.0017 0.0180 0.0031
7.1 45000 -1.50 0.1301 1.9424 0.0093 0.0443 0.0207 0.0536 0.0149 0.0000 0.0029 0.0174 0.0024
7.1 50000 -4.00 0.5424 0.0092 0.1457 0.0102 0.0229 0.0585 0.0166 0.0000 0.0000 0.0082 0.0263
7.1 50000 -3.75 0.6363 0.0303 0.1223 0.0147 0.0226 0.0577 0.0163 0.0000 0.0000 0.0094 0.0272
