#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.4 0.039 -3.68 1.1836 0.2043 0.1491 0.0327 0.0171 0.0437 0.0123 0.0021 0.0000 0.0139 0.0428
7.4 0.017 -3.68 0.8546 0.1497 0.1069 0.0237 0.0124 0.0319 0.0091 0.0028 0.0000 0.0101 0.0308
7.4 1.000 -3.51 1.2009 0.3418 0.2000 0.0386 0.0224 0.0573 0.0161 0.0000 0.0000 0.0168 0.0468
7.4 0.800 -3.48 1.2771 0.4185 0.1545 0.0439 0.0208 0.0532 0.0149 0.0000 0.0000 0.0174 0.0451
7.4 0.521 -3.45 1.2484 0.5499 0.1361 0.0483 0.0207 0.0529 0.0149 0.0011 0.0000 0.0182 0.0408
7.4 0.215 -3.41 1.1788 0.6649 0.1224 0.0505 0.0202 0.0516 0.0145 0.0018 0.0000 0.0185 0.0360
7.4 0.102 -3.39 1.1294 0.6668 0.1141 0.0491 0.0193 0.0495 0.0140 0.0025 0.0000 0.0179 0.0337
7.4 0.059 -3.38 1.1827 0.6996 0.1179 0.0514 0.0196 0.0501 0.0141 0.0030 0.0000 0.0187 0.0351
7.4 0.035 -3.38 1.0214 0.6024 0.1006 0.0442 0.0168 0.0429 0.0120 0.0035 0.0000 0.0161 0.0301
7.4 0.015 -3.38 0.7163 0.4296 0.0702 0.0312 0.0119 0.0305 0.0087 0.0044 0.0000 0.0113 0.0210
7.4 1.000 -3.26 1.0095 0.8002 0.1479 0.0504 0.0220 0.0563 0.0158 0.0000 0.0000 0.0191 0.0354
7.4 0.781 -3.22 0.9964 1.0027 0.1025 0.0578 0.0208 0.0531 0.0149 0.0010 0.0000 0.0201 0.0301
7.4 0.494 -3.16 0.8243 1.2804 0.0835 0.0628 0.0207 0.0529 0.0148 0.0016 0.0000 0.0211 0.0220
7.4 0.197 -3.08 0.7035 1.5212 0.0726 0.0669 0.0208 0.0532 0.0149 0.0031 0.0000 0.0221 0.0172
7.4 0.107 -3.05 0.6374 1.4862 0.0650 0.0637 0.0193 0.0495 0.0139 0.0041 0.0000 0.0209 0.0151
7.4 0.069 -3.04 0.6110 1.4548 0.0617 0.0618 0.0184 0.0472 0.0132 0.0049 0.0000 0.0203 0.0143
7.4 0.028 -3.02 0.6019 1.4514 0.0598 0.0611 0.0179 0.0457 0.0127 0.0068 0.0000 0.0200 0.0139
7.4 0.022 -3.02 0.4860 1.1738 0.0478 0.0493 0.0143 0.0366 0.0102 0.0074 0.0000 0.0162 0.0112
7.4 1.000 -3.02 0.7454 1.3479 0.1067 0.0600 0.0216 0.0554 0.0155 0.0000 0.0000 0.0209 0.0249
7.4 0.791 -2.97 0.6438 1.6601 0.0647 0.0679 0.0207 0.0529 0.0148 0.0012 0.0000 0.0222 0.0174
7.4 0.500 -2.88 0.4189 2.0276 0.0464 0.0727 0.0206 0.0528 0.0147 0.0018 0.0000 0.0231 0.0096
7.4 0.198 -2.74 0.2855 2.3331 0.0339 0.0756 0.0204 0.0522 0.0146 0.0043 0.0012 0.0236 0.0059
7.4 0.108 -2.68 0.2490 2.3486 0.0295 0.0735 0.0194 0.0498 0.0139 0.0068 0.0013 0.0229 0.0050
7.4 0.063 -2.64 0.2260 2.2911 0.0266 0.0703 0.0181 0.0465 0.0129 0.0093 0.0013 0.0219 0.0045
7.4 0.021 -2.60 0.1744 1.8838 0.0202 0.0567 0.0143 0.0368 0.0102 0.0139 0.0012 0.0177 0.0034
7.4 0.016 -2.59 0.1777 1.9275 0.0205 0.0578 0.0145 0.0370 0.0102 0.0167 0.0012 0.0180 0.0034
7.4 1.000 -2.77 0.5508 1.8488 0.0792 0.0646 0.0213 0.0547 0.0153 0.0011 0.0013 0.0215 0.0180
7.4 0.792 -2.71 0.3958 2.2483 0.0404 0.0720 0.0206 0.0526 0.0147 0.0014 0.0016 0.0227 0.0098
7.4 0.490 -2.60 0.2061 2.6596 0.0244 0.0746 0.0205 0.0525 0.0146 0.0022 0.0024 0.0229 0.0042
7.4 0.200 -2.41 0.1177 3.0403 0.0141 0.0732 0.0201 0.0517 0.0144 0.0053 0.0039 0.0219 0.0022
7.4 0.104 -2.29 0.0898 3.1002 0.0102 0.0683 0.0189 0.0488 0.0135 0.0097 0.0047 0.0201 0.0016
7.4 0.050 -2.19 0.0714 3.0062 0.0078 0.0618 0.0172 0.0443 0.0122 0.0181 0.0051 0.0180 0.0012
7.4 0.020 -2.12 0.0568 2.6803 0.0060 0.0528 0.0143 0.0370 0.0102 0.0301 0.0049 0.0153 0.0000
7.4 0.012 -2.09 0.0405 2.0004 0.0042 0.0387 0.0104 0.0268 0.0074 0.0359 0.0038 0.0112 0.0000
7.4 1.000 -2.53 0.4271 2.2555 0.0624 0.0643 0.0211 0.0542 0.0151 0.0014 0.0026 0.0210 0.0139
7.4 0.846 -2.48 0.3023 2.6082 0.0308 0.0697 0.0204 0.0522 0.0145 0.0016 0.0031 0.0217 0.0074
7.4 0.529 -2.37 0.1312 3.1047 0.0153 0.0702 0.0205 0.0525 0.0146 0.0026 0.0046 0.0211 0.0025
7.4 0.239 -2.15 0.0635 3.5321 0.0067 0.0619 0.0199 0.0512 0.0141 0.0060 0.0075 0.0177 0.0011
