#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 55000.0000 -2.5200 0.3092 1.1883 0.0310 0.0386 0.0211 0.0543 0.0151 0.0041 0.0012 0.0155
7.1000 55000.0000 -2.7700 0.3959 0.9375 0.0397 0.0368 0.0213 0.0547 0.0153 0.0034 0.0000 0.0152
7.1000 55000.0000 -3.0200 0.5212 0.6351 0.0538 0.0327 0.0216 0.0553 0.0155 0.0030 0.0000 0.0141
7.1000 55000.0000 -3.2600 0.6608 0.3319 0.0746 0.0267 0.0218 0.0558 0.0157 0.0027 0.0000 0.0125
7.1000 55000.0000 -3.5100 0.7129 0.1192 0.1010 0.0200 0.0221 0.0565 0.0159 0.0024 0.0000 0.0108
7.1000 55000.0000 -3.7600 0.6484 0.0343 0.1276 0.0140 0.0223 0.0570 0.0161 0.0019 0.0000 0.0092
7.1000 55000.0000 -4.0100 0.5491 0.0095 0.1508 0.0093 0.0224 0.0572 0.0162 0.0013 0.0000 0.0078
7.1000 60000.0000 -1.5000 0.1206 1.8073 0.0170 0.0301 0.0190 0.0493 0.0136 0.0231 0.0057 0.0119
7.1000 60000.0000 -1.7600 0.1438 1.7054 0.0191 0.0326 0.0196 0.0506 0.0140 0.0175 0.0047 0.0129
7.1000 60000.0000 -2.0800 0.1837 1.5388 0.0227 0.0353 0.0202 0.0520 0.0144 0.0123 0.0033 0.0140
7.1000 60000.0000 -2.2700 0.2152 1.4196 0.0257 0.0364 0.0204 0.0527 0.0146 0.0100 0.0026 0.0145
7.1000 60000.0000 -2.5200 0.2702 1.2299 0.0313 0.0370 0.0208 0.0535 0.0149 0.0078 0.0016 0.0149
7.1000 60000.0000 -2.7700 0.3476 0.9892 0.0397 0.0360 0.0211 0.0542 0.0151 0.0064 0.0000 0.0148
7.1000 60000.0000 -3.0100 0.4587 0.7045 0.0530 0.0327 0.0214 0.0549 0.0154 0.0057 0.0000 0.0141
7.1000 60000.0000 -3.2600 0.6066 0.3867 0.0742 0.0270 0.0218 0.0558 0.0157 0.0053 0.0000 0.0127
7.1000 60000.0000 -3.5000 0.6868 0.1563 0.0997 0.0207 0.0222 0.0568 0.0160 0.0047 0.0000 0.0111
7.1000 60000.0000 -3.7600 0.6455 0.0452 0.1281 0.0146 0.0227 0.0580 0.0164 0.0037 0.0000 0.0096
7.1000 60000.0000 -4.0100 0.5533 0.0127 0.1529 0.0099 0.0230 0.0590 0.0167 0.0026 0.0000 0.0082
7.1000 70000.0000 -1.5300 0.1066 1.6109 0.0179 0.0253 0.0172 0.0444 0.0123 0.0501 0.0062 0.0101
7.1000 70000.0000 -1.7800 0.1256 1.5687 0.0203 0.0278 0.0180 0.0465 0.0129 0.0400 0.0053 0.0111
7.1000 70000.0000 -2.1000 0.1583 1.4636 0.0241 0.0308 0.0189 0.0487 0.0135 0.0300 0.0041 0.0123
7.1000 70000.0000 -2.2800 0.1840 1.3750 0.0271 0.0323 0.0194 0.0499 0.0139 0.0253 0.0033 0.0130
7.1000 70000.0000 -2.5300 0.2290 1.2240 0.0327 0.0336 0.0199 0.0512 0.0142 0.0206 0.0023 0.0136
7.1000 70000.0000 -2.7800 0.2928 1.0224 0.0411 0.0338 0.0204 0.0523 0.0146 0.0174 0.0013 0.0140
7.1000 70000.0000 -3.0200 0.3869 0.7669 0.0541 0.0318 0.0209 0.0535 0.0150 0.0157 0.0000 0.0138
7.1000 70000.0000 -3.2700 0.5263 0.4624 0.0753 0.0270 0.0214 0.0549 0.0154 0.0146 0.0000 0.0128
7.1000 70000.0000 -3.5000 0.6347 0.2115 0.1012 0.0212 0.0221 0.0566 0.0159 0.0131 0.0000 0.0114
7.1000 70000.0000 -3.7600 0.6331 0.0662 0.1310 0.0152 0.0230 0.0588 0.0166 0.0103 0.0000 0.0100
7.1000 70000.0000 -4.0100 0.5548 0.0189 0.1586 0.0105 0.0240 0.0613 0.0173 0.0074 0.0000 0.0088
7.1000 80000.0000 -1.5500 0.0993 1.3334 0.0184 0.0219 0.0150 0.0385 0.0107 0.0860 0.0059 0.0088
7.1000 80000.0000 -1.8000 0.1164 1.3485 0.0210 0.0242 0.0160 0.0413 0.0114 0.0716 0.0054 0.0098
7.1000 80000.0000 -2.1100 0.1456 1.3107 0.0250 0.0273 0.0172 0.0443 0.0123 0.0563 0.0044 0.0110
7.1000 80000.0000 -2.3000 0.1683 1.2583 0.0283 0.0289 0.0179 0.0459 0.0128 0.0489 0.0038 0.0117
7.1000 80000.0000 -2.5400 0.2080 1.1524 0.0339 0.0306 0.0186 0.0478 0.0133 0.0411 0.0028 0.0125
7.1000 80000.0000 -2.7900 0.2642 0.9995 0.0425 0.0315 0.0193 0.0495 0.0138 0.0356 0.0017 0.0131
7.1000 80000.0000 -3.0200 0.3470 0.7863 0.0557 0.0305 0.0199 0.0510 0.0143 0.0324 0.0000 0.0133
7.1000 80000.0000 -3.2700 0.4746 0.5055 0.0773 0.0267 0.0207 0.0529 0.0148 0.0303 0.0000 0.0128
7.1000 80000.0000 -3.5100 0.5928 0.2506 0.1039 0.0212 0.0216 0.0553 0.0156 0.0270 0.0000 0.0116
7.1000 80000.0000 -3.7600 0.6174 0.0838 0.1351 0.0154 0.0229 0.0587 0.0165 0.0213 0.0000 0.0103
7.1000 80000.0000 -4.0100 0.5519 0.0242 0.1652 0.0108 0.0244 0.0625 0.0176 0.0157 0.0000 0.0092
7.1000 90000.0000 -1.5700 0.0943 1.0554 0.0185 0.0192 0.0125 0.0321 0.0089 0.1272 0.0053 0.0078
7.1000 90000.0000 -1.8100 0.1105 1.1088 0.0212 0.0215 0.0138 0.0353 0.0098 0.1094 0.0051 0.0087
7.1000 90000.0000 -2.1200 0.1378 1.1269 0.0256 0.0245 0.0152 0.0391 0.0109 0.0895 0.0044 0.0099
7.1000 90000.0000 -2.3100 0.1591 1.1076 0.0290 0.0261 0.0160 0.0411 0.0114 0.0796 0.0039 0.0106
7.1000 90000.0000 -2.5500 0.1959 1.0465 0.0349 0.0281 0.0170 0.0435 0.0121 0.0685 0.0031 0.0114
7.1000 90000.0000 -2.8000 0.2474 0.9416 0.0437 0.0294 0.0178 0.0457 0.0128 0.0605 0.0021 0.0122
7.1000 90000.0000 -3.0300 0.3224 0.7784 0.0571 0.0292 0.0186 0.0477 0.0133 0.0556 0.0000 0.0128
7.1000 90000.0000 -3.2700 0.4406 0.5284 0.0794 0.0262 0.0196 0.0500 0.0140 0.0519 0.0000 0.0127
7.1000 90000.0000 -3.5100 0.5617 0.2767 0.1071 0.0211 0.0208 0.0532 0.0150 0.0459 0.0000 0.0117
