#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 45000.0000 -3.0000 0.7362 0.3407 0.0545 0.0305 0.0215 0.0551 0.0155 0.0000 0.0000 0.0132
7.1000 45000.0000 -3.2500 0.7806 0.1507 0.0740 0.0249 0.0217 0.0555 0.0156 0.0000 0.0000 0.0117
7.1000 45000.0000 -3.5000 0.7305 0.0534 0.0968 0.0192 0.0218 0.0559 0.0158 0.0000 0.0000 0.0102
7.1000 45000.0000 -3.7500 0.6343 0.0169 0.1200 0.0140 0.0219 0.0560 0.0158 0.0000 0.0000 0.0088
7.1000 45000.0000 -4.0000 0.5336 0.0051 0.1416 0.0096 0.0218 0.0559 0.0158 0.0000 0.0000 0.0075
7.1000 50000.0000 -1.5000 0.0916 2.0449 0.0100 0.0371 0.0204 0.0528 0.0147 0.0022 0.0049 0.0142
7.1000 50000.0000 -1.7500 0.1205 1.8152 0.0123 0.0403 0.0205 0.0531 0.0148 0.0016 0.0032 0.0156
7.1000 50000.0000 -2.0000 0.1639 1.5715 0.0158 0.0418 0.0207 0.0534 0.0149 0.0013 0.0019 0.0165
7.1000 50000.0000 -2.2500 0.2300 1.3127 0.0210 0.0414 0.0209 0.0537 0.0150 0.0010 0.0000 0.0165
7.1000 50000.0000 -2.5000 0.3279 1.0385 0.0288 0.0392 0.0211 0.0541 0.0151 0.0000 0.0000 0.0159
7.1000 50000.0000 -2.7500 0.4600 0.7509 0.0399 0.0356 0.0214 0.0547 0.0153 0.0000 0.0000 0.0148
7.1000 50000.0000 -3.0000 0.6042 0.4679 0.0552 0.0308 0.0216 0.0553 0.0156 0.0000 0.0000 0.0135
7.1000 50000.0000 -3.2500 0.7025 0.2343 0.0748 0.0255 0.0219 0.0561 0.0158 0.0000 0.0000 0.0121
7.1000 50000.0000 -3.5000 0.7064 0.0921 0.0978 0.0199 0.0223 0.0569 0.0161 0.0000 0.0000 0.0107
7.1000 50000.0000 -3.7500 0.6363 0.0303 0.1223 0.0147 0.0226 0.0577 0.0163 0.0000 0.0000 0.0094
7.1000 50000.0000 -4.0000 0.5424 0.0092 0.1457 0.0102 0.0229 0.0585 0.0166 0.0000 0.0000 0.0082
7.1000 55000.0000 -1.5000 0.0891 2.1391 0.0100 0.0371 0.0204 0.0532 0.0148 0.0000 0.0047 0.0153
7.1000 55000.0000 -1.7500 0.1165 1.8893 0.0122 0.0401 0.0205 0.0534 0.0149 0.0000 0.0030 0.0166
7.1000 55000.0000 -2.0000 0.1579 1.6295 0.0156 0.0417 0.0207 0.0536 0.0149 0.0000 0.0017 0.0172
7.1000 55000.0000 -2.2500 0.2212 1.3596 0.0205 0.0415 0.0209 0.0539 0.0150 0.0000 0.0000 0.0171
7.1000 55000.0000 -2.5000 0.3157 1.0793 0.0279 0.0395 0.0211 0.0543 0.0152 0.0000 0.0000 0.0163
7.1000 55000.0000 -2.7500 0.4452 0.7879 0.0384 0.0361 0.0214 0.0550 0.0154 0.0000 0.0000 0.0151
7.1000 55000.0000 -3.0000 0.5911 0.4997 0.0528 0.0315 0.0217 0.0558 0.0157 0.0000 0.0000 0.0138
7.1000 55000.0000 -3.2500 0.6984 0.2556 0.0716 0.0264 0.0221 0.0567 0.0160 0.0000 0.0000 0.0125
7.1000 55000.0000 -3.5000 0.7121 0.1012 0.0943 0.0209 0.0226 0.0579 0.0164 0.0000 0.0000 0.0112
7.1000 55000.0000 -3.7500 0.6458 0.0338 0.1190 0.0157 0.0231 0.0593 0.0168 0.0000 0.0000 0.0099
7.1000 55000.0000 -4.0000 0.5524 0.0104 0.1438 0.0112 0.0237 0.0608 0.0172 0.0000 0.0000 0.0088
7.1000 60000.0000 -1.5000 0.0700 2.1629 0.0112 0.0301 0.0194 0.0503 0.0139 0.0040 0.0070 0.0111
