#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 80000.0000 -1.7500 0.0776 1.6729 0.0135 0.0263 0.0169 0.0437 0.0121 0.0577 0.0064 0.0098
7.1000 80000.0000 -2.0000 0.1033 1.5328 0.0174 0.0300 0.0177 0.0457 0.0126 0.0465 0.0045 0.0114
7.1000 80000.0000 -2.2500 0.1433 1.3488 0.0234 0.0326 0.0184 0.0472 0.0131 0.0393 0.0029 0.0128
7.1000 80000.0000 -2.5000 0.2046 1.1343 0.0324 0.0336 0.0189 0.0486 0.0135 0.0350 0.0016 0.0136
7.1000 80000.0000 -2.7500 0.2946 0.8981 0.0450 0.0326 0.0195 0.0499 0.0139 0.0325 0.0000 0.0138
7.1000 80000.0000 -3.0000 0.4128 0.6463 0.0621 0.0295 0.0201 0.0513 0.0144 0.0310 0.0000 0.0133
7.1000 80000.0000 -3.2500 0.5393 0.3959 0.0837 0.0249 0.0208 0.0531 0.0149 0.0292 0.0000 0.0124
7.1000 80000.0000 -3.5000 0.6223 0.1890 0.1093 0.0198 0.0217 0.0556 0.0156 0.0258 0.0000 0.0113
7.1000 80000.0000 -3.7500 0.6160 0.0694 0.1373 0.0148 0.0230 0.0587 0.0166 0.0207 0.0000 0.0101
7.1000 80000.0000 -4.0000 0.5469 0.0216 0.1658 0.0105 0.0244 0.0624 0.0176 0.0155 0.0000 0.0091
7.1000 90000.0000 -1.5000 0.0563 1.4348 0.0107 0.0189 0.0133 0.0343 0.0095 0.1156 0.0079 0.0070
7.1000 90000.0000 -1.7500 0.0718 1.4546 0.0133 0.0227 0.0147 0.0379 0.0105 0.0938 0.0067 0.0085
7.1000 90000.0000 -2.0000 0.0954 1.3932 0.0175 0.0265 0.0158 0.0408 0.0113 0.0774 0.0051 0.0101
7.1000 90000.0000 -2.2500 0.1318 1.2700 0.0236 0.0297 0.0167 0.0429 0.0119 0.0665 0.0034 0.0116
7.1000 90000.0000 -2.5000 0.1878 1.1010 0.0327 0.0315 0.0174 0.0447 0.0125 0.0597 0.0020 0.0127
7.1000 90000.0000 -2.7500 0.2697 0.8978 0.0457 0.0312 0.0181 0.0464 0.0130 0.0558 0.0000 0.0133
7.1000 90000.0000 -3.0000 0.3790 0.6676 0.0633 0.0288 0.0188 0.0481 0.0135 0.0533 0.0000 0.0131
7.1000 90000.0000 -3.2500 0.5022 0.4258 0.0858 0.0246 0.0197 0.0504 0.0142 0.0500 0.0000 0.0124
7.1000 90000.0000 -3.5000 0.5954 0.2123 0.1126 0.0197 0.0210 0.0537 0.0151 0.0438 0.0000 0.0113
7.1000 90000.0000 -3.7500 0.6036 0.0801 0.1420 0.0148 0.0227 0.0579 0.0163 0.0353 0.0000 0.0103
7.1000 90000.0000 -4.0000 0.5424 0.0252 0.1725 0.0106 0.0246 0.0628 0.0178 0.0268 0.0000 0.0094
7.4000 30000.0000 -1.5000 1.2153 1.4030 0.0301 0.0809 0.0211 0.0542 0.0151 0.0000 0.0000 0.0242
7.4000 30000.0000 -1.7500 1.5176 1.0310 0.0441 0.0767 0.0204 0.0524 0.0146 0.0000 0.0000 0.0225
7.4000 30000.0000 -2.0000 1.7715 0.6711 0.0645 0.0709 0.0191 0.0489 0.0137 0.0000 0.0000 0.0198
7.4000 30000.0000 -2.2500 1.9002 0.3796 0.0926 0.0631 0.0176 0.0451 0.0126 0.0000 0.0000 0.0170
7.4000 30000.0000 -2.5000 1.8730 0.1859 0.1281 0.0536 0.0163 0.0418 0.0117 0.0000 0.0000 0.0142
7.4000 30000.0000 -2.7500 1.7267 0.0799 0.1687 0.0428 0.0154 0.0394 0.0111 0.0000 0.0000 0.0119
7.4000 30000.0000 -3.0000 1.5242 0.0307 0.2093 0.0320 0.0147 0.0377 0.0106 0.0000 0.0000 0.0099
7.4000 30000.0000 -3.2500 1.3132 0.0108 0.2437 0.0223 0.0141 0.0362 0.0102 0.0000 0.0000 0.0082
7.4000 30000.0000 -3.5000 1.1173 0.0037 0.2675 0.0147 0.0134 0.0343 0.0097 0.0000 0.0000 0.0067
7.4000 30000.0000 -3.7500 0.9418 0.0012 0.2806 0.0092 0.0123 0.0315 0.0089 0.0000 0.0000 0.0053
7.4000 30000.0000 -4.0000 0.7899 0.0000 0.2866 0.0056 0.0109 0.0278 0.0079 0.0000 0.0000 0.0041
7.4000 32500.0000 -1.5000 0.8926 1.8725 0.0253 0.0852 0.0213 0.0549 0.0153 0.0000 0.0000 0.0259
