#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 50000 -1.82 0.1654 1.7305 0.0183 0.0355 0.0203 0.0526 0.0146 0.0027 0.0038 0.0142
7.1 50000 -1.52 0.1341 1.9021 0.0161 0.0329 0.0200 0.0517 0.0144 0.0041 0.0051 0.0131
7.1 55000 -4.00 0.5625 0.0122 0.1419 0.0117 0.0237 0.0608 0.0172 0.0000 0.0000 0.0090
7.1 55000 -3.75 0.6580 0.0431 0.1158 0.0166 0.0231 0.0593 0.0168 0.0000 0.0000 0.0102
7.1 55000 -3.51 0.7074 0.1393 0.0898 0.0222 0.0226 0.0579 0.0164 0.0000 0.0000 0.0115
7.1 55000 -3.26 0.6369 0.3695 0.0656 0.0284 0.0221 0.0567 0.0160 0.0000 0.0000 0.0130
7.1 55000 -3.02 0.4927 0.6806 0.0476 0.0338 0.0217 0.0558 0.0157 0.0000 0.0000 0.0146
7.1 55000 -2.78 0.3742 0.9848 0.0359 0.0374 0.0214 0.0550 0.0154 0.0000 0.0000 0.0157
7.1 55000 -2.54 0.2951 1.2415 0.0287 0.0386 0.0211 0.0545 0.0152 0.0000 0.0011 0.0161
7.1 55000 -2.29 0.2372 1.4607 0.0240 0.0383 0.0209 0.0539 0.0151 0.0000 0.0019 0.0160
7.1 55000 -2.09 0.2017 1.6133 0.0212 0.0375 0.0206 0.0535 0.0149 0.0000 0.0027 0.0157
7.1 55000 -1.78 0.1594 1.8233 0.0182 0.0354 0.0203 0.0527 0.0147 0.0011 0.0039 0.0149
7.1 55000 -1.53 0.1340 1.9724 0.0163 0.0332 0.0200 0.0521 0.0145 0.0016 0.0049 0.0140
7.1 60000 -4.00 0.5594 0.0189 0.1562 0.0104 0.0239 0.0610 0.0173 0.0000 0.0000 0.0092
7.1 60000 -3.75 0.6381 0.0648 0.1299 0.0151 0.0231 0.0590 0.0167 0.0000 0.0000 0.0103
7.1 60000 -3.50 0.6473 0.1983 0.1019 0.0209 0.0224 0.0572 0.0161 0.0013 0.0000 0.0116
7.1 60000 -3.27 0.5442 0.4469 0.0764 0.0269 0.0218 0.0557 0.0156 0.0014 0.0000 0.0130
7.1 60000 -3.02 0.3993 0.7649 0.0551 0.0321 0.0213 0.0544 0.0152 0.0016 0.0000 0.0143
7.1 60000 -2.78 0.3016 1.0462 0.0420 0.0346 0.0208 0.0534 0.0149 0.0017 0.0000 0.0147
7.1 60000 -2.53 0.2361 1.2925 0.0334 0.0349 0.0205 0.0526 0.0147 0.0021 0.0020 0.0144
7.1 60000 -2.28 0.1903 1.4967 0.0278 0.0338 0.0202 0.0518 0.0144 0.0026 0.0031 0.0137
7.1 60000 -2.10 0.1638 1.6293 0.0248 0.0326 0.0199 0.0512 0.0142 0.0032 0.0039 0.0131
7.1 60000 -1.78 0.1298 1.8252 0.0208 0.0300 0.0194 0.0501 0.0139 0.0047 0.0054 0.0120
7.1 60000 -1.53 0.1097 1.9594 0.0185 0.0277 0.0191 0.0492 0.0136 0.0064 0.0065 0.0110
7.1 80000 -4.00 0.5420 0.0285 0.1698 0.0111 0.0257 0.0656 0.0185 0.0016 0.0000 0.0097
7.1 80000 -3.76 0.5951 0.0933 0.1395 0.0156 0.0242 0.0617 0.0174 0.0021 0.0000 0.0106
7.1 80000 -3.51 0.5615 0.2572 0.1095 0.0209 0.0229 0.0585 0.0165 0.0026 0.0000 0.0117
7.1 80000 -3.27 0.4405 0.5147 0.0833 0.0260 0.0219 0.0560 0.0157 0.0029 0.0000 0.0128
7.1 80000 -3.03 0.3121 0.8150 0.0620 0.0292 0.0211 0.0541 0.0151 0.0031 0.0000 0.0134
7.1 80000 -2.80 0.2338 1.0771 0.0491 0.0292 0.0205 0.0526 0.0147 0.0034 0.0017 0.0129
7.1 80000 -2.56 0.1853 1.3068 0.0410 0.0277 0.0200 0.0515 0.0143 0.0040 0.0030 0.0120
7.1 80000 -2.31 0.1544 1.4951 0.0356 0.0257 0.0196 0.0505 0.0140 0.0050 0.0043 0.0111
7.1 80000 -2.07 0.1338 1.6536 0.0316 0.0235 0.0192 0.0495 0.0137 0.0064 0.0055 0.0101
7.1 80000 -1.82 0.1191 1.7931 0.0284 0.0212 0.0188 0.0485 0.0133 0.0084 0.0066 0.0092
7.1 80000 -1.58 0.1086 1.9119 0.0259 0.0191 0.0184 0.0474 0.0130 0.0110 0.0077 0.0083
7.1 100000 -4.00 0.5276 0.0342 0.1843 0.0111 0.0251 0.0640 0.0181 0.0392 0.0000 0.0099
7.1 100000 -3.76 0.5675 0.1107 0.1496 0.0153 0.0224 0.0571 0.0161 0.0510 0.0000 0.0107
7.1 100000 -3.52 0.5134 0.2919 0.1159 0.0203 0.0201 0.0512 0.0144 0.0632 0.0000 0.0116
7.1 100000 -3.28 0.3926 0.5356 0.0870 0.0248 0.0184 0.0470 0.0132 0.0715 0.0000 0.0124
7.1 100000 -3.04 0.2826 0.7550 0.0641 0.0266 0.0172 0.0440 0.0123 0.0763 0.0012 0.0121
7.1 100000 -2.81 0.2161 0.8750 0.0507 0.0257 0.0163 0.0416 0.0116 0.0814 0.0024 0.0111
7.1 100000 -2.57 0.1733 0.9451 0.0421 0.0239 0.0153 0.0392 0.0109 0.0896 0.0033 0.0102
