#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -0.875 -1.00 0.0739 0.0328 0.0011 0.0336 0.0405 0.1120
6.90 -0.875 -0.75 0.0808 0.0315 0.0000 0.0172 0.0411 0.1961
6.90 -0.875 -0.50 0.0847 0.0290 0.0000 0.0119 0.0407 0.2597
6.90 -0.750 -2.50 0.1039 0.0575 0.0146 0.4821 0.0418 0.0517
6.90 -0.750 -2.25 0.0799 0.0521 0.0155 0.4548 0.0386 0.0455
6.90 -0.750 -2.00 0.0651 0.0441 0.0137 0.3703 0.0382 0.0463
6.90 -0.750 -1.75 0.0583 0.0366 0.0097 0.2542 0.0403 0.0467
6.90 -0.750 -1.50 0.0585 0.0321 0.0055 0.1467 0.0445 0.0519
6.90 -0.750 -1.25 0.0648 0.0315 0.0025 0.0730 0.0498 0.0659
6.90 -0.750 -1.00 0.0740 0.0328 0.0011 0.0336 0.0540 0.1117
6.90 -0.750 -0.75 0.0806 0.0314 0.0000 0.0171 0.0547 0.1999
6.90 -0.750 -0.50 0.0847 0.0290 0.0000 0.0119 0.0543 0.2597
6.90 -0.625 -2.50 0.1040 0.0574 0.0146 0.4813 0.0558 0.0517
6.90 -0.625 -2.25 0.0799 0.0520 0.0154 0.4541 0.0515 0.0457
6.90 -0.625 -2.00 0.0652 0.0441 0.0136 0.3700 0.0509 0.0466
6.90 -0.625 -1.75 0.0584 0.0366 0.0096 0.2541 0.0538 0.0469
6.90 -0.625 -1.50 0.0585 0.0321 0.0054 0.1468 0.0593 0.0520
6.90 -0.625 -1.25 0.0647 0.0315 0.0025 0.0730 0.0664 0.0664
6.90 -0.625 -1.00 0.0740 0.0328 0.0011 0.0336 0.0720 0.1113
6.90 -0.625 -0.75 0.0807 0.0314 0.0000 0.0172 0.0729 0.1993
6.90 -0.625 -0.50 0.0847 0.0290 0.0000 0.0119 0.0723 0.2598
6.90 -0.500 -2.50 0.1039 0.0573 0.0145 0.4799 0.0744 0.0519
6.90 -0.500 -2.25 0.0800 0.0520 0.0153 0.4531 0.0687 0.0458
6.90 -0.500 -2.00 0.0653 0.0441 0.0135 0.3694 0.0680 0.0471
6.90 -0.500 -1.75 0.0584 0.0367 0.0096 0.2541 0.0717 0.0473
6.90 -0.500 -1.50 0.0586 0.0322 0.0054 0.1469 0.0791 0.0523
6.90 -0.500 -1.25 0.0648 0.0315 0.0025 0.0730 0.0885 0.0661
6.90 -0.500 -1.00 0.0740 0.0327 0.0011 0.0336 0.0959 0.1116
6.90 -0.500 -0.75 0.0806 0.0314 0.0000 0.0171 0.0971 0.1998
6.90 -0.500 -0.50 0.0847 0.0290 0.0000 0.0119 0.0964 0.2597
6.90 -0.375 -2.50 0.1039 0.0571 0.0143 0.4783 0.0993 0.0520
6.90 -0.375 -2.25 0.0800 0.0519 0.0151 0.4514 0.0917 0.0467
6.90 -0.375 -2.00 0.0654 0.0441 0.0134 0.3688 0.0908 0.0471
6.90 -0.375 -1.75 0.0586 0.0367 0.0095 0.2541 0.0958 0.0476
6.90 -0.375 -1.50 0.0587 0.0322 0.0054 0.1470 0.1056 0.0526
6.90 -0.375 -1.25 0.0648 0.0315 0.0025 0.0731 0.1180 0.0661
6.90 -0.375 -1.00 0.0739 0.0327 0.0011 0.0335 0.1277 0.1137
6.90 -0.375 -0.75 0.0806 0.0314 0.0000 0.0172 0.1295 0.1996
6.90 -0.375 -0.50 0.0847 0.0290 0.0000 0.0119 0.1286 0.2595
6.90 -0.250 -2.50 0.1039 0.0569 0.0142 0.4763 0.1324 0.0521
6.90 -0.250 -2.25 0.0800 0.0518 0.0150 0.4497 0.1224 0.0468
6.90 -0.250 -2.00 0.0655 0.0441 0.0133 0.3679 0.1212 0.0477
6.90 -0.250 -1.75 0.0587 0.0367 0.0095 0.2540 0.1279 0.0478
6.90 -0.250 -1.50 0.0589 0.0322 0.0054 0.1471 0.1408 0.0530
6.90 -0.250 -1.25 0.0648 0.0315 0.0025 0.0731 0.1573 0.0661
6.90 -0.250 -1.00 0.0739 0.0327 0.0011 0.0335 0.1701 0.1139
