#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
7.10 -1.875 -2.00 0.1091 0.1048 0.0508 1.6365 0.0014 0.0174
7.10 -1.875 -1.75 0.0819 0.1213 0.0647 1.8764 0.0011 0.0134
7.10 -1.750 -2.25 0.1515 0.0889 0.0385 1.3900 0.0026 0.0234
7.10 -1.750 -2.00 0.1091 0.1048 0.0508 1.6364 0.0019 0.0174
7.10 -1.750 -1.75 0.0819 0.1213 0.0647 1.8763 0.0014 0.0134
7.10 -1.625 -2.25 0.1515 0.0889 0.0385 1.3899 0.0035 0.0234
7.10 -1.625 -2.00 0.1091 0.1048 0.0508 1.6363 0.0025 0.0174
7.10 -1.625 -1.75 0.0819 0.1213 0.0647 1.8761 0.0019 0.0134
7.10 -1.500 -2.25 0.1515 0.0889 0.0385 1.3898 0.0046 0.0234
7.10 -1.500 -2.00 0.1091 0.1047 0.0508 1.6361 0.0033 0.0174
7.10 -1.500 -1.75 0.0819 0.1212 0.0647 1.8758 0.0025 0.0134
7.10 -1.375 -2.25 0.1515 0.0889 0.0385 1.3897 0.0062 0.0234
7.10 -1.375 -2.00 0.1091 0.1047 0.0508 1.6359 0.0044 0.0174
7.10 -1.375 -1.75 0.0819 0.1212 0.0647 1.8756 0.0033 0.0134
7.10 -1.250 -2.25 0.1515 0.0889 0.0385 1.3894 0.0082 0.0234
7.10 -1.250 -2.00 0.1091 0.1047 0.0508 1.6356 0.0059 0.0174
7.10 -1.250 -1.75 0.0819 0.1212 0.0646 1.8752 0.0044 0.0134
7.10 -1.125 -2.25 0.1514 0.0889 0.0385 1.3892 0.0110 0.0234
7.10 -1.125 -2.00 0.1090 0.1047 0.0508 1.6352 0.0079 0.0174
7.10 -1.125 -1.75 0.0819 0.1212 0.0646 1.8746 0.0059 0.0134
7.10 -1.000 -2.25 0.1514 0.0888 0.0385 1.3888 0.0146 0.0234
7.10 -1.000 -2.00 0.1090 0.1046 0.0507 1.6346 0.0105 0.0174
7.10 -1.000 -1.75 0.0818 0.1211 0.0645 1.8739 0.0079 0.0134
7.10 -0.875 -2.25 0.1514 0.0888 0.0384 1.3883 0.0195 0.0234
7.10 -0.875 -2.00 0.1090 0.1046 0.0507 1.6339 0.0140 0.0174
7.10 -0.875 -1.75 0.0818 0.1210 0.0645 1.8729 0.0105 0.0134
7.10 -0.750 -2.25 0.1513 0.0887 0.0384 1.3876 0.0260 0.0234
7.10 -0.750 -2.00 0.1089 0.1045 0.0506 1.6330 0.0187 0.0174
7.10 -0.750 -1.75 0.0818 0.1209 0.0644 1.8716 0.0140 0.0134
7.10 -0.625 -2.25 0.1513 0.0887 0.0383 1.3867 0.0346 0.0234
7.10 -0.625 -2.00 0.1089 0.1044 0.0505 1.6318 0.0249 0.0174
7.10 -0.625 -1.75 0.0817 0.1207 0.0642 1.8695 0.0187 0.0134
7.10 -0.500 -2.25 0.1512 0.0886 0.0383 1.3855 0.0462 0.0233
7.10 -0.500 -2.00 0.1088 0.1043 0.0504 1.6301 0.0332 0.0174
7.10 -0.500 -1.75 0.0816 0.1205 0.0640 1.8670 0.0249 0.0134
7.10 -0.375 -2.25 0.1510 0.0885 0.0382 1.3839 0.0616 0.0233
7.10 -0.375 -2.00 0.1087 0.1041 0.0502 1.6278 0.0442 0.0174
7.10 -0.375 -1.75 0.0816 0.1203 0.0638 1.8639 0.0332 0.0134
7.10 -0.250 -2.25 0.1509 0.0883 0.0380 1.3818 0.0820 0.0233
7.10 -0.250 -2.00 0.1086 0.1039 0.0500 1.6248 0.0589 0.0173
7.10 -0.250 -1.75 0.0814 0.1200 0.0635 1.8600 0.0442 0.0134
7.10 -0.125 -2.25 0.1506 0.0881 0.0379 1.3790 0.1093 0.0233
7.10 -0.125 -2.00 0.1084 0.1035 0.0498 1.6208 0.0785 0.0173
7.10 -0.125 -1.75 0.0813 0.1196 0.0631 1.8549 0.0589 0.0133
7.10 0.000 -2.25 0.1488 0.0853 0.0357 1.3415 0.1451 0.0232
7.10 0.000 -2.00 0.1067 0.0990 0.0459 1.5611 0.1038 0.0172
7.10 0.000 -1.75 0.0796 0.1126 0.0567 1.7650 0.0776 0.0132
7.20 -2.000 -2.25 0.1928 0.1114 0.0481 1.7433 0.0018 0.0293
7.20 -2.000 -2.00 0.1389 0.1319 0.0641 2.0613 0.0013 0.0218
7.20 -2.000 -1.75 0.1044 0.1540 0.0828 2.3797 0.0000 0.0168
7.20 -1.875 -2.25 0.1927 0.1113 0.0481 1.7425 0.0025 0.0293
7.20 -1.875 -2.00 0.1388 0.1318 0.0640 2.0600 0.0018 0.0218
7.20 -1.875 -1.75 0.1044 0.1538 0.0826 2.3772 0.0013 0.0168
7.20 -1.750 -2.25 0.1927 0.1112 0.0480 1.7414 0.0033 0.0293
7.20 -1.750 -2.00 0.1388 0.1317 0.0638 2.0581 0.0024 0.0218
7.20 -1.750 -1.75 0.1043 0.1536 0.0823 2.3742 0.0018 0.0168
7.20 -1.625 -2.25 0.1926 0.1111 0.0479 1.7399 0.0044 0.0293
7.20 -1.625 -2.00 0.1387 0.1315 0.0637 2.0559 0.0031 0.0218
7.20 -1.625 -1.75 0.1042 0.1533 0.0820 2.3703 0.0024 0.0168
7.20 -1.500 -2.25 0.1925 0.1110 0.0478 1.7380 0.0058 0.0293
7.20 -1.500 -2.00 0.1386 0.1312 0.0635 2.0524 0.0042 0.0218
7.20 -1.500 -1.75 0.1041 0.1529 0.0816 2.3650 0.0032 0.0168
7.20 -1.375 -2.25 0.1924 0.1108 0.0477 1.7352 0.0078 0.0292
7.20 -1.375 -2.00 0.1385 0.1309 0.0632 2.0483 0.0056 0.0218
7.20 -1.375 -1.75 0.1040 0.1523 0.0811 2.3574 0.0042 0.0168
7.20 -1.250 -2.25 0.1922 0.1105 0.0474 1.7317 0.0104 0.0292
7.20 -1.250 -2.00 0.1383 0.1305 0.0628 2.0425 0.0074 0.0218
7.20 -1.250 -1.75 0.1038 0.1516 0.0804 2.3487 0.0056 0.0168
7.20 -1.125 -2.25 0.1919 0.1102 0.0472 1.7271 0.0138 0.0292
7.20 -1.125 -2.00 0.1381 0.1299 0.0623 2.0345 0.0099 0.0217
7.20 -1.125 -1.75 0.1036 0.1506 0.0795 2.3363 0.0075 0.0168
7.20 -1.000 -2.25 0.1916 0.1097 0.0468 1.7210 0.0184 0.0292
7.20 -1.000 -2.00 0.1378 0.1291 0.0616 2.0246 0.0132 0.0217
7.20 -1.000 -1.75 0.1033 0.1494 0.0783 2.3207 0.0099 0.0168
7.20 -0.875 -2.25 0.1912 0.1091 0.0463 1.7130 0.0246 0.0292
7.20 -0.875 -2.00 0.1374 0.1281 0.0608 2.0117 0.0176 0.0217
7.20 -0.875 -1.75 0.1029 0.1478 0.0769 2.3007 0.0132 0.0167
7.20 -0.750 -2.25 0.1907 0.1084 0.0457 1.7025 0.0327 0.0292
7.20 -0.750 -2.00 0.1369 0.1269 0.0597 1.9948 0.0234 0.0217
7.20 -0.750 -1.75 0.1024 0.1458 0.0750 2.2750 0.0176 0.0167
7.20 -0.625 -2.25 0.1900 0.1073 0.0450 1.6889 0.0435 0.0291
7.20 -0.625 -2.00 0.1363 0.1252 0.0583 1.9733 0.0312 0.0216
7.20 -0.625 -1.75 0.1018 0.1433 0.0728 2.2425 0.0233 0.0166
7.20 -0.500 -2.25 0.1891 0.1060 0.0440 1.6713 0.0579 0.0291
7.20 -0.500 -2.00 0.1354 0.1232 0.0566 1.9459 0.0414 0.0216
7.20 -0.500 -1.75 0.1009 0.1402 0.0700 2.2021 0.0310 0.0165
7.20 -0.375 -2.25 0.1878 0.1044 0.0428 1.6490 0.0771 0.0290
7.20 -0.375 -2.00 0.1343 0.1206 0.0545 1.9116 0.0550 0.0215
7.20 -0.375 -1.75 0.0999 0.1364 0.0668 2.1525 0.0410 0.0165
7.20 -0.250 -2.25 0.1863 0.1023 0.0412 1.6208 0.1024 0.0289
7.20 -0.250 -2.00 0.1330 0.1175 0.0521 1.8694 0.0730 0.0214
7.20 -0.250 -1.75 0.0986 0.1320 0.0630 2.0930 0.0543 0.0163
7.20 -0.125 -2.25 0.1842 0.0998 0.0394 1.5857 0.1359 0.0287
7.20 -0.125 -2.00 0.1312 0.1137 0.0492 1.8187 0.0967 0.0212
7.20 -0.125 -1.75 0.0970 0.1268 0.0588 2.0233 0.0717 0.0162
7.20 0.000 -2.25 0.1816 0.0967 0.0373 1.5430 0.1800 0.0286
7.20 0.000 -2.00 0.1291 0.1094 0.0459 1.7588 0.1279 0.0211
7.20 0.000 -1.75 0.0952 0.1209 0.0542 1.9437 0.0946 0.0160
7.30 -2.000 -2.25 0.2432 0.1365 0.0578 2.1458 0.0023 0.0365
7.30 -2.000 -2.00 0.1750 0.1613 0.0766 2.5336 0.0017 0.0272
7.30 -2.000 -1.75 0.1313 0.1879 0.0985 2.9200 0.0013 0.0210
7.30 -1.875 -2.25 0.2431 0.1364 0.0577 2.1445 0.0031 0.0365
7.30 -1.875 -2.00 0.1749 0.1612 0.0764 2.5314 0.0022 0.0272
7.30 -1.875 -1.75 0.1312 0.1876 0.0982 2.9167 0.0017 0.0210
7.30 -1.750 -2.25 0.2430 0.1363 0.0576 2.1428 0.0041 0.0365
7.30 -1.750 -2.00 0.1748 0.1609 0.0762 2.5286 0.0030 0.0272
7.30 -1.750 -1.75 0.1311 0.1872 0.0979 2.9120 0.0022 0.0210
