#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.131 -3.97 1.2212 0.0978 0.2186 0.0260 0.0197 0.0502 0.0141 0.0026 0.0000 0.0141 0.0514 0.0000 0.0651
7.4 0.056 -3.97 1.2561 0.0994 0.2214 0.0268 0.0197 0.0498 0.0140 0.0036 0.0000 0.0144 0.0525 0.0000 0.0689
7.4 0.032 -3.97 1.1211 0.0874 0.1963 0.0239 0.0174 0.0440 0.0123 0.0042 0.0000 0.0128 0.0468 0.0000 0.0622
7.4 0.013 -3.97 0.8437 0.0665 0.1467 0.0180 0.0131 0.0333 0.0094 0.0061 0.0000 0.0097 0.0351 0.0000 0.0474
7.4 1.000 -3.75 1.1578 0.1640 0.2678 0.0288 0.0237 0.0606 0.0171 0.0013 0.0000 0.0157 0.0523 0.0000 0.0826
7.4 0.804 -3.74 1.2536 0.1987 0.2069 0.0327 0.0211 0.0537 0.0151 0.0015 0.0000 0.0158 0.0515 0.0000 0.0962
7.4 0.530 -3.72 1.2953 0.2648 0.1872 0.0364 0.0207 0.0526 0.0148 0.0019 0.0000 0.0164 0.0500 0.0000 0.1130
7.4 0.249 -3.69 1.2887 0.3283 0.1753 0.0387 0.0202 0.0514 0.0144 0.0028 0.0000 0.0167 0.0477 0.0000 0.1279
7.4 0.124 -3.68 1.2732 0.3400 0.1686 0.0387 0.0196 0.0500 0.0141 0.0040 0.0000 0.0166 0.0464 0.0000 0.1332
7.4 0.056 -3.68 1.3128 0.3473 0.1704 0.0398 0.0196 0.0497 0.0139 0.0056 0.0000 0.0170 0.0474 0.0000 0.1405
7.4 0.032 -3.68 1.1704 0.3058 0.1503 0.0354 0.0173 0.0437 0.0122 0.0066 0.0000 0.0151 0.0421 0.0000 0.1265
7.4 0.013 -3.68 0.8734 0.2314 0.1115 0.0265 0.0129 0.0329 0.0092 0.0094 0.0000 0.0112 0.0313 0.0000 0.0957
7.4 1.000 -3.51 1.1195 0.4481 0.2117 0.0392 0.0229 0.0584 0.0165 0.0016 0.0000 0.0175 0.0455 0.0013 0.1504
7.4 0.786 -3.48 1.1815 0.5591 0.1546 0.0453 0.0208 0.0529 0.0149 0.0019 0.0000 0.0182 0.0426 0.0016 0.1795
7.4 0.485 -3.45 1.1065 0.7571 0.1322 0.0506 0.0206 0.0523 0.0147 0.0027 0.0000 0.0190 0.0364 0.0024 0.2153
7.4 0.224 -3.41 1.0247 0.8863 0.1205 0.0528 0.0201 0.0512 0.0143 0.0044 0.0000 0.0194 0.0319 0.0031 0.2411
7.4 0.118 -3.39 0.9995 0.9053 0.1152 0.0526 0.0195 0.0497 0.0139 0.0061 0.0000 0.0192 0.0305 0.0034 0.2500
7.4 0.055 -3.38 1.0305 0.9336 0.1160 0.0541 0.0196 0.0496 0.0138 0.0087 0.0000 0.0197 0.0310 0.0036 0.2641
7.4 0.032 -3.38 0.9127 0.8216 0.1013 0.0477 0.0171 0.0433 0.0120 0.0107 0.0000 0.0173 0.0273 0.0032 0.2362
7.4 0.013 -3.38 0.6721 0.6159 0.0743 0.0354 0.0127 0.0322 0.0090 0.0148 0.0000 0.0128 0.0201 0.0024 0.1774
7.4 1.000 -3.27 0.8930 0.9408 0.1572 0.0502 0.0221 0.0566 0.0159 0.0018 0.0000 0.0195 0.0337 0.0079 0.2640
7.4 0.779 -3.22 0.8580 1.1824 0.1030 0.0581 0.0206 0.0524 0.0147 0.0023 0.0000 0.0206 0.0273 0.0100 0.3189
7.4 0.488 -3.16 0.6537 1.5168 0.0809 0.0637 0.0204 0.0521 0.0146 0.0035 0.0000 0.0216 0.0182 0.0148 0.3833
7.4 0.205 -3.09 0.5131 1.7238 0.0675 0.0659 0.0199 0.0508 0.0142 0.0068 0.0000 0.0219 0.0131 0.0220 0.4404
