#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 0.735 -2.49 0.0807 1.1352 0.0116 0.0279 0.0124 0.0316 0.0087 0.1365 0.0043 0.0102 0.0019 0.5216 0.5352
7.1 0.460 -2.38 0.0299 1.1443 0.0053 0.0251 0.0086 0.0220 0.0060 0.2158 0.0063 0.0082 0.0000 0.8013 0.6475
7.1 0.186 -2.16 0.0054 0.6131 0.0010 0.0178 0.0018 0.0046 0.0012 0.3517 0.0086 0.0045 0.0000 1.5008 0.6704
7.1 0.096 -2.01 0.0012 0.3858 0.0000 0.0140 0.0000 0.0025 0.0000 0.3676 0.0090 0.0030 0.0000 1.9850 0.6157
7.1 0.047 -1.87 0.0000 0.2697 0.0000 0.0111 0.0000 0.0017 0.0000 0.3712 0.0087 0.0020 0.0000 2.3337 0.5409
7.1 0.020 -1.72 0.0000 0.2009 0.0000 0.0090 0.0000 0.0013 0.0000 0.3777 0.0081 0.0014 0.0000 2.5500 0.4595
7.1 0.017 -1.67 0.0000 0.1820 0.0000 0.0083 0.0000 0.0012 0.0000 0.3814 0.0078 0.0012 0.0000 2.5895 0.4284
7.1 1.000 -2.33 0.1535 0.9525 0.0295 0.0240 0.0140 0.0359 0.0100 0.1140 0.0039 0.0097 0.0057 0.5435 0.4488
7.1 0.735 -2.25 0.0530 1.1293 0.0079 0.0245 0.0112 0.0285 0.0079 0.1550 0.0052 0.0089 0.0011 0.7362 0.5571
7.1 0.467 -2.15 0.0183 1.0476 0.0032 0.0204 0.0070 0.0177 0.0048 0.2419 0.0072 0.0063 0.0000 1.1083 0.6439
7.1 0.185 -1.92 0.0013 0.4027 0.0000 0.0125 0.0000 0.0025 0.0000 0.3641 0.0087 0.0027 0.0000 1.9830 0.5665
7.1 0.097 -1.76 0.0000 0.2356 0.0000 0.0090 0.0000 0.0013 0.0000 0.3733 0.0082 0.0015 0.0000 2.4204 0.4539
7.1 0.049 -1.60 0.0000 0.1517 0.0000 0.0065 0.0000 0.0000 0.0000 0.3788 0.0071 0.0000 0.0000 2.6218 0.3356
7.1 0.021 -1.42 0.0000 0.1024 0.0000 0.0046 0.0000 0.0000 0.0000 0.3908 0.0058 0.0000 0.0000 2.6268 0.2284
7.1 0.013 -1.28 0.0000 0.0793 0.0000 0.0036 0.0000 0.0000 0.0000 0.4061 0.0049 0.0000 0.0000 2.5306 0.1680
7.1 1.000 -2.14 0.1321 0.9457 0.0257 0.0222 0.0131 0.0334 0.0093 0.1267 0.0043 0.0089 0.0049 0.6453 0.4503
7.1 0.662 -2.04 0.0288 1.0834 0.0044 0.0207 0.0091 0.0233 0.0064 0.1911 0.0062 0.0072 0.0000 0.9646 0.5741
7.1 0.425 -1.93 0.0097 0.8574 0.0010 0.0162 0.0042 0.0108 0.0029 0.2921 0.0080 0.0045 0.0000 1.4036 0.6150
7.1 0.165 -1.71 0.0000 0.2565 0.0000 0.0089 0.0000 0.0014 0.0000 0.3672 0.0080 0.0016 0.0000 2.2410 0.4403
7.1 0.085 -1.55 0.0000 0.1491 0.0000 0.0061 0.0000 0.0000 0.0000 0.3755 0.0068 0.0000 0.0000 2.4914 0.3128
7.1 0.043 -1.38 0.0000 0.0969 0.0000 0.0042 0.0000 0.0000 0.0000 0.3874 0.0055 0.0000 0.0000 2.4899 0.2076
7.1 0.017 -1.18 0.0000 0.0597 0.0000 0.0026 0.0000 0.0000 0.0000 0.4070 0.0039 0.0000 0.0000 2.2417 0.1140
7.1 0.013 -1.03 0.0000 0.0439 0.0000 0.0019 0.0000 0.0000 0.0000 0.4330 0.0030 0.0000 0.0000 2.0751 0.0740
7.1 1.000 -1.84 0.1064 0.8940 0.0213 0.0194 0.0115 0.0293 0.0082 0.1488 0.0046 0.0078 0.0040 0.7620 0.4274
7.1 0.692 -1.76 0.0202 0.9634 0.0032 0.0169 0.0075 0.0191 0.0053 0.2149 0.0064 0.0058 0.0000 1.0925 0.5189
7.1 0.437 -1.65 0.0050 0.6248 0.0000 0.0120 0.0022 0.0057 0.0015 0.3272 0.0079 0.0031 0.0000 1.5862 0.5150
7.1 0.182 -1.44 0.0000 0.1664 0.0000 0.0061 0.0000 0.0000 0.0000 0.3651 0.0067 0.0000 0.0000 2.2079 0.3072
7.1 0.092 -1.28 0.0000 0.0950 0.0000 0.0040 0.0000 0.0000 0.0000 0.3788 0.0052 0.0000 0.0000 2.2963 0.1948
7.1 0.044 -1.11 0.0000 0.0574 0.0000 0.0025 0.0000 0.0000 0.0000 0.3941 0.0037 0.0000 0.0000 2.0802 0.1090
