#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
7.00 -0.875 -2.25 0.0591 0.0175 0.0308 0.0064 0.0000 0.0246 0.0223 0.0219 0.0827 0.0122 0.0510 0.0000
7.00 -0.875 -2.00 0.0582 0.0172 0.0466 0.0063 0.0000 0.0256 0.0205 0.0201 0.0895 0.0120 0.0553 0.0000
7.00 -0.750 -2.50 0.0600 0.0178 0.0180 0.0065 0.0012 0.0234 0.0231 0.0228 0.0740 0.0156 0.0455 0.0000
7.00 -0.750 -2.25 0.0591 0.0175 0.0308 0.0064 0.0000 0.0246 0.0223 0.0219 0.0827 0.0163 0.0510 0.0000
7.00 -0.750 -2.00 0.0582 0.0172 0.0467 0.0063 0.0000 0.0256 0.0205 0.0200 0.0894 0.0160 0.0552 0.0000
7.00 -0.625 -2.50 0.0601 0.0178 0.0180 0.0066 0.0012 0.0234 0.0230 0.0227 0.0739 0.0209 0.0454 0.0000
7.00 -0.625 -2.25 0.0592 0.0175 0.0309 0.0064 0.0000 0.0246 0.0223 0.0219 0.0826 0.0217 0.0509 0.0000
7.00 -0.625 -2.00 0.0583 0.0172 0.0467 0.0063 0.0000 0.0256 0.0205 0.0200 0.0893 0.0213 0.0551 0.0000
7.00 -0.500 -2.50 0.0601 0.0178 0.0180 0.0066 0.0012 0.0233 0.0230 0.0227 0.0738 0.0278 0.0454 0.0000
7.00 -0.500 -2.25 0.0593 0.0176 0.0309 0.0065 0.0000 0.0246 0.0223 0.0219 0.0825 0.0289 0.0508 0.0000
7.00 -0.500 -2.00 0.0584 0.0173 0.0468 0.0064 0.0000 0.0256 0.0204 0.0200 0.0891 0.0283 0.0550 0.0000
7.00 -0.375 -2.50 0.0602 0.0179 0.0180 0.0066 0.0012 0.0233 0.0230 0.0227 0.0737 0.0370 0.0453 0.0000
7.00 -0.375 -2.25 0.0594 0.0176 0.0309 0.0065 0.0000 0.0245 0.0222 0.0218 0.0823 0.0385 0.0507 0.0000
7.00 -0.375 -2.00 0.0586 0.0173 0.0468 0.0064 0.0000 0.0255 0.0204 0.0199 0.0888 0.0377 0.0548 0.0000
7.00 -0.250 -2.50 0.0603 0.0179 0.0180 0.0066 0.0012 0.0233 0.0230 0.0227 0.0736 0.0493 0.0452 0.0013
7.00 -0.250 -2.25 0.0595 0.0176 0.0309 0.0065 0.0000 0.0245 0.0222 0.0218 0.0821 0.0513 0.0505 0.0000
7.00 -0.250 -2.00 0.0587 0.0174 0.0469 0.0064 0.0000 0.0255 0.0203 0.0198 0.0885 0.0502 0.0546 0.0000
7.00 -0.125 -2.50 0.0604 0.0179 0.0180 0.0066 0.0012 0.0233 0.0229 0.0226 0.0734 0.0656 0.0451 0.0017
7.00 -0.125 -2.25 0.0597 0.0177 0.0309 0.0065 0.0000 0.0245 0.0221 0.0217 0.0819 0.0682 0.0504 0.0012
7.00 -0.125 -2.00 0.0589 0.0175 0.0469 0.0064 0.0000 0.0254 0.0202 0.0198 0.0881 0.0667 0.0543 0.0000
7.00 0.000 -2.50 0.0606 0.0180 0.0180 0.0066 0.0012 0.0232 0.0229 0.0226 0.0732 0.0872 0.0449 0.0023
7.00 0.000 -2.25 0.0599 0.0178 0.0309 0.0065 0.0000 0.0244 0.0220 0.0217 0.0815 0.0907 0.0501 0.0016
7.00 0.000 -2.00 0.0592 0.0176 0.0469 0.0065 0.0000 0.0253 0.0201 0.0197 0.0876 0.0886 0.0539 0.0011
7.10 -2.000 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0011 0.0570 0.0000
7.10 -2.000 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0012 0.0639 0.0000
7.10 -2.000 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0011 0.0692 0.0000
7.10 -1.875 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0015 0.0570 0.0000
