#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
#Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.4 30000.0 -4.0 0.8007 0.0 0.2867 0.0058 0.0281 0.0
7.4 32500.0 -4.0 0.8457 0.0 0.2878 0.0075 0.0342 0.0
7.4 35000.0 -4.0 0.8846 0.0016 0.2879 0.0092 0.0394 0.0
7.4 37500.0 -4.0 0.9187 0.0026 0.2878 0.0108 0.0436 0.0
7.4 45000.0 -4.0 0.9914 0.0076 0.2883 0.0147 0.0518 0.0
7.4 40000.0 -4.0 0.9469 0.0039 0.2876 0.0122 0.0469 0.0
7.4 90000.0 -3.76 1.1742 0.1871 0.2768 0.0304 0.0581 0.0365
7.4 80000.0 -3.76 1.1964 0.1618 0.2667 0.0303 0.059 0.0214
7.4 70000.0 -3.76 1.2178 0.1272 0.2576 0.0297 0.0592 0.0103
7.4 60000.0 -3.76 1.2306 0.086 0.251 0.0283 0.0583 0.0037
7.4 55000.0 -3.76 1.2285 0.065 0.2491 0.0271 0.0573 0.0019
7.4 50000.0 -3.76 1.2176 0.0451 0.2493 0.0254 0.0558 0.0
7.4 45000.0 -3.76 1.19 0.0277 0.252 0.023 0.0536 0.0
7.4 30000.0 -3.75 0.9654 0.0015 0.2793 0.0099 0.0319 0.0
7.4 32500.0 -3.75 1.0221 0.0031 0.274 0.0126 0.0385 0.0
7.4 40000.0 -3.75 1.1445 0.0143 0.2584 0.0196 0.05 0.0
7.4 35000.0 -3.75 1.0704 0.0057 0.2682 0.0152 0.0436 0.0
7.4 37500.0 -3.75 1.1111 0.0094 0.2629 0.0176 0.0473 0.0
7.4 30000.0 -3.51 1.1536 0.0051 0.2629 0.0162 0.0347 0.0
7.4 37500.0 -3.51 1.3191 0.0332 0.2274 0.0269 0.05 0.0
7.4 35000.0 -3.51 1.2766 0.0201 0.2375 0.0238 0.0468 0.0
7.4 32500.0 -3.51 1.2228 0.0109 0.2498 0.0202 0.0419 0.0
7.4 40000.0 -3.51 1.3571 0.0525 0.218 0.0299 0.0522 0.0
7.4 55000.0 -3.51 1.3456 0.2244 0.1971 0.0387 0.0568 0.0024
7.4 50000.0 -3.5 1.3751 0.1618 0.1995 0.0369 0.056 0.0011
7.4 45000.0 -3.5 1.3846 0.1029 0.2053 0.0342 0.0547 0.0
7.4 90000.0 -3.51 1.0945 0.5354 0.212 0.0414 0.0536 0.0462
7.4 80000.0 -3.51 1.1482 0.4823 0.2051 0.0416 0.0557 0.0271
7.4 70000.0 -3.5 1.2194 0.404 0.199 0.0414 0.0569 0.0131
7.4 60000.0 -3.5 1.3052 0.2958 0.1953 0.0402 0.0572 0.0047
7.4 30000.0 -3.27 1.3723 0.0184 0.2322 0.0254 0.0367 0.0
7.4 32500.0 -3.27 1.4436 0.0396 0.212 0.0306 0.0445 0.0
7.4 37500.0 -3.27 1.5153 0.1198 0.181 0.0389 0.052 0.0
7.4 35000.0 -3.27 1.4955 0.0745 0.1938 0.0353 0.0494 0.0
7.4 40000.0 -3.27 1.5135 0.1811 0.17 0.0421 0.0536 0.0
7.4 50000.0 -3.26 1.3487 0.4774 0.149 0.0495 0.056 0.0012
7.4 45000.0 -3.26 1.4486 0.3339 0.1551 0.0469 0.0552 0.0
7.4 90000.0 -3.27 0.8599 1.0205 0.1572 0.0514 0.0505 0.0523
7.4 80000.0 -3.27 0.92 0.9699 0.1525 0.0522 0.0533 0.0305
7.4 70000.0 -3.26 1.0104 0.8793 0.148 0.0526 0.0553 0.0147
7.4 60000.0 -3.26 1.149 0.7266 0.1451 0.0522 0.0562 0.0053
7.4 55000.0 -3.26 1.2411 0.6189 0.1453 0.0513 0.0563 0.0028
7.4 32500.0 -3.05 1.6279 0.1275 0.1696 0.0421 0.0467 0.0
7.4 30000.0 -3.04 1.5909 0.0645 0.1915 0.0366 0.0386 0.0
7.4 35000.0 -3.04 1.6242 0.2291 0.1495 0.0473 0.0513 0.0
7.4 37500.0 -3.03 1.5712 0.3581 0.1349 0.0515 0.0534 0.0
7.4 40000.0 -3.02 1.4835 0.5114 0.1235 0.055 0.0545 0.0
7.4 45000.0 -3.01 1.2863 0.783 0.1118 0.0592 0.0554 0.0
7.4 50000.0 -3.01 1.1126 1.0028 0.1065 0.0614 0.0558 0.0013
7.4 55000.0 -3.01 0.9756 1.1731 0.1043 0.0625 0.0558 0.003
7.4 90000.0 -3.02 0.6296 1.4987 0.1131 0.0573 0.0482 0.0563
7.4 80000.0 -3.02 0.6727 1.5013 0.1098 0.0596 0.0516 0.0328
7.4 70000.0 -3.01 0.7426 1.4487 0.1061 0.0617 0.054 0.0159
7.4 60000.0 -3.01 0.8669 1.3123 0.1032 0.063 0.0554 0.0058
7.4 30000.0 -2.8 1.7307 0.1939 0.1485 0.0482 0.0413 0.0
7.4 32500.0 -2.79 1.6817 0.3613 0.1253 0.0544 0.0493 0.0
7.4 35000.0 -2.79 1.5743 0.5529 0.1091 0.0591 0.0529 0.0
7.4 37500.0 -2.79 1.4395 0.7508 0.0984 0.0626 0.0543 0.0
7.4 40000.0 -2.78 1.2891 0.9668 0.0897 0.0657 0.055 0.0
7.4 45000.0 -2.77 1.0371 1.3088 0.0808 0.0691 0.0555 0.0
7.4 50000.0 -2.76 0.8592 1.55 0.0773 0.0703 0.0556 0.0015
7.4 55000.0 -2.76 0.739 1.7142 0.0766 0.07 0.0553 0.0034
7.4 90000.0 -2.79 0.4835 1.8102 0.0863 0.0574 0.0463 0.0614
7.4 80000.0 -2.78 0.5125 1.9004 0.0836 0.0612 0.0501 0.0361
7.4 70000.0 -2.78 0.5618 1.919 0.0803 0.0652 0.053 0.0177
7.4 60000.0 -2.77 0.656 1.8266 0.0771 0.0689 0.0548 0.0065
7.4 30000.0 -2.56 1.7244 0.4035 0.1128 0.0576 0.0451 0.0
7.4 32500.0 -2.55 1.5887 0.6565 0.0934 0.0635 0.0519 0.0
7.4 35000.0 -2.55 1.4158 0.9177 0.0807 0.0678 0.0541 0.0
7.4 37500.0 -2.55 1.2418 1.1641 0.0728 0.0709 0.0549 0.0
7.4 40000.0 -2.52 1.0693 1.4156 0.0662 0.0735 0.0553 0.0
7.4 45000.0 -2.52 0.8313 1.76 0.0612 0.0753 0.0555 0.0
7.4 50000.0 -2.52 0.6772 1.9962 0.0596 0.0748 0.0554 0.0019
7.4 55000.0 -2.52 0.5767 2.1563 0.0597 0.073 0.0549 0.0042
7.4 90000.0 -2.55 0.3832 2.0123 0.069 0.0547 0.0442 0.0699
