#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.4 55000.0 -2.75 0.8963 1.3556 0.0859 0.0669 0.0552 0.003
7.4 60000.0 -2.75 0.7849 1.4866 0.0855 0.0669 0.0548 0.0058
7.4 70000.0 -2.75 0.6479 1.6427 0.0869 0.0657 0.0531 0.0159
7.4 80000.0 -2.75 0.5737 1.7113 0.089 0.0635 0.0505 0.0329
7.4 90000.0 -2.75 0.5291 1.7253 0.0908 0.0612 0.0469 0.0565
7.4 30000.0 -2.5 1.8735 0.1859 0.1281 0.0536 0.0418 0.0
7.4 32500.0 -2.5 1.8053 0.3727 0.1062 0.0595 0.05 0.0
7.4 35000.0 -2.5 1.6565 0.6025 0.0901 0.0642 0.0536 0.0
7.4 37500.0 -2.5 1.473 0.842 0.0801 0.0675 0.0546 0.0
7.4 40000.0 -2.5 1.2896 1.0675 0.0735 0.07 0.055 0.0
7.4 45000.0 -2.5 0.9853 1.4361 0.0661 0.073 0.0553 0.0
7.4 50000.0 -2.5 0.7775 1.6954 0.0628 0.0742 0.0552 0.0015
7.4 55000.0 -2.5 0.6418 1.8725 0.0616 0.0741 0.0548 0.0033
7.4 60000.0 -2.5 0.5525 1.9923 0.0615 0.0731 0.0542 0.0064
7.4 70000.0 -2.5 0.4509 2.121 0.0626 0.0696 0.0523 0.0172
7.4 80000.0 -2.5 0.3993 2.151 0.064 0.0655 0.0493 0.0354
7.4 90000.0 -2.5 0.3693 2.109 0.065 0.0616 0.0454 0.0606
7.4 30000.0 -2.25 1.9007 0.3796 0.0925 0.0631 0.0451 0.0
7.4 32500.0 -2.25 1.7028 0.6883 0.075 0.0688 0.0522 0.0
7.4 35000.0 -2.25 1.4525 1.0121 0.0633 0.073 0.0544 0.0
7.4 37500.0 -2.25 1.213 1.3088 0.0563 0.0759 0.055 0.0
7.4 40000.0 -2.25 1.0104 1.5617 0.0519 0.078 0.0552 0.0
7.4 45000.0 -2.25 0.724 1.9393 0.0471 0.0801 0.0553 0.0
7.4 50000.0 -2.25 0.5533 2.1891 0.0451 0.08 0.055 0.0017
7.4 55000.0 -2.25 0.4501 2.355 0.0445 0.0783 0.0545 0.0038
7.4 60000.0 -2.25 0.3853 2.4644 0.0445 0.0757 0.0538 0.0073
7.4 70000.0 -2.25 0.3147 2.5651 0.0454 0.0694 0.0515 0.0196
7.4 80000.0 -2.25 0.28 2.5441 0.0463 0.0632 0.0481 0.0399
7.4 90000.0 -2.25 0.2598 2.424 0.0468 0.0579 0.0437 0.0675
7.4 30000.0 -2.0 1.7722 0.6711 0.0645 0.0709 0.0489 0.0
7.4 32500.0 -2.0 1.4663 1.0839 0.0517 0.0762 0.0539 0.0
7.4 35000.0 -2.0 1.1718 1.4602 0.0442 0.0799 0.0549 0.0
7.4 37500.0 -2.0 0.9327 1.7745 0.0398 0.0825 0.0552 0.0
7.4 40000.0 -2.0 0.752 2.0282 0.037 0.084 0.0553 0.0
7.4 45000.0 -2.0 0.5207 2.3953 0.0341 0.0846 0.0553 0.0
7.4 50000.0 -2.0 0.3934 2.637 0.0331 0.0827 0.0549 0.0021
7.4 55000.0 -2.0 0.3195 2.798 0.0329 0.0791 0.0543 0.0046
7.4 60000.0 -2.0 0.2744 2.9007 0.0331 0.0746 0.0534 0.0088
7.4 70000.0 -2.0 0.2258 2.9684 0.0338 0.0655 0.0506 0.0234
7.4 80000.0 -2.0 0.202 2.8761 0.0344 0.0577 0.0467 0.0472
7.4 90000.0 -2.0 0.1882 2.6542 0.0346 0.0514 0.0417 0.0787
7.4 30000.0 -1.75 1.5184 1.031 0.0441 0.0767 0.0524 0.0
7.4 32500.0 -1.75 1.1722 1.4954 0.0357 0.0816 0.0547 0.0
7.4 35000.0 -1.75 0.8937 1.8818 0.0313 0.0849 0.0551 0.0
7.4 37500.0 -1.75 0.6913 2.1904 0.0286 0.0868 0.0553 0.0
7.4 40000.0 -1.75 0.5487 2.4364 0.027 0.0876 0.0554 0.0
7.4 45000.0 -1.75 0.3764 2.7964 0.0254 0.0862 0.0553 0.001
7.4 50000.0 -1.75 0.2853 3.0386 0.025 0.0819 0.0548 0.0027
7.4 55000.0 -1.75 0.2335 3.2011 0.0251 0.0761 0.054 0.006
7.4 60000.0 -1.75 0.202 3.2995 0.0254 0.0699 0.0529 0.0113
7.4 70000.0 -1.75 0.1683 3.3213 0.026 0.0588 0.0496 0.0296
7.4 80000.0 -1.75 0.1517 3.1299 0.0264 0.0502 0.0448 0.0585
7.4 90000.0 -1.75 0.1417 2.7753 0.0264 0.0438 0.039 0.0955
7.4 30000.0 -1.5 1.2163 1.403 0.03 0.0809 0.0542 0.0
7.4 32500.0 -1.5 0.8937 1.8725 0.0253 0.0852 0.0549 0.0
7.4 35000.0 -1.5 0.6634 2.2473 0.0227 0.0878 0.0552 0.0
7.4 37500.0 -1.5 0.5072 2.5454 0.0212 0.0889 0.0554 0.0
7.4 40000.0 -1.5 0.4015 2.7861 0.0203 0.0886 0.0555 0.0
7.4 45000.0 -1.5 0.2772 3.148 0.0196 0.0845 0.0553 0.0014
7.4 50000.0 -1.5 0.2127 3.399 0.0196 0.0776 0.0547 0.0037
7.4 55000.0 -1.5 0.1762 3.565 0.0199 0.07 0.0537 0.0081
7.4 60000.0 -1.5 0.1541 3.6533 0.0202 0.0626 0.0523 0.0152
7.4 70000.0 -1.5 0.1303 3.6012 0.0208 0.0507 0.0481 0.039
7.4 80000.0 -1.5 0.1185 3.2729 0.0211 0.0423 0.0423 0.0749
7.4 90000.0 -1.5 0.1112 2.7536 0.021 0.0362 0.0355 0.1182
7.7 30000.0 -3.5 1.7105 0.0057 0.4656 0.0249 0.0345 0.0
7.7 32500.0 -3.5 1.8603 0.0126 0.4525 0.0318 0.0417 0.0
7.7 35000.0 -3.5 1.992 0.0238 0.4387 0.0384 0.0467 0.0
7.7 37500.0 -3.5 2.1009 0.0401 0.4261 0.0442 0.05 0.0
7.7 40000.0 -3.5 2.1898 0.0621 0.4159 0.0493 0.0522 0.0
7.7 45000.0 -3.5 2.3085 0.1218 0.4017 0.0573 0.0549 0.0
7.7 50000.0 -3.5 2.3676 0.1986 0.3951 0.063 0.0564 0.001
7.7 55000.0 -3.5 2.3856 0.2848 0.3938 0.067 0.0573 0.0023
7.7 60000.0 -3.5 2.3766 0.3741 0.3959 0.0699 0.0578 0.0045
7.7 70000.0 -3.5 2.3171 0.5408 0.4063 0.0732 0.0578 0.0126
7.7 80000.0 -3.5 2.2514 0.6727 0.4209 0.0745 0.0567 0.026
7.7 90000.0 -3.5 2.1934 0.7684 0.4366 0.0749 0.0547 0.0443
7.7 30000.0 -3.25 1.9834 0.0165 0.4235 0.0377 0.0365 0.0
7.7 32500.0 -3.25 2.1532 0.0372 0.3971 0.0469 0.0443 0.0
7.7 35000.0 -3.25 2.2881 0.0708 0.3724 0.0552 0.0493 0.0
7.7 37500.0 -3.25 2.3883 0.119 0.3527 0.0622 0.0521 0.0
7.7 40000.0 -3.25 2.4547 0.1815 0.3377 0.0681 0.0537 0.0
7.7 45000.0 -3.25 2.4972 0.3429 0.318 0.0769 0.0555 0.0
7.7 50000.0 -3.25 2.4522 0.5343 0.3075 0.083 0.0564 0.0012
7.7 55000.0 -3.25 2.3683 0.7273 0.3039 0.0871 0.0568 0.0027
7.7 60000.0 -3.25 2.2705 0.9051 0.3045 0.0898 0.0569 0.0052
7.7 70000.0 -3.25 2.0911 1.1937 0.312 0.0926 0.0561 0.0143
7.7 80000.0 -3.25 1.9541 1.3952 0.3226 0.0935 0.0543 0.0297
7.7 90000.0 -3.25 1.8567 1.5313 0.3334 0.0935 0.0516 0.0508
7.7 30000.0 -3.0 2.2614 0.0454 0.363 0.0536 0.0379 0.0
7.7 32500.0 -3.0 2.4226 0.1027 0.3269 0.0645 0.0464 0.0
7.7 35000.0 -3.0 2.5264 0.1924 0.2962 0.0739 0.0513 0.0
7.7 37500.0 -3.0 2.5703 0.3138 0.2738 0.0814 0.0535 0.0
7.7 40000.0 -3.0 2.5586 0.4617 0.2576 0.0875 0.0547 0.0
7.7 45000.0 -3.0 2.4241 0.8012 0.2376 0.0962 0.0558 0.0
7.7 50000.0 -3.0 2.2318 1.14 0.2283 0.102 0.0563 0.0013
7.7 55000.0 -3.0 2.0436 1.4391 0.2252 0.1057 0.0564 0.0029
7.7 60000.0 -3.0 1.8818 1.686 0.2256 0.108 0.0562 0.0055
7.7 70000.0 -3.0 1.6478 2.0386 0.2315 0.1099 0.0549 0.0153
7.7 80000.0 -3.0 1.5023 2.2547 0.2393 0.1098 0.0526 0.0317
7.7 90000.0 -3.0 1.4083 2.3838 0.2465 0.1088 0.0494 0.0546
7.7 30000.0 -2.75 2.5177 0.1145 0.2924 0.0712 0.0396 0.0
7.7 32500.0 -2.75 2.619 0.2515 0.2538 0.0826 0.0483 0.0
7.7 35000.0 -2.75 2.6212 0.4495 0.2227 0.0921 0.0529 0.0
7.7 37500.0 -2.75 2.5407 0.6923 0.2017 0.0995 0.0545 0.0
7.7 40000.0 -2.75 2.4065 0.958 0.1875 0.1052 0.0553 0.0
7.7 45000.0 -2.75 2.0841 1.4824 0.1713 0.1133 0.0559 0.0
7.7 50000.0 -2.75 1.7918 1.9295 0.1643 0.1184 0.0561 0.0014
7.7 55000.0 -2.75 1.5656 2.2816 0.1623 0.1214 0.056 0.003
7.7 60000.0 -2.75 1.4001 2.5509 0.163 0.1229 0.0556 0.0059
7.7 70000.0 -2.75 1.1923 2.906 0.1679 0.1228 0.054 0.0162
7.7 80000.0 -2.75 1.0781 3.0968 0.1737 0.1205 0.0514 0.0335
7.7 90000.0 -2.75 1.0084 3.1779 0.1783 0.1174 0.0479 0.0576
7.7 30000.0 -2.5 2.694 0.2592 0.2219 0.0885 0.042 0.0
7.7 32500.0 -2.5 2.6629 0.5325 0.1868 0.0995 0.0503 0.0
7.7 35000.0 -2.5 2.5046 0.8812 0.16 0.1084 0.0541 0.0
7.7 37500.0 -2.5 2.28 1.2579 0.1433 0.1151 0.0552 0.0
7.7 40000.0 -2.5 2.04 1.626 0.1326 0.1202 0.0556 0.0
7.7 45000.0 -2.5 1.6211 2.2638 0.1211 0.1274 0.056 0.0
7.7 50000.0 -2.5 1.3213 2.7498 0.1166 0.1314 0.056 0.0015
7.7 55000.0 -2.5 1.1205 3.111 0.1158 0.1331 0.0557 0.0033
7.7 60000.0 -2.5 0.9861 3.3774 0.1168 0.1329 0.0552 0.0064
7.7 70000.0 -2.5 0.8308 3.7123 0.1207 0.1292 0.0533 0.0175
7.7 80000.0 -2.5 0.7517 3.8573 0.1248 0.1235 0.0504 0.0361
