#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
8.6 60000.0 -1.75 0.8463 8.4025 0.1878 0.3627 0.0579 0.0096
8.6 70000.0 -1.75 0.8765 10.5706 0.2178 0.3494 0.0555 0.0258
8.6 80000.0 -1.75 0.9156 12.2156 0.2411 0.3359 0.0517 0.0525
8.6 90000.0 -1.75 0.9536 13.2087 0.2582 0.3247 0.0468 0.089
8.6 30000.0 -1.5 1.7734 1.2047 0.1386 0.2952 0.0554 0.0
8.6 32500.0 -1.5 1.5074 1.9088 0.1146 0.3081 0.0586 0.0
8.6 35000.0 -1.5 1.221 2.6596 0.1036 0.3195 0.0591 0.0
8.6 37500.0 -1.5 1.0106 3.4039 0.1004 0.3311 0.0592 0.0
8.6 40000.0 -1.5 0.8758 4.1345 0.1015 0.3412 0.0593 0.0
8.6 45000.0 -1.5 0.74 5.5838 0.1101 0.3522 0.0593 0.0011
8.6 50000.0 -1.5 0.6875 7.0189 0.1226 0.3506 0.059 0.0029
8.6 55000.0 -1.5 0.67 8.4187 0.1362 0.3411 0.0584 0.0064
8.6 60000.0 -1.5 0.6684 9.7434 0.1493 0.3284 0.0575 0.0122
8.6 70000.0 -1.5 0.6866 12.0134 0.172 0.3035 0.0545 0.0325
8.6 80000.0 -1.5 0.7144 13.5181 0.1889 0.2838 0.0499 0.0654
8.6 90000.0 -1.5 0.7431 14.1526 0.2009 0.269 0.044 0.1091
8.9 30000.0 -3.5 0.0129 0.0 0.0558 0.0075 0.0365 0.0
8.9 32500.0 -3.5 0.0221 0.0 0.0831 0.0132 0.0406 0.0
8.9 35000.0 -3.5 0.0374 0.0022 0.1157 0.021 0.0438 0.0
8.9 37500.0 -3.5 0.0504 0.0043 0.1396 0.0289 0.0538 0.0
8.9 40000.0 -3.5 0.0697 0.0085 0.1636 0.0377 0.0554 0.0
8.9 45000.0 -3.5 0.097 0.0203 0.1852 0.0501 0.0575 0.0
8.9 50000.0 -3.5 0.2354 0.0277 0.4219 0.0653 0.0606 0.0
8.9 55000.0 -3.5 0.386 0.0596 0.5644 0.0897 0.0622 0.0018
8.9 60000.0 -3.5 0.5809 0.1103 0.7193 0.1154 0.0632 0.0036
8.9 70000.0 -3.5 1.0766 0.2724 1.0461 0.1664 0.0641 0.0105
8.9 80000.0 -3.5 1.6831 0.5108 1.3847 0.2154 0.0637 0.0223
8.9 90000.0 -3.5 2.3582 0.8089 1.7201 0.2614 0.0626 0.0389
8.9 30000.0 -3.25 0.0301 0.0015 0.0951 0.0201 0.0417 0.0
8.9 32500.0 -3.25 0.0545 0.0048 0.1321 0.0337 0.0515 0.0
8.9 35000.0 -3.25 0.0767 0.0105 0.1545 0.0461 0.0556 0.0
8.9 37500.0 -3.25 0.0976 0.0197 0.1652 0.0565 0.0572 0.0
8.9 40000.0 -3.25 0.1078 0.03 0.1653 0.0627 0.0582 0.0
8.9 45000.0 -3.25 0.224 0.0475 0.3339 0.0794 0.0596 0.0
8.9 50000.0 -3.25 0.3875 0.1124 0.4522 0.113 0.0611 0.001
8.9 55000.0 -3.25 0.5966 0.2171 0.5789 0.1471 0.0619 0.0023
8.9 60000.0 -3.25 0.8415 0.3624 0.7095 0.1805 0.0623 0.0046
8.9 70000.0 -3.25 1.4014 0.7698 0.9766 0.244 0.0621 0.013
8.9 80000.0 -3.25 2.0164 1.3065 1.2458 0.3033 0.0608 0.0273
8.9 90000.0 -3.25 2.6517 1.9324 1.5064 0.3583 0.0587 0.0473
8.9 30000.0 -3.0 0.0737 0.0075 0.1408 0.0486 0.0553 0.0
8.9 32500.0 -3.0 0.1073 0.0187 0.1554 0.0649 0.057 0.0
8.9 35000.0 -3.0 0.1163 0.0309 0.1489 0.0716 0.0583 0.0
8.9 37500.0 -3.0 0.1461 0.0341 0.2179 0.0712 0.0568 0.0
8.9 40000.0 -3.0 0.2061 0.0627 0.2589 0.091 0.0585 0.0
8.9 45000.0 -3.0 0.3611 0.1589 0.3434 0.1311 0.0602 0.0
8.9 50000.0 -3.0 0.5535 0.3147 0.4319 0.1693 0.0611 0.0012
8.9 55000.0 -3.0 0.7708 0.5261 0.5225 0.2052 0.0615 0.0027
8.9 60000.0 -3.0 1.0112 0.8013 0.6205 0.2413 0.0615 0.0052
8.9 70000.0 -3.0 1.5201 1.5173 0.8262 0.3114 0.0607 0.0146
8.9 80000.0 -3.0 2.0335 2.3916 1.0309 0.3766 0.0589 0.0306
8.9 90000.0 -3.0 2.5287 3.3474 1.2228 0.436 0.0561 0.0529
8.9 30000.0 -2.75 0.1263 0.0204 0.1474 0.0751 0.0569 0.0
8.9 32500.0 -2.75 0.1383 0.0286 0.1814 0.0739 0.0501 0.0
8.9 35000.0 -2.75 0.193 0.0595 0.2077 0.0971 0.0558 0.0
8.9 37500.0 -2.75 0.2554 0.1053 0.2323 0.1196 0.0583 0.0
8.9 40000.0 -2.75 0.3259 0.1674 0.2561 0.1405 0.0595 0.0
8.9 45000.0 -2.75 0.4839 0.3433 0.3052 0.1777 0.0606 0.0
8.9 50000.0 -2.75 0.6576 0.598 0.362 0.2125 0.0611 0.0013
8.9 55000.0 -2.75 0.8476 0.9431 0.4294 0.2494 0.0612 0.0029
8.9 60000.0 -2.75 1.0446 1.3691 0.5034 0.2873 0.061 0.0056
8.9 70000.0 -2.75 1.4431 2.4178 0.661 0.3612 0.0598 0.0156
8.9 80000.0 -2.75 1.8227 3.6031 0.8136 0.4268 0.0576 0.0326
8.9 90000.0 -2.75 2.1624 4.8024 0.9495 0.4824 0.0544 0.0562
8.9 30000.0 -2.5 0.2009 0.0371 0.1952 0.0978 0.0416 0.0
8.9 32500.0 -2.5 0.2591 0.0796 0.2043 0.1234 0.0511 0.0
8.9 35000.0 -2.5 0.3205 0.1405 0.2103 0.1468 0.0571 0.0
8.9 37500.0 -2.5 0.3844 0.2197 0.2161 0.1665 0.0593 0.0
8.9 40000.0 -2.5 0.4467 0.318 0.2232 0.1828 0.0602 0.0
8.9 45000.0 -2.5 0.5654 0.5798 0.2465 0.2118 0.0609 0.0
8.9 50000.0 -2.5 0.6851 0.9606 0.2854 0.2448 0.0611 0.0014
8.9 55000.0 -2.5 0.819 1.4632 0.3369 0.283 0.061 0.0031
8.9 60000.0 -2.5 0.9606 2.0574 0.3941 0.3221 0.0607 0.0059
8.9 70000.0 -2.5 1.2434 3.4258 0.5139 0.3931 0.0592 0.0165
8.9 80000.0 -2.5 1.5026 4.8585 0.6247 0.4499 0.0567 0.0342
8.9 90000.0 -2.5 1.7269 6.2152 0.7189 0.4939 0.0533 0.0588
8.9 30000.0 -2.25 0.3453 0.0856 0.2069 0.1484 0.0433 0.0
8.9 32500.0 -2.25 0.3957 0.1593 0.1956 0.1699 0.0528 0.0
8.9 35000.0 -2.25 0.4658 0.249 0.1872 0.1906 0.0584 0.0
8.9 37500.0 -2.25 0.5157 0.3636 0.181 0.2043 0.0601 0.0
8.9 40000.0 -2.25 0.548 0.5034 0.1791 0.2146 0.0607 0.0
8.9 45000.0 -2.25 0.5859 0.8826 0.1904 0.2377 0.0611 0.0
8.9 50000.0 -2.25 0.6383 1.4284 0.221 0.2713 0.0611 0.0015
8.9 55000.0 -2.25 0.7256 2.0931 0.2609 0.31 0.0609 0.0033
8.9 60000.0 -2.25 0.8201 2.8513 0.3051 0.3461 0.0604 0.0064
8.9 70000.0 -2.25 1.0088 4.4939 0.3937 0.4039 0.0586 0.0177
8.9 80000.0 -2.25 1.1773 6.1075 0.4721 0.4437 0.0559 0.0366
8.9 90000.0 -2.25 1.3167 7.5407 0.5355 0.4705 0.0522 0.0626
8.9 30000.0 -2.0 0.5048 0.1474 0.1883 0.1944 0.0461 0.0
8.9 32500.0 -2.0 0.5568 0.2483 0.1683 0.2108 0.055 0.0
8.9 35000.0 -2.0 0.6292 0.3735 0.1536 0.2273 0.0596 0.0
8.9 37500.0 -2.0 0.6439 0.5362 0.1434 0.2348 0.0606 0.0
8.9 40000.0 -2.0 0.6063 0.7405 0.1382 0.2387 0.061 0.0
8.9 45000.0 -2.0 0.5388 1.291 0.1466 0.2594 0.0612 0.0
8.9 50000.0 -2.0 0.564 2.0019 0.1719 0.2951 0.0611 0.0017
8.9 55000.0 -2.0 0.6159 2.8327 0.2034 0.3286 0.0607 0.0037
8.9 60000.0 -2.0 0.6761 3.7378 0.2371 0.3558 0.0601 0.0072
8.9 70000.0 -2.0 0.7963 5.611 0.3014 0.3922 0.0581 0.0198
8.9 80000.0 -2.0 0.9015 7.3511 0.3556 0.4119 0.055 0.0406
8.9 90000.0 -2.0 0.9877 8.8049 0.3975 0.4221 0.051 0.0692
8.9 30000.0 -1.75 0.6627 0.2149 0.1544 0.2309 0.0499 0.0
8.9 32500.0 -1.75 0.7625 0.3427 0.1358 0.2492 0.0575 0.0
8.9 35000.0 -1.75 0.8019 0.5194 0.1204 0.2577 0.0605 0.0
8.9 37500.0 -1.75 0.7171 0.7609 0.11 0.256 0.061 0.0
8.9 40000.0 -1.75 0.592 1.0618 0.1056 0.2569 0.0612 0.0
8.9 45000.0 -1.75 0.4829 1.8077 0.1155 0.2816 0.0612 0.0
8.9 50000.0 -1.75 0.4876 2.6952 0.1368 0.3121 0.061 0.002
8.9 55000.0 -1.75 0.5165 3.6874 0.1618 0.3347 0.0605 0.0044
8.9 60000.0 -1.75 0.5537 4.7336 0.1873 0.3495 0.0597 0.0086
8.9 70000.0 -1.75 0.6288 6.8244 0.2341 0.3631 0.0574 0.0231
8.9 80000.0 -1.75 0.6948 8.6823 0.2717 0.3657 0.0539 0.0472
8.9 90000.0 -1.75 0.7494 10.1182 0.2994 0.3633 0.0494 0.08
8.9 30000.0 -1.5 0.8647 0.2799 0.1213 0.2647 0.0542 0.0
8.9 32500.0 -1.5 0.9953 0.4472 0.1051 0.2809 0.0598 0.0
8.9 35000.0 -1.5 0.9158 0.7077 0.092 0.276 0.061 0.0
8.9 37500.0 -1.5 0.678 1.0762 0.0837 0.2674 0.0613 0.0
8.9 40000.0 -1.5 0.5112 1.4963 0.0827 0.2714 0.0613 0.0
8.9 45000.0 -1.5 0.4271 2.4311 0.0941 0.2979 0.0612 0.0
8.9 50000.0 -1.5 0.4206 3.5123 0.1123 0.3177 0.0609 0.0025
8.9 55000.0 -1.5 0.4366 4.6812 0.1323 0.3273 0.0602 0.0056
8.9 60000.0 -1.5 0.4588 5.8843 0.1521 0.3298 0.0593 0.0107
8.9 70000.0 -1.5 0.5069 8.2165 0.1869 0.325 0.0565 0.0287
8.9 80000.0 -1.5 0.5496 10.1406 0.2134 0.3153 0.0524 0.0578
8.9 90000.0 -1.5 0.5865 11.4574 0.2321 0.305 0.047 0.0969
