#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.7 60000.0 -2.77 1.056 3.4275 0.1562 0.1241 0.0551 0.0018
7.7 30000.0 -2.52 1.1853 0.0031 0.1761 0.0346 0.0044 0.0
7.7 32500.0 -2.53 2.018 0.0414 0.1912 0.0635 0.0116 0.0
7.7 35000.0 -2.53 2.6013 0.3295 0.1658 0.0933 0.0266 0.0
7.7 37500.0 -2.52 1.9325 1.3967 0.1229 0.1112 0.0522 0.0
7.7 40000.0 -2.52 1.0907 2.9375 0.1031 0.126 0.0554 0.0
7.7 45000.0 -2.52 0.9742 3.4752 0.104 0.1297 0.056 0.0
7.7 50000.0 -2.52 0.8357 3.8057 0.1122 0.1227 0.0557 0.0017
7.7 55000.0 -2.52 1.0043 3.9115 0.1052 0.1349 0.0562 0.0
7.7 60000.0 -2.52 0.8277 4.1805 0.1241 0.1235 0.0545 0.0022
7.7 30000.0 -2.27 1.157 0.0092 0.1327 0.0391 0.0055 0.0
7.7 32500.0 -2.27 2.0126 0.0934 0.1434 0.0706 0.0139 0.0
7.7 35000.0 -2.27 2.5223 0.5599 0.1232 0.1025 0.0309 0.0
7.7 37500.0 -2.27 1.6481 1.8691 0.0911 0.119 0.053 0.0
7.7 40000.0 -2.27 0.8747 3.5009 0.0822 0.1282 0.0551 0.0
7.7 45000.0 -2.27 0.7807 4.0812 0.0849 0.1292 0.0558 0.0
7.7 50000.0 -2.27 0.6714 4.4117 0.0928 0.1183 0.0553 0.0023
7.7 55000.0 -2.27 0.8097 4.5809 0.0876 0.1329 0.0558 0.0
7.7 60000.0 -2.27 0.6685 4.8167 0.1031 0.119 0.0539 0.0028
7.7 30000.0 -2.02 1.1253 0.0225 0.0994 0.0419 0.0069 0.0
7.7 32500.0 -2.02 1.9771 0.1692 0.1076 0.0755 0.0168 0.0
7.7 35000.0 -2.02 2.3864 0.8244 0.0928 0.1091 0.0357 0.0
7.7 37500.0 -2.02 1.3835 2.3146 0.0698 0.1239 0.0532 0.0
7.7 40000.0 -2.03 0.7172 4.0062 0.0686 0.1274 0.0549 0.0
7.7 50000.0 -2.06 0.5693 4.8692 0.0814 0.1129 0.0549 0.003
7.7 55000.0 -2.07 0.6913 5.0638 0.0776 0.1294 0.0555 0.0
7.7 60000.0 -2.08 0.5771 5.2452 0.0916 0.1142 0.0534 0.0034
7.7 45000.0 -2.02 0.6359 4.6452 0.072 0.1256 0.0554 0.0
7.7 30000.0 -1.77 1.0919 0.0422 0.0749 0.0436 0.0086 0.0
7.7 32500.0 -1.77 1.9227 0.261 0.0818 0.0788 0.0201 0.0
7.7 35000.0 -1.77 2.2016 1.1241 0.0712 0.1139 0.0405 0.0
7.7 37500.0 -1.77 1.1453 2.7488 0.0552 0.1269 0.0532 0.0
7.7 40000.0 -1.77 0.5905 4.5239 0.0587 0.1243 0.0545 0.0
7.7 50000.0 -1.81 0.4745 5.3894 0.0712 0.1049 0.0544 0.0042
7.7 45000.0 -1.77 0.5273 5.1802 0.0629 0.12 0.0551 0.0
7.7 55000.0 -1.76 0.5499 5.755 0.0663 0.1217 0.055 0.0012
7.7 60000.0 -1.76 0.4595 5.9065 0.0771 0.1047 0.0526 0.005
7.7 30000.0 -1.52 1.0531 0.0683 0.0559 0.0443 0.0105 0.0
7.7 32500.0 -1.52 1.845 0.3775 0.062 0.081 0.0238 0.0
7.7 35000.0 -1.52 1.966 1.473 0.055 0.1176 0.045 0.0
7.7 37500.0 -1.52 0.9471 3.1617 0.0453 0.1282 0.0531 0.0
7.7 40000.0 -1.52 0.4965 5.0175 0.052 0.1194 0.0542 0.0
7.7 45000.0 -1.52 0.445 5.6876 0.0564 0.1131 0.0547 0.0
7.7 50000.0 -1.52 0.3928 5.9461 0.0625 0.0948 0.0537 0.0063
7.7 55000.0 -1.52 0.4643 6.2647 0.0596 0.1143 0.0546 0.0017
7.7 60000.0 -1.51 0.3901 6.3816 0.0685 0.0967 0.0519 0.0068
8.0 30000.0 -3.5 1.0736 0.0 0.4964 0.0095 0.003 0.0
8.0 32500.0 -3.5 1.5564 0.0 0.6216 0.0214 0.0082 0.0
8.0 35000.0 -3.5 2.0688 0.0047 0.6659 0.0414 0.0195 0.0
8.0 37500.0 -3.5 2.5481 0.0505 0.6357 0.0669 0.0442 0.0
