#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(N/O)        	 log(U)          	 HI_4m           	 HI_7m           	 SIV_10m         	 HI_12m          	 NeII_12m        	 NeV_14m         	 NeIII_15m       	 SIII_19m        	 NeV_24m         	 OIV_26m         	 SIII_33m        	 OIII_52m        	 NIII_57m        	 OIII_88m        	 NII_122m        	 NII_205m       
7.0000000 	 -0.1250000 	 -2.0000000 	 0.0583000 	 0.0172000 	 0.0551000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0256000 	 0.0180000 	 0.0000000 	 0.0000000 	 0.0243000 	 0.0921000 	 0.0989000 	 0.1115000 	 0.0022000 	 0.0000000
7.0000000 	 -0.2500000 	 -2.0000000 	 0.0581000 	 0.0171000 	 0.0550000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0256000 	 0.0181000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0925000 	 0.0742000 	 0.1118000 	 0.0016000 	 0.0000000
7.0000000 	 -0.3750000 	 -2.0000000 	 0.0579000 	 0.0170000 	 0.0549000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0182000 	 0.0000000 	 0.0000000 	 0.0244000 	 0.0928000 	 0.0556000 	 0.1121000 	 0.0012000 	 0.0000000
7.0000000 	 -0.5000000 	 -2.0000000 	 0.0577000 	 0.0170000 	 0.0548000 	 0.0063000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0182000 	 0.0000000 	 0.0000000 	 0.0245000 	 0.0930000 	 0.0417000 	 0.1123000 	 0.0000000 	 0.0000000
7.0000000 	 -0.6250000 	 -2.0000000 	 0.0576000 	 0.0169000 	 0.0547000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0245000 	 0.0931000 	 0.0313000 	 0.1124000 	 0.0000000 	 0.0000000
7.0000000 	 -0.7500000 	 -2.0000000 	 0.0575000 	 0.0169000 	 0.0547000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0245000 	 0.0932000 	 0.0235000 	 0.1125000 	 0.0000000 	 0.0000000
7.0000000 	 -0.8750000 	 -2.0000000 	 0.0575000 	 0.0169000 	 0.0546000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0257000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0933000 	 0.0176000 	 0.1126000 	 0.0000000 	 0.0000000
7.0000000 	 -1.0000000 	 -2.0000000 	 0.0574000 	 0.0168000 	 0.0546000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0258000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0934000 	 0.0132000 	 0.1127000 	 0.0000000 	 0.0000000
7.0000000 	 -1.1250000 	 -2.0000000 	 0.0574000 	 0.0168000 	 0.0545000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0258000 	 0.0183000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0934000 	 0.0099000 	 0.1127000 	 0.0000000 	 0.0000000
7.0000000 	 -1.2500000 	 -2.0000000 	 0.0573000 	 0.0168000 	 0.0545000 	 0.0062000 	 0.0000000 	 0.0000000 	 0.0258000 	 0.0184000 	 0.0000000 	 0.0000000 	 0.0246000 	 0.0935000 	 0.0074000 	 0.1127000 	 0.0000000 	 0.0000000
