#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs. log U and vs N/O empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
8.20 -0.900 -2.75 1.9744 0.0074 0.0040 0.0584 0.1207 4.4766
8.20 -0.900 -2.50 1.4958 0.0141 0.0050 0.0871 0.1552 5.7377
8.20 -0.900 -2.25 1.1416 0.0262 0.0064 0.1220 0.1938 6.8749
8.20 -0.775 -3.00 2.6598 0.0039 0.0034 0.0346 0.1189 3.0880
8.20 -0.775 -2.75 1.9805 0.0087 0.0040 0.0576 0.1592 4.4544
8.20 -0.775 -2.50 1.4934 0.0166 0.0050 0.0861 0.2048 5.7119
8.20 -0.775 -2.25 1.1434 0.0314 0.0063 0.1205 0.2557 6.8431
8.20 -0.650 -3.00 2.6470 0.0048 0.0034 0.0339 0.1560 3.0647
8.20 -0.650 -2.75 1.9712 0.0101 0.0040 0.0567 0.2093 4.4262
8.20 -0.650 -2.50 1.4865 0.0196 0.0050 0.0847 0.2694 5.6770
8.20 -0.650 -2.25 1.1393 0.0375 0.0063 0.1186 0.3364 6.8017
8.20 -0.525 -3.00 2.6357 0.0057 0.0034 0.0331 0.2035 3.0338
8.20 -0.525 -2.75 1.9631 0.0118 0.0040 0.0554 0.2736 4.3877
8.20 -0.525 -2.50 1.4897 0.0233 0.0049 0.0831 0.3531 5.6344
8.20 -0.525 -2.25 1.1318 0.0447 0.0063 0.1162 0.4408 6.7489
8.20 -0.400 -3.00 2.6219 0.0067 0.0033 0.0319 0.2634 2.9934
8.20 -0.400 -2.75 1.9488 0.0138 0.0040 0.0538 0.3559 4.3396
8.20 -0.400 -2.50 1.4742 0.0277 0.0049 0.0808 0.4599 5.5753
8.20 -0.400 -2.25 1.1291 0.0528 0.0063 0.1131 0.5745 6.6798
8.30 -0.900 -3.00 2.4728 0.0027 0.0030 0.0237 0.0692 3.0223
8.30 -0.900 -2.75 1.8339 0.0061 0.0036 0.0398 0.0925 4.3877
8.30 -0.900 -2.50 1.3938 0.0105 0.0044 0.0600 0.1192 5.6553
8.30 -0.775 -3.00 2.4617 0.0033 0.0030 0.0233 0.0909 3.0033
8.30 -0.775 -2.75 1.8274 0.0069 0.0036 0.0392 0.1219 4.3650
8.30 -0.775 -2.50 1.3883 0.0119 0.0044 0.0593 0.1572 5.6305
8.30 -0.650 -3.00 2.4666 0.0040 0.0030 0.0228 0.1189 2.9776
8.30 -0.650 -2.75 1.8349 0.0079 0.0036 0.0385 0.1599 4.3347
8.30 -0.650 -2.50 1.3880 0.0136 0.0044 0.0583 0.2067 5.5964
8.30 -0.525 -3.00 2.4584 0.0047 0.0030 0.0221 0.1546 2.9441
8.30 -0.525 -2.75 1.8177 0.0089 0.0036 0.0376 0.2087 4.2956
8.30 -0.525 -2.50 1.3781 0.0156 0.0044 0.0571 0.2703 5.5516
8.30 -0.400 -3.00 2.4403 0.0054 0.0030 0.0213 0.1993 2.9012
8.30 -0.400 -2.75 1.8026 0.0100 0.0036 0.0364 0.2704 4.2432
8.30 -0.400 -2.50 1.3694 0.0179 0.0044 0.0554 0.3515 5.4926
8.40 -0.900 -3.00 2.3249 0.0024 0.0027 0.0150 0.0502 2.8596
8.40 -0.900 -2.75 1.7026 0.0053 0.0032 0.0255 0.0675 4.1892
8.40 -0.900 -2.50 1.2956 0.0085 0.0039 0.0390 0.0872 5.4391
8.40 -0.775 -3.00 2.3006 0.0029 0.0027 0.0147 0.0657 2.8385
8.40 -0.775 -2.75 1.6973 0.0059 0.0032 0.0251 0.0887 4.1648
8.40 -0.775 -2.50 1.2909 0.0094 0.0039 0.0384 0.1149 5.4117
8.40 -0.650 -3.00 2.3097 0.0035 0.0027 0.0143 0.0857 2.8106
8.40 -0.650 -2.75 1.6866 0.0066 0.0032 0.0245 0.1161 4.1336
8.40 -0.650 -2.50 1.2842 0.0103 0.0039 0.0377 0.1506 5.3764
8.40 -0.525 -3.00 2.2960 0.0041 0.0027 0.0138 0.1108 2.7743
8.40 -0.525 -2.75 1.6743 0.0072 0.0032 0.0239 0.1509 4.0916
8.40 -0.525 -2.50 1.2751 0.0114 0.0039 0.0368 0.1967 5.3313
8.40 -0.400 -3.00 2.2811 0.0046 0.0027 0.0132 0.1420 2.7284
8.40 -0.400 -2.75 1.6722 0.0079 0.0031 0.0230 0.1945 4.0353
8.40 -0.400 -2.50 1.2657 0.0126 0.0038 0.0357 0.2550 5.2721
8.50 -0.900 -3.25 3.2583 0.0000 0.0016 0.0036 0.0212 1.3050
8.50 -0.900 -3.00 2.1662 0.0018 0.0019 0.0077 0.0318 2.4156
8.50 -0.900 -2.75 1.5415 0.0044 0.0022 0.0135 0.0436 3.6527
8.50 -0.775 -3.25 3.2550 0.0000 0.0016 0.0035 0.0275 1.2909
8.50 -0.775 -3.00 2.1601 0.0023 0.0019 0.0075 0.0415 2.3949
8.50 -0.775 -2.75 1.5396 0.0050 0.0022 0.0133 0.0570 3.6286
8.50 -0.650 -3.25 3.2804 0.0000 0.0016 0.0033 0.0354 1.2714
8.50 -0.650 -3.00 2.1756 0.0027 0.0019 0.0073 0.0538 2.3676
8.50 -0.650 -2.75 1.5320 0.0055 0.0022 0.0130 0.0743 3.5965
8.50 -0.525 -3.25 3.2760 0.0000 0.0016 0.0032 0.0452 1.2471
8.50 -0.525 -3.00 2.1578 0.0032 0.0019 0.0070 0.0691 2.3328
8.50 -0.525 -2.75 1.5222 0.0060 0.0022 0.0125 0.0961 3.5555
8.50 -0.400 -3.25 3.2720 0.0012 0.0016 0.0030 0.0569 1.2160
8.50 -0.400 -3.00 2.1498 0.0038 0.0019 0.0066 0.0877 2.2864
8.50 -0.400 -2.75 1.5131 0.0064 0.0022 0.0120 0.1230 3.5003
8.60 -0.650 -3.25 3.6846 0.0000 0.0000 0.0013 0.0203 0.8679
8.60 -0.650 -3.00 2.2697 0.0016 0.0000 0.0032 0.0324 1.7656
8.60 -0.650 -2.75 1.4887 0.0042 0.0010 0.0060 0.0457 2.8567
8.60 -0.525 -3.25 3.6928 0.0000 0.0000 0.0012 0.0256 0.8478
8.60 -0.525 -3.00 2.2641 0.0020 0.0000 0.0030 0.0413 1.7335
8.60 -0.525 -2.75 1.4842 0.0047 0.0010 0.0058 0.0587 2.8173
8.60 -0.400 -3.25 3.7368 0.0000 0.0000 0.0011 0.0317 0.8218
8.60 -0.400 -3.00 2.2690 0.0025 0.0000 0.0028 0.0519 1.6927
8.60 -0.400 -2.75 1.4792 0.0051 0.0010 0.0055 0.0744 2.7649
8.60 -0.275 -3.25 3.7612 0.0000 0.0000 0.0010 0.0385 0.7895
8.60 -0.275 -3.00 2.2680 0.0029 0.0000 0.0026 0.0638 1.6397
8.60 -0.275 -2.75 1.4809 0.0056 0.0010 0.0051 0.0928 2.6975
8.60 -0.150 -3.25 3.8075 0.0010 0.0000 0.0000 0.0453 0.7490
