#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 45000 -3.25 0.8022 0.1117 0.0884 0.0223 0.0213 0.0546 0.0154 0.0000 0.0000 0.0110 0.0258 0.0000 0.0769
7.1 45000 -3.00 0.7945 0.2702 0.0665 0.0283 0.0214 0.0548 0.0154 0.0000 0.0000 0.0126 0.0211 0.0000 0.1323
7.1 45000 -2.75 0.6924 0.5163 0.0483 0.0340 0.0214 0.0548 0.0153 0.0000 0.0000 0.0142 0.0155 0.0011 0.2105
7.1 45000 -2.50 0.5430 0.8104 0.0345 0.0391 0.0213 0.0547 0.0153 0.0000 0.0000 0.0158 0.0108 0.0033 0.3161
7.1 45000 -2.25 0.4002 1.1057 0.0247 0.0432 0.0212 0.0546 0.0152 0.0000 0.0000 0.0171 0.0074 0.0083 0.4499
7.1 45000 -2.00 0.2887 1.3784 0.0180 0.0460 0.0212 0.0546 0.0152 0.0000 0.0000 0.0180 0.0051 0.0182 0.6075
7.1 45000 -1.75 0.2092 1.6220 0.0135 0.0472 0.0211 0.0546 0.0151 0.0010 0.0013 0.0184 0.0037 0.0374 0.7800
7.1 45000 -1.50 0.1544 1.8374 0.0105 0.0466 0.0210 0.0546 0.0151 0.0014 0.0022 0.0181 0.0028 0.0724 0.9589
7.1 50000 -4.00 0.5349 0.0059 0.1501 0.0083 0.0214 0.0548 0.0155 0.0000 0.0000 0.0072 0.0259 0.0000 0.0125
7.1 50000 -3.75 0.6345 0.0195 0.1305 0.0125 0.0216 0.0554 0.0156 0.0000 0.0000 0.0085 0.0273 0.0000 0.0257
7.1 50000 -3.50 0.7248 0.0612 0.1077 0.0177 0.0217 0.0556 0.0157 0.0010 0.0000 0.0100 0.0272 0.0000 0.0499
7.1 50000 -3.25 0.7622 0.1690 0.0840 0.0236 0.0217 0.0555 0.0156 0.0012 0.0000 0.0115 0.0242 0.0000 0.0905
7.1 50000 -3.00 0.7026 0.3711 0.0627 0.0294 0.0215 0.0552 0.0155 0.0013 0.0000 0.0131 0.0188 0.0000 0.1508
7.1 50000 -2.75 0.5683 0.6450 0.0454 0.0348 0.0214 0.0549 0.0154 0.0013 0.0000 0.0146 0.0133 0.0023 0.2354
7.1 50000 -2.50 0.4208 0.9414 0.0326 0.0393 0.0213 0.0546 0.0152 0.0015 0.0000 0.0159 0.0090 0.0067 0.3489
7.1 50000 -2.25 0.3000 1.2272 0.0235 0.0427 0.0211 0.0543 0.0151 0.0017 0.0000 0.0169 0.0062 0.0164 0.4934
7.1 50000 -2.00 0.2138 1.4919 0.0173 0.0445 0.0210 0.0542 0.0150 0.0021 0.0012 0.0174 0.0043 0.0369 0.6642
7.1 50000 -1.75 0.1555 1.7335 0.0132 0.0444 0.0209 0.0540 0.0150 0.0027 0.0022 0.0172 0.0032 0.0773 0.8518
7.1 50000 -1.50 0.1162 1.9519 0.0104 0.0425 0.0207 0.0539 0.0149 0.0038 0.0035 0.0162 0.0024 0.1498 1.0432
7.1 55000 -4.00 0.5425 0.0085 0.1515 0.0090 0.0223 0.0571 0.0162 0.0013 0.0000 0.0077 0.0263 0.0000 0.0150
