#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 35000 -2.75 1.8166 0.0617 0.1451 0.0467 0.0124 0.0318 0.0089 0.0000 0.0000 0.0098 0.0583 0.0000 0.0900
7.4 35000 -2.50 1.9792 0.1457 0.1067 0.0568 0.0133 0.0341 0.0096 0.0000 0.0000 0.0118 0.0550 0.0000 0.1526
7.4 35000 -2.25 2.0228 0.3008 0.0756 0.0650 0.0145 0.0373 0.0105 0.0000 0.0000 0.0142 0.0486 0.0000 0.2328
7.4 35000 -2.00 1.9139 0.5446 0.0526 0.0713 0.0161 0.0414 0.0116 0.0000 0.0000 0.0169 0.0396 0.0000 0.3253
7.4 35000 -1.75 1.6716 0.8665 0.0364 0.0759 0.0178 0.0457 0.0128 0.0000 0.0000 0.0197 0.0296 0.0000 0.4251
7.4 35000 -1.50 1.3578 1.2329 0.0255 0.0792 0.0192 0.0495 0.0138 0.0000 0.0000 0.0223 0.0201 0.0000 0.5324
7.4 37500 -4.00 0.8726 0.0015 0.2802 0.0100 0.0150 0.0384 0.0109 0.0000 0.0000 0.0063 0.0447 0.0000 0.0070
7.4 37500 -3.75 1.0447 0.0047 0.2590 0.0158 0.0165 0.0423 0.0120 0.0000 0.0000 0.0082 0.0488 0.0000 0.0151
7.4 37500 -3.50 1.2398 0.0151 0.2286 0.0239 0.0178 0.0455 0.0128 0.0000 0.0000 0.0102 0.0522 0.0000 0.0319
7.4 37500 -3.25 1.4471 0.0461 0.1901 0.0339 0.0188 0.0480 0.0135 0.0000 0.0000 0.0126 0.0533 0.0000 0.0640
7.4 37500 -3.00 1.6265 0.1285 0.1485 0.0449 0.0195 0.0499 0.0140 0.0000 0.0000 0.0151 0.0501 0.0000 0.1185
7.4 37500 -2.75 1.7119 0.3063 0.1102 0.0556 0.0201 0.0514 0.0144 0.0000 0.0000 0.0177 0.0426 0.0000 0.1998
7.4 37500 -2.50 1.6411 0.6090 0.0784 0.0652 0.0205 0.0525 0.0147 0.0000 0.0000 0.0202 0.0331 0.0000 0.3054
