#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -0.9000000 	 -0.5000000 	 1.0462000 	 0.0204000 	 0.0311000 	 2.6615000 	 0.0321000 	 0.0074000 	 0.0025000 	 0.0051000 	 0.0619000
7.0000000 	 -1.1500000 	 -4.0000000 	 38.6612000 	 0.0000000 	 0.0000000 	 0.9062000 	 0.0000000 	 0.0032000 	 0.0204000 	 0.0000000 	 0.0328000
7.0000000 	 -1.1500000 	 -3.7500000 	 38.7959000 	 0.0000000 	 0.0000000 	 1.3199000 	 0.0018000 	 0.0061000 	 0.0263000 	 0.0013000 	 0.0941000
7.0000000 	 -1.1500000 	 -3.5000000 	 33.9417000 	 0.0000000 	 0.0000000 	 1.7225000 	 0.0089000 	 0.0117000 	 0.0335000 	 0.0043000 	 0.2514000
7.0000000 	 -1.1500000 	 -3.2500000 	 24.4115000 	 0.0000000 	 0.0016000 	 1.9890000 	 0.0233000 	 0.0206000 	 0.0408000 	 0.0098000 	 0.4726000
7.0000000 	 -1.1500000 	 -3.0000000 	 15.1409000 	 0.0000000 	 0.0097000 	 2.1312000 	 0.0440000 	 0.0335000 	 0.0467000 	 0.0162000 	 0.6540000
7.0000000 	 -1.1500000 	 -2.7500000 	 9.8582000 	 0.0000000 	 0.0291000 	 2.2487000 	 0.0678000 	 0.0490000 	 0.0484000 	 0.0222000 	 0.7553000
7.0000000 	 -1.1500000 	 -2.5000000 	 7.0911000 	 0.0013000 	 0.0642000 	 2.3646000 	 0.0880000 	 0.0617000 	 0.0445000 	 0.0258000 	 0.7605000
7.0000000 	 -1.1500000 	 -2.2500000 	 4.9316000 	 0.0062000 	 0.1079000 	 2.5396000 	 0.0995000 	 0.0653000 	 0.0373000 	 0.0267000 	 0.6955000
7.0000000 	 -1.1500000 	 -2.0000000 	 3.8016000 	 0.0142000 	 0.1375000 	 2.7462000 	 0.0946000 	 0.0560000 	 0.0287000 	 0.0238000 	 0.5672000
7.0000000 	 -1.1500000 	 -1.7500000 	 3.3587000 	 0.0229000 	 0.1351000 	 2.9370000 	 0.0735000 	 0.0391000 	 0.0202000 	 0.0178000 	 0.4072000
7.0000000 	 -1.1500000 	 -1.5000000 	 2.9279000 	 0.0270000 	 0.1083000 	 3.0819000 	 0.0478000 	 0.0239000 	 0.0132000 	 0.0115000 	 0.2607000
7.0000000 	 -1.1500000 	 -1.2500000 	 2.6168000 	 0.0250000 	 0.0750000 	 3.1167000 	 0.0275000 	 0.0137000 	 0.0082000 	 0.0066000 	 0.1525000
7.0000000 	 -1.1500000 	 -1.0000000 	 2.3122000 	 0.0195000 	 0.0471000 	 3.0193000 	 0.0154000 	 0.0078000 	 0.0050000 	 0.0037000 	 0.0850000
7.0000000 	 -1.1500000 	 -0.7500000 	 1.2242000 	 0.0182000 	 0.0329000 	 2.7673000 	 0.0439000 	 0.0063000 	 0.0033000 	 0.0072000 	 0.0944000
7.0000000 	 -1.1500000 	 -0.5000000 	 1.0714000 	 0.0144000 	 0.0222000 	 2.6567000 	 0.0405000 	 0.0053000 	 0.0032000 	 0.0064000 	 0.0785000
