#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
7.3000 -1.4000 -2.7500 11.4804 0.0000 0.0247 1.4928 0.1166 0.0482 0.2474 0.0985 0.0420 1.6280
7.3000 -1.4000 -2.5000 7.7124 0.0000 0.0558 1.6172 0.1528 0.0636 0.1565 0.0937 0.0496 1.6637
7.3000 -1.4000 -2.2500 5.4237 0.0049 0.1044 1.8018 0.1755 0.0731 0.0942 0.0788 0.0520 1.5365
7.3000 -1.4000 -2.0000 4.2463 0.0131 0.1517 1.9992 0.1650 0.0679 0.0606 0.0583 0.0459 1.2433
7.3000 -1.4000 -1.7500 3.6643 0.0254 0.1721 2.1996 0.1228 0.0504 0.0393 0.0382 0.0332 0.8665
7.3000 -1.4000 -1.5000 3.2686 0.0365 0.1580 2.3572 0.0720 0.0307 0.0248 0.0223 0.0196 0.5184
7.3000 -1.4000 -1.2500 2.9291 0.0407 0.1243 2.4267 0.0350 0.0165 0.0154 0.0120 0.0098 0.2729
7.3000 -1.4000 -1.0000 2.5312 0.0367 0.0869 2.3863 0.0153 0.0084 0.0081 0.0059 0.0044 0.1288
7.3000 -1.4000 -0.7500 2.2211 0.0262 0.0534 2.2456 0.0066 0.0043 0.0041 0.0029 0.0020 0.0592
7.3000 -1.4000 -0.5000 2.0347 0.0149 0.0303 2.0568 0.0023 0.0014 0.0021 0.0015 0.0000 0.0284
7.5000 -1.4000 -4.0000 79.4144 0.0000 0.0000 0.2668 0.0000 0.0040 1.2948 0.0461 0.0000 0.0801
7.5000 -1.4000 -3.7500 81.3434 0.0000 0.0000 0.4730 0.0056 0.0083 1.4596 0.0661 0.0034 0.2545
7.5000 -1.4000 -3.5000 28.8080 0.0000 0.0000 0.8447 0.0232 0.0170 1.4425 0.0960 0.0123 0.8096
7.5000 -1.4000 -3.2500 24.3815 0.0000 0.0032 1.1275 0.0580 0.0296 1.0524 0.1198 0.0272 1.5167
7.5000 -1.4000 -3.0000 17.2066 0.0000 0.0120 1.3397 0.1105 0.0479 0.6528 0.1409 0.0456 2.1473
7.5000 -1.4000 -2.7500 11.2291 0.0000 0.0352 1.5069 0.1725 0.0719 0.3821 0.1522 0.0634 2.5301
7.5000 -1.4000 -2.5000 7.2748 0.0013 0.0807 1.6490 0.2298 0.0959 0.2345 0.1458 0.0760 2.6089
7.5000 -1.4000 -2.2500 5.4146 0.0072 0.1503 1.8164 0.2637 0.1098 0.1502 0.1235 0.0796 2.4089
7.5000 -1.4000 -2.0000 4.2670 0.0189 0.2216 2.0214 0.2517 0.1032 0.0966 0.0923 0.0710 1.9619
7.5000 -1.4000 -1.7500 3.6238 0.0362 0.2535 2.2286 0.1900 0.0775 0.0621 0.0607 0.0519 1.3739
7.5000 -1.4000 -1.5000 3.2247 0.0523 0.2332 2.3884 0.1126 0.0479 0.0391 0.0355 0.0308 0.8235
7.5000 -1.4000 -1.2500 2.8644 0.0593 0.1839 2.4560 0.0551 0.0259 0.0234 0.0188 0.0155 0.4313
7.5000 -1.4000 -1.0000 2.4964 0.0544 0.1289 2.4045 0.0243 0.0132 0.0127 0.0093 0.0070 0.2050
7.5000 -1.4000 -0.7500 2.1639 0.0400 0.0801 2.2509 0.0106 0.0068 0.0064 0.0045 0.0031 0.0941
7.5000 -1.4000 -0.5000 2.0091 0.0232 0.0456 2.0464 0.0051 0.0038 0.0034 0.0024 0.0015 0.0462
7.6000 -1.4000 -3.7500 80.7490 0.0000 0.0000 0.4716 0.0068 0.0100 1.7973 0.0814 0.0041 0.3145
7.6000 -1.4000 -3.5000 28.3007 0.0000 0.0000 0.8510 0.0283 0.0206 1.7681 0.1186 0.0152 1.0162
7.6000 -1.4000 -3.2500 23.9971 0.0000 0.0038 1.1257 0.0688 0.0354 1.3010 0.1473 0.0328 1.8667
7.6000 -1.4000 -3.0000 16.6185 0.0000 0.0146 1.3605 0.1336 0.0581 0.7879 0.1743 0.0559 2.6819
7.6000 -1.4000 -2.7500 11.2610 0.0000 0.0409 1.5008 0.2049 0.0859 0.4856 0.1876 0.0765 3.1211
7.6000 -1.4000 -2.5000 7.3996 0.0016 0.0945 1.6500 0.2757 0.1154 0.3013 0.1812 0.0924 3.2421
7.6000 -1.4000 -2.2500 5.3078 0.0086 0.1795 1.8324 0.3209 0.1335 0.1860 0.1542 0.0979 3.0121
7.6000 -1.4000 -2.0000 4.2128 0.0223 0.2666 2.0385 0.3087 0.1264 0.1207 0.1158 0.0879 2.4615
7.6000 -1.4000 -1.7500 3.5536 0.0429 0.3074 2.2509 0.2354 0.0960 0.0762 0.0762 0.0647 1.7275
7.6000 -1.4000 -1.5000 3.2052 0.0621 0.2825 2.4066 0.1403 0.0596 0.0497 0.0450 0.0386 1.0400
7.6000 -1.4000 -1.2500 2.8486 0.0707 0.2225 2.4698 0.0692 0.0326 0.0307 0.0241 0.0195 0.5487
7.6000 -1.4000 -1.0000 2.5268 0.0658 0.1568 2.4147 0.0307 0.0168 0.0166 0.0120 0.0089 0.2619
7.6000 -1.4000 -0.7500 2.2070 0.0491 0.0982 2.2544 0.0136 0.0088 0.0085 0.0059 0.0040 0.1211
7.6000 -1.4000 -0.5000 1.9936 0.0288 0.0562 2.0403 0.0066 0.0050 0.0046 0.0032 0.0020 0.0606
7.6000 -1.4000 -4.0000 78.8545 0.0000 0.0000 0.2660 0.0012 0.0048 1.5941 0.0567 0.0011 0.0990
7.7000 -1.4000 -4.0000 78.0959 0.0000 0.0000 0.2647 0.0014 0.0057 1.9445 0.0691 0.0013 0.1214
7.7000 -1.4000 -3.7500 79.9658 0.0000 0.0000 0.4696 0.0080 0.0118 2.1940 0.0994 0.0049 0.3858
7.7000 -1.4000 -3.5000 27.7546 0.0000 0.0000 0.8485 0.0327 0.0243 2.1645 0.1446 0.0180 1.2376
7.7000 -1.4000 -3.2500 23.4914 0.0000 0.0045 1.1272 0.0804 0.0419 1.5955 0.1801 0.0391 2.2896
7.7000 -1.4000 -3.0000 16.4636 0.0000 0.0168 1.3549 0.1551 0.0682 0.9808 0.2127 0.0664 3.2772
7.7000 -1.4000 -2.7500 10.8885 0.0000 0.0474 1.5138 0.2423 0.1021 0.5934 0.2305 0.0921 3.8574
7.7000 -1.4000 -2.5000 7.2410 0.0019 0.1105 1.6674 0.3287 0.1379 0.3638 0.2234 0.1120 4.0201
7.7000 -1.4000 -2.2500 5.1986 0.0102 0.2122 1.8510 0.3863 0.1607 0.2300 0.1919 0.1197 3.7573
