#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
#12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.4 0.198 -2.74 0.2868 2.3331 0.0339 0.0756 0.0204 0.0522 0.0043
7.4 0.108 -2.68 0.2502 2.3486 0.0295 0.0735 0.0194 0.0498 0.0068
7.4 0.063 -2.64 0.2272 2.2911 0.0266 0.0703 0.0181 0.0465 0.0093
7.4 0.021 -2.6 0.1755 1.8838 0.0202 0.0567 0.0143 0.0368 0.0139
7.4 0.012 -2.59 0.1786 1.9275 0.0205 0.0578 0.0145 0.037 0.0167
7.4 1.000 -2.77 0.5523 1.8488 0.0792 0.0646 0.0213 0.0547 0.0011
7.4 0.490 -2.6 0.2076 2.6596 0.0244 0.0746 0.0205 0.0525 0.0022
7.4 0.200 -2.41 0.1191 3.0403 0.0141 0.0732 0.0201 0.0517 0.0053
7.4 0.104 -2.29 0.0911 3.1002 0.0103 0.0683 0.0189 0.0488 0.0097
7.4 0.050 -2.19 0.0727 3.0062 0.0078 0.0618 0.0172 0.0443 0.0181
7.4 0.020 -2.12 0.0579 2.6803 0.006 0.0528 0.0143 0.037 0.0301
7.4 0.010 -2.09 0.0413 2.0004 0.0042 0.0387 0.0104 0.0268 0.0359
7.4 1.000 -2.53 0.4286 2.2555 0.0624 0.0643 0.0211 0.0542 0.0014
7.4 0.529 -2.37 0.1327 3.1047 0.0153 0.0702 0.0205 0.0525 0.0026
7.4 0.239 -2.15 0.0649 3.5321 0.0067 0.0619 0.0199 0.0512 0.006
7.4 0.112 -1.97 0.0422 3.7095 0.0036 0.0523 0.0188 0.0484 0.0126
7.4 0.055 -1.81 0.0296 3.6049 0.0021 0.0424 0.0166 0.043 0.0248
7.4 0.022 -1.67 0.0207 3.218 0.0013 0.0328 0.0131 0.0339 0.0531
7.4 0.012 -1.62 0.0173 2.9177 0.001 0.0286 0.0111 0.0287 0.0748
7.4 1.000 -2.27 0.3427 2.6012 0.0514 0.0615 0.0208 0.0536 0.0019
7.4 0.543 -2.12 0.0877 3.4713 0.0096 0.0626 0.0201 0.0518 0.0034
7.4 0.230 -1.89 0.0397 3.942 0.0034 0.0492 0.0195 0.0504 0.008
7.4 0.118 -1.71 0.0253 4.1486 0.0016 0.0381 0.0186 0.048 0.0153
7.4 0.055 -1.51 0.0153 4.041 0.0 0.0259 0.0161 0.0417 0.0324
7.4 0.023 -1.3 0.0093 3.5675 0.0 0.0167 0.0122 0.0315 0.073
7.4 0.011 -1.16 0.0058 2.7819 0.0 0.0115 0.0076 0.0197 0.1337
7.4 1.000 -2.07 0.2923 2.8432 0.0451 0.0585 0.0206 0.0531 0.0024
7.4 0.516 -1.91 0.0611 3.7918 0.0062 0.0554 0.0199 0.0513 0.0047
7.4 0.203 -1.65 0.0256 4.2443 0.0017 0.0374 0.0189 0.0488 0.0117
7.4 0.106 -1.47 0.0159 4.368 0.0 0.0262 0.0176 0.0456 0.0221
7.4 0.055 -1.28 0.0098 4.1692 0.0 0.0167 0.0153 0.0395 0.0416
7.4 0.020 -1.01 0.005 3.4942 0.0 0.0084 0.0104 0.0269 0.1081
7.4 0.010 -0.87 0.0035 2.9457 0.0 0.0062 0.0067 0.0173 0.1937
7.4 1.000 -1.76 0.2342 3.1827 0.0381 0.0528 0.0202 0.0523 0.0037
7.4 0.551 -1.62 0.0448 4.1526 0.0041 0.0467 0.0195 0.0504 0.0067
7.4 0.221 -1.37 0.0176 4.6267 0.0 0.0276 0.0184 0.0476 0.0164
7.4 0.110 -1.16 0.0097 4.5661 0.0 0.0158 0.0165 0.0428 0.0326
7.4 0.056 -0.94 0.0054 4.1271 0.0 0.0081 0.0136 0.0352 0.0635
7.4 0.023 -0.69 0.0029 3.382 0.0 0.0037 0.0092 0.0238 0.1453
7.4 0.011 -0.52 0.0018 2.7145 0.0 0.0025 0.005 0.013 0.2765
7.4 1.000 -1.52 0.1999 3.4312 0.0339 0.0481 0.0199 0.0516 0.0052
7.4 0.545 -1.37 0.0332 4.465 0.0027 0.039 0.0191 0.0495 0.0095
7.4 0.226 -1.12 0.0131 4.8893 0.0 0.0208 0.0178 0.0461 0.0227
7.4 0.113 -0.91 0.0071 4.7048 0.0 0.0106 0.0157 0.0407 0.0449
7.4 0.056 -0.68 0.0036 3.9668 0.0 0.0044 0.0121 0.0314 0.0896
7.4 0.023 -0.43 0.0019 3.0841 0.0 0.0019 0.0074 0.0191 0.2096
7.4 0.011 -0.26 0.0 2.0449 0.0 0.0012 0.0027 0.007 0.3761
7.7 1.000 -4.01 1.8461 0.053 0.5732 0.0348 0.0232 0.0595 0.0
7.7 0.540 -3.99 2.0602 0.0823 0.4358 0.0419 0.0204 0.0522 0.0
7.7 0.215 -3.97 2.1091 0.1019 0.4152 0.0445 0.0199 0.051 0.0
7.7 0.117 -3.97 2.0943 0.1029 0.4035 0.0442 0.0193 0.0493 0.0
7.7 0.069 -3.97 2.1778 0.1065 0.4152 0.0459 0.0196 0.0501 0.0011
7.7 0.040 -3.97 1.9232 0.093 0.3634 0.0404 0.0171 0.0438 0.0012
7.7 0.014 -3.97 1.4048 0.0688 0.2634 0.0296 0.0126 0.0324 0.0016
7.7 1.000 -3.75 2.1215 0.1894 0.4783 0.052 0.0229 0.0586 0.0
7.7 0.514 -3.71 2.3197 0.3052 0.3496 0.0641 0.0207 0.053 0.001
7.7 0.209 -3.69 2.3274 0.3716 0.3269 0.0673 0.0202 0.0518 0.0014
7.7 0.116 -3.68 2.3073 0.3765 0.3162 0.0667 0.0195 0.05 0.0016
7.7 0.068 -3.68 2.4054 0.392 0.3251 0.0694 0.0199 0.0509 0.0018
7.7 0.040 -3.68 2.118 0.3424 0.2827 0.0608 0.0173 0.0443 0.002
7.7 0.014 -3.68 1.5353 0.2519 0.2032 0.0442 0.0126 0.0325 0.0024
7.7 1.000 -3.5 2.174 0.5718 0.3787 0.0721 0.0225 0.0577 0.0
7.7 0.495 -3.44 2.1883 0.929 0.2521 0.0891 0.0209 0.0535 0.0016
7.7 0.226 -3.41 2.0814 1.0937 0.2294 0.0922 0.0204 0.0522 0.0022
7.7 0.105 -3.39 2.0296 1.1179 0.2166 0.091 0.0195 0.0499 0.0028
7.7 0.061 -3.38 2.1269 1.1756 0.2234 0.0951 0.02 0.0511 0.0032
7.7 0.036 -3.38 1.8422 1.0155 0.1906 0.082 0.017 0.0436 0.0035
7.7 0.013 -3.38 1.2999 0.7289 0.1336 0.0582 0.0121 0.0313 0.004
7.7 1.000 -3.25 1.8426 1.3472 0.2788 0.0936 0.0222 0.0568 0.0012
7.7 0.512 -3.16 1.4666 2.0985 0.1559 0.1134 0.021 0.0536 0.0021
7.7 0.212 -3.08 1.2017 2.4139 0.1302 0.1165 0.0204 0.0524 0.0038
7.7 0.111 -3.05 1.1359 2.4648 0.1212 0.1153 0.0196 0.0504 0.005
7.7 0.050 -3.03 1.0402 2.3269 0.1085 0.107 0.0178 0.0459 0.0062
7.7 0.029 -3.02 1.0933 2.4484 0.1127 0.1122 0.0183 0.0468 0.0072
7.7 0.018 -3.02 0.8861 1.9875 0.0905 0.0908 0.0147 0.0375 0.0073
7.7 1.000 -3.01 1.3678 2.266 0.1997 0.1107 0.0219 0.0561 0.0013
7.7 0.504 -2.87 0.7241 3.3119 0.0839 0.1299 0.021 0.0537 0.0025
7.7 0.203 -2.73 0.4872 3.7127 0.0608 0.1324 0.0205 0.0524 0.0057
7.7 0.101 -2.67 0.4298 3.8026 0.0532 0.1305 0.0195 0.05 0.0093
7.7 0.052 -2.63 0.3831 3.6478 0.0468 0.1225 0.0179 0.0459 0.0125
7.7 0.022 -2.6 0.3158 3.1232 0.038 0.1034 0.0148 0.038 0.015
7.7 0.013 -2.59 0.3229 3.2059 0.0386 0.1059 0.0149 0.0381 0.0171
7.7 1.000 -2.76 1.0123 3.0863 0.1468 0.1187 0.0217 0.0556 0.0015
7.7 0.499 -2.59 0.3495 4.2408 0.0431 0.1319 0.0209 0.0535 0.003
7.7 0.200 -2.39 0.1915 4.68 0.024 0.1261 0.0203 0.052 0.0073
7.7 0.106 -2.28 0.1514 4.8027 0.0181 0.1198 0.0193 0.0495 0.0132
7.7 0.050 -2.19 0.1274 4.81 0.0145 0.1128 0.0178 0.0457 0.0238
7.7 0.023 -2.13 0.1034 4.3115 0.0115 0.0976 0.0149 0.0383 0.0347
7.7 0.013 -2.1 0.091 3.9291 0.01 0.0879 0.0132 0.0338 0.0405
7.7 1.000 -2.51 0.787 3.7506 0.1151 0.1184 0.0215 0.0551 0.0019
7.7 0.504 -2.33 0.2007 4.9229 0.0243 0.1219 0.0208 0.0532 0.0037
7.7 0.205 -2.1 0.0952 5.3679 0.0101 0.1034 0.02 0.0514 0.009
7.7 0.102 -1.93 0.064 5.4802 0.0056 0.0871 0.0186 0.0479 0.0178
7.7 0.050 -1.79 0.0464 5.3383 0.0034 0.0722 0.0163 0.0421 0.0348
7.7 0.020 -1.66 0.0322 4.6201 0.0021 0.0556 0.0121 0.0312 0.0678
7.7 0.010 -1.59 0.0224 3.5211 0.0014 0.0411 0.0084 0.0217 0.0816
7.7 1.000 -2.26 0.6309 4.3269 0.0945 0.1138 0.0212 0.0546 0.0025
7.7 0.512 -2.08 0.1301 5.4999 0.0147 0.108 0.0206 0.0528 0.0048
7.7 0.223 -1.85 0.0585 5.858 0.005 0.0807 0.0196 0.0505 0.011
7.7 0.115 -1.67 0.0368 5.9835 0.0023 0.061 0.0182 0.0469 0.021
7.7 0.055 -1.48 0.0235 5.8472 0.0 0.0432 0.0158 0.0407 0.0433
7.7 0.022 -1.27 0.0138 4.9943 0.0 0.0279 0.0107 0.0276 0.0993
7.7 0.010 -1.15 0.009 3.907 0.0 0.0207 0.0065 0.0168 0.1533
7.7 1.000 -2.06 0.5394 4.7414 0.0831 0.1086 0.0211 0.0542 0.0032
7.7 0.485 -1.86 0.0895 5.9537 0.0092 0.0938 0.0203 0.0521 0.0065
7.7 0.192 -1.6 0.0365 6.2407 0.0023 0.0592 0.0189 0.0486 0.0163
7.7 0.098 -1.41 0.022 6.2149 0.0 0.0396 0.0171 0.044 0.0317
7.7 0.051 -1.22 0.0136 5.7776 0.0 0.0251 0.0141 0.0363 0.0602
7.7 0.020 -0.97 0.0068 4.4821 0.0 0.0136 0.0079 0.0204 0.1452
7.7 0.010 -0.86 0.0048 3.7863 0.0 0.0112 0.0049 0.0127 0.2205
7.7 1.000 -1.75 0.4334 5.3415 0.0703 0.0989 0.0207 0.0535 0.0047
7.7 0.517 -1.57 0.0653 6.5847 0.0059 0.0787 0.0199 0.0513 0.0091
7.7 0.214 -1.32 0.0256 6.7901 0.0012 0.0437 0.0186 0.0477 0.0219
7.7 0.110 -1.12 0.0143 6.464 0.0 0.0248 0.0162 0.0417 0.0422
7.7 0.056 -0.9 0.0079 5.6115 0.0 0.0127 0.0125 0.0322 0.0827
7.7 0.021 -0.61 0.003 3.5269 0.0 0.0051 0.0049 0.0126 0.2056
7.7 0.011 -0.47 0.0017 2.5187 0.0 0.0039 0.0023 0.0058 0.302
7.7 1.000 -1.5 0.3707 5.7885 0.0628 0.0906 0.0204 0.0528 0.0066
7.7 0.558 -1.35 0.0562 7.0953 0.0047 0.0701 0.0197 0.0507 0.0118
7.7 0.230 -1.09 0.02 7.1967 0.0 0.0339 0.018 0.0464 0.0284
7.7 0.108 -0.86 0.0098 6.4698 0.0 0.0153 0.0149 0.0383 0.0598
7.7 0.055 -0.64 0.0051 5.198 0.0 0.0069 0.0106 0.0272 0.1166
7.7 0.022 -0.39 0.0021 3.14 0.0 0.0031 0.0037 0.0094 0.2679
7.7 0.011 -0.21 0.0 1.6308 0.0 0.0018 0.0012 0.003 0.3683
8.0 1.000 -4.0 2.932 0.0781 1.0189 0.0603 0.0233 0.0597 0.0
8.0 0.543 -3.98 3.1221 0.1193 0.7577 0.0708 0.0206 0.0526 0.0
8.0 0.289 -3.98 3.2475 0.1448 0.748 0.0759 0.0206 0.0528 0.0
8.0 0.121 -3.97 3.2275 0.1513 0.7108 0.0753 0.0195 0.0499 0.0
8.0 0.071 -3.97 3.4206 0.1596 0.7419 0.0794 0.02 0.0512 0.0011
8.0 0.041 -3.97 3.0466 0.1405 0.6518 0.0702 0.0174 0.0447 0.0012
