12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
6.9000 5.5300 -1.5000 0.0396 0.1423 0.0534 1.3630 0.0000 0.0056 0.0012 0.0108 0.0000 0.0238
6.9000 5.3300 -1.5000 0.0396 0.1425 0.0535 1.3646 0.0000 0.0035 0.0012 0.0068 0.0000 0.0150
6.9000 5.1300 -1.5000 0.0396 0.1426 0.0536 1.3656 0.0000 0.0022 0.0012 0.0044 0.0000 0.0095
6.9000 4.9300 -1.5000 0.0397 0.1427 0.0536 1.3662 0.0000 0.0014 0.0012 0.0028 0.0000 0.0060
6.9000 4.7300 -1.5000 0.0397 0.1428 0.0537 1.3666 0.0000 0.0000 0.0012 0.0000 0.0000 0.0038
7.0000 6.0300 -4.0000 0.4275 0.0108 0.0000 0.0149 0.0000 0.0030 0.0213 0.5054 0.0094 0.0314
7.0000 5.8300 -4.0000 0.4293 0.0108 0.0000 0.0150 0.0000 0.0019 0.0214 0.3194 0.0095 0.0199
7.0000 5.6300 -4.0000 0.4304 0.0109 0.0000 0.0150 0.0000 0.0012 0.0214 0.2017 0.0095 0.0126
7.0000 5.4300 -4.0000 0.4311 0.0109 0.0000 0.0150 0.0000 0.0000 0.0214 0.1273 0.0095 0.0079
7.0000 5.2300 -4.0000 0.4315 0.0109 0.0000 0.0150 0.0000 0.0000 0.0214 0.0804 0.0095 0.0050
7.0000 5.0300 -4.0000 0.4318 0.0109 0.0000 0.0151 0.0000 0.0000 0.0215 0.0507 0.0095 0.0032
7.0000 4.8300 -4.0000 0.4320 0.0109 0.0000 0.0151 0.0000 0.0000 0.0215 0.0320 0.0095 0.0020
7.0000 6.0300 -3.7500 0.4852 0.0158 0.0000 0.0466 0.0000 0.0047 0.0216 0.4243 0.0115 0.0448
7.0000 5.8300 -3.7500 0.4873 0.0159 0.0000 0.0468 0.0000 0.0030 0.0216 0.2682 0.0116 0.0283
7.0000 5.6300 -3.7500 0.4887 0.0160 0.0000 0.0470 0.0000 0.0019 0.0216 0.1694 0.0117 0.0179
7.0000 5.4300 -3.7500 0.4895 0.0160 0.0000 0.0471 0.0000 0.0012 0.0217 0.1069 0.0117 0.0113
7.0000 5.2300 -3.7500 0.4900 0.0160 0.0000 0.0471 0.0000 0.0000 0.0217 0.0675 0.0117 0.0071
7.0000 5.0300 -3.7500 0.4902 0.0160 0.0000 0.0471 0.0000 0.0000 0.0217 0.0426 0.0117 0.0045
7.0000 4.8300 -3.7500 0.4905 0.0160 0.0000 0.0472 0.0000 0.0000 0.0217 0.0269 0.0117 0.0028
