#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.4, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -1.3750000 	 -2.7500000 	 0.1959000 	 0.0627000 	 0.0127000 	 0.5692000 	 0.0000000 	 0.0034000 	 0.0083000 	 0.0287000 	 0.0052000 	 0.0209000
6.9000000 	 -1.3750000 	 -2.5000000 	 0.1350000 	 0.0768000 	 0.0188000 	 0.7395000 	 0.0000000 	 0.0039000 	 0.0056000 	 0.0206000 	 0.0018000 	 0.0220000
6.9000000 	 -1.3750000 	 -2.2500000 	 0.0940000 	 0.0926000 	 0.0262000 	 0.9069000 	 0.0000000 	 0.0042000 	 0.0039000 	 0.0149000 	 0.0013000 	 0.0217000
6.9000000 	 -1.3750000 	 -2.0000000 	 0.0679000 	 0.1099000 	 0.0350000 	 1.0737000 	 0.0000000 	 0.0042000 	 0.0028000 	 0.0111000 	 0.0000000 	 0.0202000
6.9000000 	 -1.3750000 	 -1.7500000 	 0.0511000 	 0.1286000 	 0.0455000 	 1.2413000 	 0.0000000 	 0.0040000 	 0.0021000 	 0.0086000 	 0.0000000 	 0.0179000
6.9000000 	 -1.3750000 	 -1.5000000 	 0.0402000 	 0.1484000 	 0.0576000 	 1.4095000 	 0.0000000 	 0.0037000 	 0.0017000 	 0.0069000 	 0.0000000 	 0.0154000
6.9000000 	 -1.2500000 	 -4.0000000 	 0.3445000 	 0.0143000 	 0.0000000 	 0.0123000 	 0.0000000 	 0.0000000 	 0.0304000 	 0.1019000 	 0.0077000 	 0.0063000
6.9000000 	 -1.2500000 	 -3.7500000 	 0.3905000 	 0.0208000 	 0.0000000 	 0.0386000 	 0.0000000 	 0.0000000 	 0.0307000 	 0.0855000 	 0.0094000 	 0.0090000
6.9000000 	 -1.2500000 	 -3.5000000 	 0.4028000 	 0.0291000 	 0.0016000 	 0.1064000 	 0.0000000 	 0.0014000 	 0.0281000 	 0.0687000 	 0.0105000 	 0.0122000
6.9000000 	 -1.2500000 	 -3.2500000 	 0.3579000 	 0.0390000 	 0.0040000 	 0.2318000 	 0.0000000 	 0.0020000 	 0.0226000 	 0.0530000 	 0.0100000 	 0.0156000
