#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, S/O: -0.6 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
6.9000 4.9300 -1.5000 0.0251 0.1466 0.0548 1.4238 0.0000 0.0017 0.0000 0.0000 0.0000 0.0071
6.9000 4.7300 -1.5000 0.0256 0.1463 0.0547 1.4208 0.0000 0.0011 0.0000 0.0000 0.0000 0.0045
7.0000 6.0300 -4.0000 0.4425 0.0082 0.0000 0.0209 0.0000 0.0036 0.0185 0.3115 0.0106 0.0344
7.0000 5.8300 -4.0000 0.4449 0.0082 0.0000 0.0210 0.0000 0.0023 0.0185 0.1971 0.0107 0.0217
7.0000 5.6300 -4.0000 0.4463 0.0083 0.0000 0.0211 0.0000 0.0014 0.0185 0.1245 0.0108 0.0137
7.0000 5.4300 -4.0000 0.4472 0.0083 0.0000 0.0211 0.0000 0.0000 0.0186 0.0787 0.0108 0.0087
7.0000 5.2300 -4.0000 0.4478 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0497 0.0108 0.0055
7.0000 5.0300 -4.0000 0.4482 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0313 0.0108 0.0035
7.0000 4.8300 -4.0000 0.4484 0.0083 0.0000 0.0212 0.0000 0.0000 0.0186 0.0198 0.0108 0.0022
7.0000 6.0300 -3.7500 0.4932 0.0135 0.0000 0.0662 0.0000 0.0057 0.0182 0.2549 0.0129 0.0496
7.0000 5.8300 -3.7500 0.4958 0.0136 0.0000 0.0665 0.0000 0.0036 0.0183 0.1612 0.0129 0.0314
7.0000 5.6300 -3.7500 0.4975 0.0137 0.0000 0.0667 0.0000 0.0023 0.0183 0.1019 0.0130 0.0198
7.0000 5.4300 -3.7500 0.4986 0.0137 0.0000 0.0668 0.0000 0.0015 0.0183 0.0643 0.0130 0.0125
7.0000 5.2300 -3.7500 0.4993 0.0137 0.0000 0.0669 0.0000 0.0000 0.0183 0.0406 0.0130 0.0079
7.0000 5.0300 -3.7500 0.4998 0.0137 0.0000 0.0669 0.0000 0.0000 0.0183 0.0257 0.0131 0.0050
7.0000 4.8300 -3.7500 0.5000 0.0137 0.0000 0.0669 0.0000 0.0000 0.0183 0.0162 0.0131 0.0032
7.0000 6.0300 -3.5000 0.5529 0.0225 0.0028 0.1867 0.0000 0.0091 0.0186 0.2429 0.0151 0.0746
7.0000 5.8300 -3.5000 0.5565 0.0226 0.0028 0.1873 0.0000 0.0058 0.0187 0.1538 0.0152 0.0472
7.0000 5.6300 -3.5000 0.5588 0.0227 0.0028 0.1878 0.0000 0.0037 0.0187 0.0972 0.0154 0.0298
7.0000 5.4300 -3.5000 0.5603 0.0228 0.0028 0.1881 0.0000 0.0023 0.0188 0.0614 0.0154 0.0188
7.0000 5.2300 -3.5000 0.5612 0.0228 0.0028 0.1883 0.0000 0.0015 0.0188 0.0388 0.0154 0.0119
7.0000 5.0300 -3.5000 0.5617 0.0229 0.0028 0.1884 0.0000 0.0000 0.0188 0.0245 0.0155 0.0075
7.0000 4.8300 -3.5000 0.5621 0.0229 0.0028 0.1885 0.0000 0.0000 0.0188 0.0155 0.0155 0.0047
7.0000 6.0300 -3.2500 0.4641 0.0312 0.0062 0.3683 0.0000 0.0123 0.0139 0.1820 0.0135 0.0918
7.0000 5.8300 -3.2500 0.4694 0.0313 0.0062 0.3654 0.0000 0.0078 0.0141 0.1159 0.0137 0.0578
7.0000 5.6300 -3.2500 0.4733 0.0313 0.0061 0.3624 0.0000 0.0049 0.0143 0.0737 0.0137 0.0364
7.0000 5.4300 -3.2500 0.4685 0.0317 0.0064 0.3748 0.0000 0.0031 0.0139 0.0457 0.0137 0.0232
7.0000 5.2300 -3.2500 0.4700 0.0317 0.0064 0.3737 0.0000 0.0020 0.0140 0.0290 0.0137 0.0147
7.0000 5.0300 -3.2500 0.4711 0.0317 0.0064 0.3729 0.0000 0.0013 0.0140 0.0183 0.0138 0.0092
7.0000 4.8300 -3.2500 0.4718 0.0317 0.0063 0.3723 0.0000 0.0000 0.0141 0.0116 0.0138 0.0058
7.0000 6.0300 -3.0000 0.3358 0.0406 0.0111 0.5849 0.0000 0.0156 0.0091 0.1303 0.0105 0.1063
7.0000 5.8300 -3.0000 0.3372 0.0409 0.0113 0.5891 0.0000 0.0099 0.0091 0.0823 0.0105 0.0673
7.0000 5.6300 -3.0000 0.3387 0.0411 0.0114 0.5906 0.0000 0.0063 0.0092 0.0521 0.0106 0.0425
7.0000 5.4300 -3.0000 0.3356 0.0414 0.0116 0.5986 0.0000 0.0040 0.0090 0.0325 0.0105 0.0270
7.0000 5.2300 -3.0000 0.3365 0.0414 0.0116 0.5989 0.0000 0.0025 0.0090 0.0206 0.0105 0.0170
7.0000 5.0300 -3.0000 0.3370 0.0415 0.0116 0.5990 0.0000 0.0016 0.0091 0.0130 0.0106 0.0108
7.0000 4.8300 -3.0000 0.3399 0.0414 0.0115 0.5947 0.0000 0.0010 0.0092 0.0083 0.0106 0.0068
7.0000 6.0300 -2.7500 0.2203 0.0510 0.0173 0.8033 0.0000 0.0189 0.0056 0.0898 0.0073 0.1175
7.0000 5.8300 -2.7500 0.2200 0.0515 0.0176 0.8116 0.0000 0.0120 0.0055 0.0565 0.0073 0.0745
7.0000 5.6300 -2.7500 0.2224 0.0515 0.0177 0.8103 0.0000 0.0076 0.0056 0.0359 0.0073 0.0470
7.0000 5.4300 -2.7500 0.2245 0.0515 0.0177 0.8092 0.0000 0.0048 0.0057 0.0228 0.0073 0.0296
7.0000 5.2300 -2.7500 0.2205 0.0519 0.0179 0.8187 0.0000 0.0031 0.0055 0.0142 0.0073 0.0188
7.0000 5.0300 -2.7500 0.2243 0.0517 0.0178 0.8123 0.0000 0.0019 0.0056 0.0091 0.0073 0.0118
7.0000 4.8300 -2.7500 0.2241 0.0518 0.0178 0.8134 0.0000 0.0012 0.0056 0.0058 0.0073 0.0075
7.0000 6.0300 -2.5000 0.1385 0.0622 0.0247 1.0101 0.0000 0.0217 0.0033 0.0599 0.0042 0.1231
7.0000 5.8300 -2.5000 0.1393 0.0626 0.0250 1.0157 0.0000 0.0138 0.0033 0.0380 0.0042 0.0779
7.0000 5.6300 -2.5000 0.1398 0.0629 0.0252 1.0190 0.0000 0.0087 0.0033 0.0239 0.0042 0.0493
7.0000 5.4300 -2.5000 0.1426 0.0628 0.0251 1.0158 0.0000 0.0055 0.0034 0.0153 0.0043 0.0310
7.0000 5.2300 -2.5000 0.1425 0.0630 0.0252 1.0179 0.0000 0.0035 0.0034 0.0097 0.0043 0.0196
7.0000 5.0300 -2.5000 0.1429 0.0630 0.0252 1.0180 0.0000 0.0022 0.0034 0.0061 0.0043 0.0124
7.0000 4.8300 -2.5000 0.1429 0.0631 0.0253 1.0189 0.0000 0.0014 0.0034 0.0039 0.0043 0.0078
7.0000 6.0300 -2.2500 0.0895 0.0740 0.0330 1.2004 0.0000 0.0233 0.0020 0.0403 0.0013 0.1219
7.0000 5.8300 -2.2500 0.0907 0.0744 0.0333 1.2052 0.0000 0.0148 0.0020 0.0257 0.0014 0.0771
7.0000 5.6300 -2.2500 0.0905 0.0748 0.0336 1.2106 0.0000 0.0094 0.0020 0.0162 0.0014 0.0488
7.0000 5.4300 -2.2500 0.0919 0.0749 0.0337 1.2102 0.0000 0.0059 0.0021 0.0103 0.0014 0.0308
7.0000 5.2300 -2.2500 0.0916 0.0750 0.0338 1.2130 0.0000 0.0038 0.0021 0.0065 0.0014 0.0194
