#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.1 70000 -2.25 0.1637 1.3789 0.0231 0.0361 0.0197 0.0506 0.0193
7.1 80000 -2.25 0.1440 1.3488 0.0234 0.0326 0.0184 0.0472 0.0393
7.1 90000 -2.25 0.1326 1.2700 0.0236 0.0297 0.0167 0.0429 0.0665
7.1 30000 -2.00 1.0785 0.4262 0.0350 0.0401 0.0190 0.0488 0.0000
7.1 32500 -2.00 0.8739 0.6701 0.0279 0.0427 0.0209 0.0536 0.0000
7.1 35000 -2.00 0.6861 0.8848 0.0238 0.0445 0.0212 0.0544 0.0000
7.1 37500 -2.00 0.5377 1.0580 0.0213 0.0456 0.0212 0.0546 0.0000
7.1 40000 -2.00 0.4276 1.1929 0.0198 0.0461 0.0212 0.0547 0.0000
7.1 45000 -2.00 0.2894 1.3784 0.0180 0.0460 0.0212 0.0546 0.0000
7.1 50000 -2.00 0.2146 1.4919 0.0173 0.0445 0.0210 0.0542 0.0021
7.1 55000 -2.00 0.1717 1.5614 0.0171 0.0422 0.0207 0.0535 0.0046
7.1 60000 -2.00 0.1457 1.6007 0.0170 0.0396 0.0203 0.0525 0.0088
7.1 70000 -2.00 0.1178 1.6078 0.0172 0.0343 0.0193 0.0497 0.0232
7.1 80000 -2.00 0.1041 1.5328 0.0174 0.0300 0.0177 0.0457 0.0465
7.1 90000 -2.00 0.0961 1.3932 0.0174 0.0265 0.0158 0.0408 0.0774
7.1 30000 -1.75 0.9229 0.6566 0.0240 0.0437 0.0203 0.0522 0.0000
7.1 32500 -1.75 0.6982 0.9285 0.0195 0.0460 0.0211 0.0542 0.0000
7.1 35000 -1.75 0.5236 1.1466 0.0170 0.0475 0.0212 0.0546 0.0000
7.1 37500 -1.75 0.3992 1.3143 0.0155 0.0483 0.0212 0.0548 0.0000
7.1 40000 -1.75 0.3128 1.4431 0.0145 0.0485 0.0212 0.0548 0.0000
7.1 45000 -1.75 0.2099 1.6220 0.0135 0.0472 0.0211 0.0546 0.0010
7.1 50000 -1.75 0.1563 1.7335 0.0132 0.0444 0.0209 0.0540 0.0027
7.1 55000 -1.75 0.1261 1.8013 0.0131 0.0410 0.0205 0.0532 0.0060
7.1 60000 -1.75 0.1078 1.8351 0.0132 0.0374 0.0201 0.0520 0.0113
7.1 70000 -1.75 0.0882 1.8105 0.0133 0.0311 0.0187 0.0485 0.0294
7.1 80000 -1.75 0.0784 1.6729 0.0134 0.0263 0.0169 0.0437 0.0577
7.1 90000 -1.75 0.0725 1.4546 0.0133 0.0227 0.0147 0.0379 0.0938
7.1 30000 -1.50 0.7358 0.8909 0.0165 0.0461 0.0209 0.0538 0.0000
7.1 32500 -1.50 0.5311 1.1635 0.0138 0.0483 0.0211 0.0545 0.0000
7.1 35000 -1.50 0.3883 1.3725 0.0124 0.0495 0.0212 0.0547 0.0000
7.1 37500 -1.50 0.2931 1.5333 0.0115 0.0498 0.0212 0.0549 0.0000
7.1 40000 -1.50 0.2293 1.6582 0.0110 0.0493 0.0212 0.0549 0.0000
7.1 45000 -1.50 0.1551 1.8374 0.0105 0.0466 0.0210 0.0546 0.0014
7.1 50000 -1.50 0.1170 1.9519 0.0104 0.0425 0.0207 0.0539 0.0038
7.1 55000 -1.50 0.0956 2.0197 0.0105 0.0380 0.0203 0.0528 0.0081
7.1 60000 -1.50 0.0826 2.0454 0.0106 0.0339 0.0197 0.0513 0.0152
7.1 70000 -1.50 0.0686 1.9712 0.0107 0.0271 0.0181 0.0469 0.0388
7.1 80000 -1.50 0.0614 1.7486 0.0107 0.0224 0.0159 0.0411 0.0738
7.1 90000 -1.50 0.0569 1.4348 0.0106 0.0189 0.0133 0.0343 0.1156
7.4 30000 -4.00 0.7902 0.0000 0.2867 0.0056 0.0109 0.0278 0.0000
7.4 32500 -4.00 0.8347 0.0000 0.2882 0.0072 0.0132 0.0339 0.0000
7.4 35000 -4.00 0.8734 0.0014 0.2887 0.0088 0.0153 0.0391 0.0000
7.4 37500 -4.00 0.9062 0.0023 0.2887 0.0104 0.0169 0.0433 0.0000
7.4 40000 -4.00 0.9342 0.0035 0.2887 0.0118 0.0182 0.0467 0.0000
7.4 45000 -4.00 0.9781 0.0067 0.2896 0.0142 0.0202 0.0517 0.0000
7.4 50000 -4.00 1.0091 0.0111 0.2920 0.0161 0.0215 0.0550 0.0000
7.4 55000 -4.00 1.0310 0.0161 0.2960 0.0176 0.0224 0.0574 0.0013
7.4 60000 -4.00 1.0447 0.0216 0.3010 0.0186 0.0231 0.0592 0.0026
7.4 70000 -4.00 1.0580 0.0324 0.3134 0.0199 0.0241 0.0616 0.0073
7.4 80000 -4.00 1.0601 0.0418 0.3271 0.0206 0.0246 0.0628 0.0155
7.4 90000 -4.00 1.0568 0.0491 0.3410 0.0209 0.0247 0.0632 0.0268
7.4 30000 -3.75 0.9421 0.0012 0.2806 0.0092 0.0123 0.0315 0.0000
7.4 32500 -3.75 0.9972 0.0025 0.2762 0.0117 0.0149 0.0381 0.0000
7.4 35000 -3.75 1.0445 0.0046 0.2711 0.0142 0.0168 0.0431 0.0000
7.4 37500 -3.75 1.0844 0.0076 0.2663 0.0164 0.0183 0.0469 0.0000
7.4 40000 -3.75 1.1174 0.0115 0.2622 0.0184 0.0194 0.0497 0.0000
7.4 45000 -3.75 1.1650 0.0224 0.2564 0.0217 0.0208 0.0534 0.0000
7.4 50000 -3.75 1.1938 0.0366 0.2538 0.0241 0.0217 0.0557 0.0000
7.4 55000 -3.75 1.2097 0.0531 0.2538 0.0258 0.0223 0.0572 0.0018
7.4 60000 -3.75 1.2143 0.0703 0.2556 0.0270 0.0228 0.0582 0.0036
7.4 70000 -3.75 1.2093 0.1047 0.2622 0.0284 0.0231 0.0592 0.0100
7.4 80000 -3.75 1.1936 0.1340 0.2710 0.0290 0.0231 0.0591 0.0207
7.4 90000 -3.75 1.1760 0.1555 0.2809 0.0291 0.0228 0.0583 0.0354
7.4 30000 -3.50 1.1176 0.0037 0.2675 0.0147 0.0134 0.0343 0.0000
7.4 32500 -3.50 1.1845 0.0079 0.2556 0.0184 0.0162 0.0414 0.0000
7.4 35000 -3.50 1.2388 0.0147 0.2441 0.0219 0.0181 0.0464 0.0000
7.4 37500 -3.50 1.2829 0.0244 0.2344 0.0249 0.0194 0.0497 0.0000
7.4 40000 -3.50 1.3156 0.0372 0.2265 0.0274 0.0202 0.0518 0.0000
7.4 45000 -3.50 1.3518 0.0714 0.2156 0.0314 0.0213 0.0544 0.0000
7.4 50000 -3.50 1.3592 0.1144 0.2096 0.0341 0.0218 0.0559 0.0010
7.4 55000 -3.50 1.3472 0.1617 0.2071 0.0359 0.0222 0.0567 0.0023
7.4 60000 -3.50 1.3227 0.2096 0.2067 0.0372 0.0223 0.0572 0.0045
7.4 70000 -3.50 1.2623 0.2973 0.2100 0.0384 0.0223 0.0571 0.0125
7.4 80000 -3.50 1.2059 0.3640 0.2160 0.0388 0.0219 0.0559 0.0259
7.4 90000 -3.50 1.1606 0.4109 0.2229 0.0387 0.0211 0.0540 0.0440
7.4 30000 -3.25 1.3135 0.0108 0.2437 0.0223 0.0141 0.0362 0.0000
7.4 32500 -3.25 1.3888 0.0240 0.2244 0.0273 0.0172 0.0440 0.0000
7.4 35000 -3.25 1.4443 0.0447 0.2075 0.0317 0.0191 0.0490 0.0000
7.4 37500 -3.25 1.4799 0.0739 0.1943 0.0353 0.0202 0.0517 0.0000
7.4 40000 -3.25 1.4950 0.1110 0.1842 0.0382 0.0208 0.0533 0.0000
7.4 45000 -3.25 1.4792 0.2049 0.1708 0.0424 0.0215 0.0550 0.0000
7.4 50000 -3.25 1.4216 0.3131 0.1634 0.0452 0.0218 0.0558 0.0012
7.4 55000 -3.25 1.3463 0.4190 0.1600 0.0470 0.0219 0.0562 0.0026
7.4 60000 -3.25 1.2701 0.5139 0.1591 0.0480 0.0220 0.0562 0.0051
7.4 70000 -3.25 1.1398 0.6619 0.1613 0.0489 0.0216 0.0554 0.0142
7.4 80000 -3.25 1.0458 0.7600 0.1654 0.0489 0.0209 0.0535 0.0294
7.4 90000 -3.25 0.9801 0.8224 0.1701 0.0484 0.0199 0.0508 0.0503
7.4 30000 -3.00 1.5245 0.0307 0.2092 0.0320 0.0147 0.0377 0.0000
7.4 32500 -3.00 1.5927 0.0680 0.1851 0.0379 0.0180 0.0461 0.0000
7.4 35000 -3.00 1.6237 0.1249 0.1654 0.0428 0.0199 0.0509 0.0000
7.4 37500 -3.00 1.6189 0.2001 0.1512 0.0466 0.0207 0.0531 0.0000
7.4 40000 -3.00 1.5827 0.2899 0.1409 0.0496 0.0212 0.0542 0.0000
7.4 45000 -3.00 1.4549 0.4896 0.1282 0.0537 0.0216 0.0552 0.0000
7.4 50000 -3.00 1.3044 0.6807 0.1217 0.0561 0.0217 0.0556 0.0013
7.4 55000 -3.00 1.1670 0.8421 0.1188 0.0576 0.0217 0.0557 0.0028
7.4 60000 -3.00 1.0546 0.9699 0.1181 0.0583 0.0216 0.0554 0.0055
7.4 70000 -3.00 0.8973 1.1412 0.1197 0.0584 0.0211 0.0541 0.0150
7.4 80000 -3.00 0.8018 1.2364 0.1227 0.0576 0.0202 0.0518 0.0313
7.4 90000 -3.00 0.7412 1.2866 0.1256 0.0566 0.0190 0.0486 0.0538
