#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.0
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
8.1000 -1.4000 -2.0000 0.0125 0.0456 0.5107 2.2219 0.6792 0.2300 4.9231
8.1000 -1.4000 -1.7500 0.0108 0.0748 0.5106 2.2900 0.5500 0.1702 3.4879
8.1000 -1.4000 -1.5000 0.0081 0.0875 0.4003 2.2164 0.3668 0.1078 2.1191
8.1000 -1.4000 -1.2500 0.0057 0.0783 0.2616 1.9706 0.2154 0.0632 1.1293
8.1000 -1.4000 -1.0000 0.0029 0.0582 0.1514 1.5926 0.1271 0.0372 0.5578
8.1000 -1.4000 -0.7500 0.0026 0.0413 0.0878 1.1816 0.1176 0.0250 0.3436
8.1000 -1.4000 -0.5000 0.0030 0.0297 0.0517 0.8081 0.1493 0.0201 0.3233
8.2000 -1.4000 -4.0000 4.2260 0.0000 0.0000 0.8720 0.0033 0.0102 0.1980
8.2000 -1.4000 -3.7500 1.7387 0.0000 0.0000 1.0719 0.0147 0.0208 0.7052
8.2000 -1.4000 -3.5000 0.8577 0.0000 0.0010 1.2761 0.0530 0.0409 2.0322
8.2000 -1.4000 -3.2500 0.4844 0.0000 0.0078 1.4656 0.1399 0.0755 4.0149
8.2000 -1.4000 -3.0000 0.3104 0.0000 0.0308 1.6391 0.2789 0.1286 5.9182
8.2000 -1.4000 -2.7500 0.1831 0.0000 0.0975 1.7978 0.4570 0.1969 7.2588
8.2000 -1.4000 -2.5000 0.0934 0.0067 0.2385 1.9592 0.6437 0.2616 7.7877
8.2000 -1.4000 -2.2500 0.0897 0.0217 0.4377 2.1290 0.7840 0.2943 7.4032
8.2000 -1.4000 -2.0000 0.0887 0.0519 0.5946 2.2785 0.7974 0.2721 6.1496
8.2000 -1.4000 -1.7500 0.0074 0.0874 0.6091 2.3533 0.6589 0.2063 4.3927
8.2000 -1.4000 -1.5000 0.0194 0.1048 0.4873 2.2838 0.4482 0.1341 2.6955
8.2000 -1.4000 -1.2500 0.0037 0.0959 0.3248 2.0322 0.2683 0.0805 1.4540
8.2000 -1.4000 -1.0000 0.0030 0.0728 0.1927 1.6406 0.1613 0.0484 0.7300
8.2000 -1.4000 -0.7500 0.0026 0.0517 0.1129 1.2119 0.1409 0.0325 0.4408
8.2000 -1.4000 -0.5000 0.0025 0.0375 0.0677 0.8274 0.1793 0.0264 0.4147
8.3000 -1.4000 -0.5000 0.0025 0.0473 0.0885 0.8509 0.2127 0.0347 0.5304
8.3000 -1.4000 -4.0000 6.3440 0.0000 0.0000 0.8947 0.0032 0.0112 0.2347
8.3000 -1.4000 -3.7500 2.5428 0.0000 0.0000 1.0977 0.0150 0.0228 0.8341
8.3000 -1.4000 -3.5000 1.1697 0.0000 0.0011 1.3032 0.0546 0.0445 2.3979
8.3000 -1.4000 -3.2500 0.6064 0.0000 0.0079 1.4863 0.1441 0.0812 4.7284
8.3000 -1.4000 -3.0000 0.3631 0.0000 0.0310 1.6562 0.2886 0.1376 6.9840
8.3000 -1.4000 -2.7500 0.2252 0.0010 0.1007 1.8243 0.4835 0.2126 8.6697
8.3000 -1.4000 -2.5000 0.1198 0.0070 0.2542 1.9942 0.6980 0.2875 9.4161
8.3000 -1.4000 -2.2500 0.0837 0.0231 0.4822 2.1776 0.8752 0.3313 9.0800
8.3000 -1.4000 -2.0000 0.0383 0.0576 0.6778 2.3409 0.9167 0.3155 7.6331
8.3000 -1.4000 -1.7500 0.0281 0.1007 0.7102 2.4231 0.7772 0.2461 5.5114
8.3000 -1.4000 -1.5000 0.0058 0.1244 0.5843 2.3585 0.5418 0.1648 3.4214
8.3000 -1.4000 -1.2500 0.0042 0.1169 0.4002 2.1027 0.3317 0.1017 1.8704
8.3000 -1.4000 -1.0000 0.0031 0.0909 0.2442 1.6959 0.2042 0.0628 0.9583
8.3000 -1.4000 -0.7500 0.0028 0.0650 0.1455 1.2475 0.1721 0.0425 0.5759
8.4000 -1.4000 -4.0000 8.6562 0.0000 0.0000 0.9152 0.0030 0.0115 0.2693
8.4000 -1.4000 -3.7500 3.8291 0.0000 0.0000 1.1239 0.0144 0.0237 0.9608
8.4000 -1.4000 -3.5000 1.6438 0.0000 0.0011 1.3336 0.0530 0.0463 2.7677
8.4000 -1.4000 -3.2500 0.8221 0.0000 0.0077 1.5155 0.1402 0.0836 5.4751
8.4000 -1.4000 -3.0000 0.4450 0.0000 0.0294 1.6740 0.2820 0.1405 8.0760
8.4000 -1.4000 -2.7500 0.2775 0.0010 0.0975 1.8449 0.4839 0.2189 10.1374
8.4000 -1.4000 -2.5000 0.1537 0.0069 0.2555 2.0240 0.7199 0.3020 11.1770
8.4000 -1.4000 -2.2500 0.0874 0.0234 0.5076 2.2227 0.9393 0.3594 10.9795
8.4000 -1.4000 -2.0000 0.0768 0.0618 0.7432 2.4031 1.0243 0.3554 9.3880
8.4000 -1.4000 -1.7500 0.0144 0.1137 0.8072 2.4987 0.8987 0.2880 6.8712
8.4000 -1.4000 -1.5000 0.0155 0.1459 0.6845 2.4414 0.6435 0.1995 4.3189
8.4000 -1.4000 -1.2500 0.0049 0.1416 0.4866 2.1830 0.4058 0.1276 2.4029
8.4000 -1.4000 -1.0000 0.0034 0.1128 0.3061 1.7593 0.2561 0.0809 1.2570
8.4000 -1.4000 -0.7500 0.0029 0.0816 0.1874 1.2909 0.2127 0.0557 0.7621
8.4000 -1.4000 -0.5000 0.0026 0.0594 0.1160 0.8816 0.2525 0.0458 0.6839
8.5000 -1.4000 -4.0000 10.3861 0.0000 0.0000 0.9330 0.0027 0.0109 0.2959
8.5000 -1.4000 -3.7500 5.3833 0.0000 0.0000 1.1466 0.0127 0.0230 1.0664
8.5000 -1.4000 -3.5000 2.4180 0.0000 0.0010 1.3623 0.0475 0.0453 3.0940
