#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9 -0.775 -2.5 10.1590 0.0033 0.1060 2.3076 0.0397 0.0794 0.4512
6.9 -0.775 -2.25 7.2435 0.0101 0.1590 2.3876 0.0343 0.0708 0.3388
6.9 -0.775 -2.0 5.4406 0.0212 0.1808 2.4537 0.0245 0.0519 0.2247
6.9 -0.775 -1.75 4.1632 0.0324 0.1654 2.4790 0.0144 0.0325 0.1309
6.9 -0.775 -1.5 3.2907 0.0374 0.1293 2.4431 0.0072 0.0183 0.0667
6.9 -0.775 -1.25 2.6678 0.0346 0.0891 2.3360 0.0033 0.0098 0.0314
6.9 -0.775 -1.0 2.3239 0.0263 0.0556 2.1707 0.0015 0.0053 0.0148
6.9 -0.775 -0.75 2.1513 0.0166 0.0338 1.9938 0.0000 0.0031 0.0076
6.9 -0.775 -0.5 2.4340 0.0100 0.0228 1.9018 0.0000 0.0021 0.0045
6.9 -0.650 -4.0 72.0087 0.0000 0.0000 0.5174 0.0000 0.0087 0.0258
6.9 -0.650 -3.75 73.7054 0.0000 0.0000 0.8298 0.0020 0.0172 0.0805
6.9 -0.650 -3.5 75.8679 0.0000 0.0015 1.2600 0.0071 0.0322 0.2138
6.9 -0.650 -3.25 32.9224 0.0000 0.0069 1.7247 0.0184 0.0513 0.4229
6.9 -0.650 -3.0 24.9743 0.0000 0.0253 2.0390 0.0308 0.0760 0.5381
6.9 -0.650 -2.75 15.7944 0.0000 0.0687 2.2070 0.0385 0.0974 0.5321
6.9 -0.650 -2.5 10.2596 0.0044 0.1387 2.3005 0.0396 0.1055 0.4514
6.9 -0.650 -2.25 7.2771 0.0132 0.2093 2.3866 0.0343 0.0943 0.3392
6.9 -0.650 -2.0 5.4848 0.0275 0.2374 2.4505 0.0245 0.0693 0.2260
6.9 -0.650 -1.75 4.1003 0.0421 0.2175 2.4789 0.0144 0.0435 0.1311
6.9 -0.650 -1.5 3.2758 0.0488 0.1695 2.4428 0.0073 0.0246 0.0672
6.9 -0.650 -1.25 2.6753 0.0453 0.1167 2.3362 0.0033 0.0131 0.0315
6.9 -0.650 -1.0 2.3543 0.0345 0.0728 2.1708 0.0015 0.0070 0.0148
6.9 -0.650 -0.75 2.2186 0.0220 0.0442 1.9940 0.0000 0.0041 0.0075
6.9 -0.650 -0.5 2.3738 0.0132 0.0298 1.9006 0.0000 0.0028 0.0046
6.9 -0.525 -4.0 71.9937 0.0000 0.0000 0.5173 0.0000 0.0116 0.0258
6.9 -0.525 -3.75 73.6893 0.0000 0.0000 0.8298 0.0020 0.0229 0.0804
6.9 -0.525 -3.5 75.8508 0.0000 0.0020 1.2601 0.0071 0.0429 0.2137
6.9 -0.525 -3.25 32.9088 0.0000 0.0092 1.7249 0.0184 0.0684 0.4229
6.9 -0.525 -3.0 25.0497 0.0000 0.0330 2.0270 0.0305 0.1005 0.5346
6.9 -0.525 -2.75 15.8742 0.0000 0.0900 2.2021 0.0384 0.1295 0.5316
6.9 -0.525 -2.5 10.1434 0.0058 0.1844 2.3097 0.0397 0.1410 0.4512
6.9 -0.525 -2.25 7.2839 0.0171 0.2756 2.3870 0.0342 0.1257 0.3394
6.9 -0.525 -2.0 5.4227 0.0361 0.3141 2.4563 0.0245 0.0927 0.2247
6.9 -0.525 -1.75 4.1066 0.0548 0.2858 2.4788 0.0145 0.0584 0.1318
6.9 -0.525 -1.5 3.3027 0.0639 0.2230 2.4446 0.0072 0.0329 0.0668
6.9 -0.525 -1.25 2.6807 0.0594 0.1530 2.3368 0.0033 0.0176 0.0315
6.9 -0.525 -1.0 2.3411 0.0454 0.0953 2.1705 0.0016 0.0095 0.0151
6.9 -0.525 -0.75 2.2277 0.0290 0.0578 1.9939 0.0000 0.0055 0.0075
6.9 -0.525 -0.5 2.3806 0.0174 0.0390 1.9006 0.0000 0.0038 0.0046
6.9 -0.400 -4.0 71.9737 0.0000 0.0000 0.5173 0.0000 0.0154 0.0258
6.9 -0.400 -3.75 73.6678 0.0000 0.0000 0.8298 0.0020 0.0305 0.0804
6.9 -0.400 -3.5 75.8280 0.0000 0.0026 1.2601 0.0071 0.0572 0.2137
6.9 -0.400 -3.25 32.8909 0.0000 0.0122 1.7252 0.0184 0.0911 0.4228
6.9 -0.400 -3.0 25.1880 0.0000 0.0429 2.0196 0.0302 0.1332 0.5323
6.9 -0.400 -2.75 15.8164 0.0012 0.1187 2.2076 0.0384 0.1727 0.5317
