#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.4 45000 -3.50 1.3925 0.1422 0.1789 0.0398 0.0220 0.0563 0.0000
7.4 50000 -3.51 1.3314 0.2392 0.1821 0.0412 0.0224 0.0573 0.0000
7.4 55000 -3.51 1.3496 0.2647 0.1763 0.0433 0.0228 0.0583 0.0000
7.4 60000 -3.50 1.2419 0.3784 0.2005 0.0407 0.0225 0.0575 0.0013
7.4 30000 -3.27 0.7272 0.0000 0.1738 0.0086 0.0012 0.0031 0.0000
7.4 32500 -3.28 1.1382 0.0012 0.2211 0.0177 0.0042 0.0108 0.0000
7.4 35000 -3.27 1.4334 0.0151 0.2122 0.0290 0.0115 0.0296 0.0000
7.4 37500 -3.27 1.4971 0.0768 0.1770 0.0375 0.0189 0.0485 0.0000
7.4 40000 -3.27 1.4302 0.2957 0.1433 0.0472 0.0214 0.0548 0.0000
7.4 45000 -3.26 1.3966 0.4333 0.1315 0.0519 0.0219 0.0560 0.0000
7.4 50000 -3.26 1.2226 0.6279 0.1343 0.0530 0.0221 0.0565 0.0000
7.4 55000 -3.26 1.2121 0.6970 0.1286 0.0552 0.0223 0.0572 0.0000
7.4 60000 -3.26 1.0439 0.8486 0.1500 0.0523 0.0220 0.0561 0.0014
7.4 30000 -3.04 0.7825 0.0000 0.1472 0.0134 0.0013 0.0033 0.0000
7.4 32500 -3.05 1.3111 0.0041 0.1852 0.0264 0.0045 0.0115 0.0000
7.4 35000 -3.03 1.6034 0.0318 0.1735 0.0373 0.0082 0.0211 0.0000
7.4 37500 -3.03 1.6230 0.2460 0.1322 0.0497 0.0197 0.0504 0.0000
7.4 40000 -3.02 1.2883 0.7226 0.1019 0.0591 0.0214 0.0548 0.0000
7.4 45000 -3.02 1.1817 0.9354 0.0940 0.0631 0.0218 0.0557 0.0000
7.4 50000 -3.02 0.9528 1.1878 0.0962 0.0637 0.0218 0.0559 0.0000
7.4 55000 -3.02 0.9366 1.2741 0.0931 0.0654 0.0219 0.0563 0.0000
7.4 60000 -3.01 0.7661 1.4427 0.1080 0.0623 0.0215 0.0549 0.0016
7.4 30000 -2.79 0.7979 0.0000 0.1131 0.0183 0.0015 0.0038 0.0000
7.4 32500 -2.79 1.4411 0.0162 0.1389 0.0355 0.0050 0.0128 0.0000
7.4 35000 -2.79 1.8226 0.1705 0.1261 0.0518 0.0131 0.0337 0.0000
7.4 37500 -2.79 1.5578 0.5628 0.0959 0.0604 0.0203 0.0519 0.0000
7.4 40000 -2.78 1.0527 1.2123 0.0739 0.0684 0.0214 0.0548 0.0000
7.4 45000 -2.77 0.9287 1.4769 0.0686 0.0717 0.0216 0.0554 0.0000
7.4 50000 -2.77 0.7192 1.7315 0.0711 0.0706 0.0216 0.0553 0.0000
7.4 55000 -2.77 0.7107 1.8279 0.0699 0.0718 0.0217 0.0557 0.0000
7.4 60000 -2.78 0.5786 1.9588 0.0819 0.0668 0.0211 0.0541 0.0018
7.4 30000 -2.54 0.7861 0.0028 0.0839 0.0218 0.0018 0.0046 0.0000
7.4 32500 -2.55 1.4857 0.0453 0.1039 0.0416 0.0058 0.0149 0.0000
7.4 35000 -2.55 1.8162 0.3584 0.0940 0.0601 0.0146 0.0375 0.0000
7.4 37500 -2.54 1.3855 0.9207 0.0701 0.0683 0.0206 0.0529 0.0000
7.4 40000 -2.53 0.8442 1.6552 0.0554 0.0745 0.0213 0.0546 0.0000
7.4 45000 -2.53 0.7400 1.9311 0.0532 0.0764 0.0215 0.0551 0.0000
7.4 50000 -2.53 0.5650 2.1705 0.0561 0.0729 0.0214 0.0549 0.0011
7.4 55000 -2.53 0.5602 2.2895 0.0558 0.0738 0.0214 0.0552 0.0000
7.4 60000 -2.53 0.4531 2.4059 0.0653 0.0669 0.0208 0.0533 0.0021
7.4 30000 -2.29 0.7646 0.0082 0.0616 0.0239 0.0022 0.0057 0.0000
7.4 32500 -2.29 1.4848 0.0967 0.0776 0.0459 0.0069 0.0177 0.0000
7.4 35000 -2.29 1.7252 0.5832 0.0701 0.0663 0.0164 0.0421 0.0000
