#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
8.00 -1.250 -2.25 0.0636 0.0191 0.2573 0.0070 0.0094 0.2235 0.1979 0.2832 0.7631 0.0779 0.9113 0.0022 0.0011
8.00 -1.375 -2.25 0.0635 0.0191 0.2576 0.0070 0.0094 0.2238 0.1983 0.2836 0.7642 0.0585 0.9126 0.0017 0.0000
8.00 -1.625 -2.25 0.0635 0.0191 0.2580 0.0070 0.0094 0.2242 0.1987 0.2840 0.7657 0.0330 0.9143 0.0015 0.0000
8.00 -1.750 -2.25 0.0634 0.0191 0.2581 0.0070 0.0094 0.2243 0.1988 0.2841 0.7662 0.0247 0.9148 0.0011 0.0000
8.00 -1.250 -2.50 0.0641 0.0193 0.1445 0.0071 0.0149 0.2124 0.2039 0.2945 0.6811 0.0737 0.8252 0.0033 0.0011
8.00 -1.375 -2.50 0.0641 0.0193 0.1447 0.0071 0.0149 0.2127 0.2042 0.2948 0.6820 0.0554 0.8262 0.0025 0.0011
8.00 -1.500 -2.50 0.0641 0.0193 0.1449 0.0071 0.0149 0.2128 0.2045 0.2950 0.6827 0.0415 0.8270 0.0019 0.0000
8.00 -1.625 -2.50 0.0640 0.0193 0.1449 0.0071 0.0149 0.2130 0.2046 0.2952 0.6832 0.0312 0.8276 0.0014 0.0000
8.00 -1.750 -2.50 0.0640 0.0193 0.1450 0.0071 0.0149 0.2131 0.2047 0.2953 0.6835 0.0234 0.8280 0.0011 0.0000
8.00 -1.250 -2.75 0.0647 0.0195 0.0716 0.0072 0.0238 0.1976 0.1995 0.2907 0.5676 0.0650 0.6949 0.0051 0.0016
8.00 -1.375 -2.75 0.0646 0.0195 0.0717 0.0072 0.0237 0.1978 0.1998 0.2909 0.5682 0.0488 0.6957 0.0038 0.0012
8.00 -1.625 -2.75 0.0646 0.0194 0.0718 0.0071 0.0237 0.1981 0.2001 0.2913 0.5691 0.0275 0.6967 0.0022 0.0000
8.00 -1.750 -2.75 0.0646 0.0194 0.0719 0.0071 0.0237 0.1981 0.2002 0.2914 0.5694 0.0206 0.6971 0.0016 0.0000
8.10 -1.250 -2.50 0.0651 0.0196 0.1678 0.0072 0.0200 0.2579 0.2485 0.3634 0.8238 0.0905 0.9946 0.0042 0.0013
8.10 -1.375 -2.50 0.0651 0.0196 0.1681 0.0072 0.0200 0.2583 0.2488 0.3638 0.8249 0.0679 0.9958 0.0031 0.0013
8.10 -1.500 -2.50 0.0651 0.0196 0.1682 0.0072 0.0200 0.2585 0.2491 0.3641 0.8257 0.0510 0.9968 0.0023 0.0010
8.10 -1.500 -2.75 0.0656 0.0198 0.0828 0.0073 0.0317 0.2397 0.2437 0.3589 0.6850 0.0447 0.8373 0.0036 0.0011
8.10 -1.625 -2.75 0.0655 0.0198 0.0828 0.0073 0.0316 0.2398 0.2439 0.3591 0.6856 0.0336 0.8380 0.0027 0.0011
8.10 -1.750 -2.75 0.0655 0.0198 0.0829 0.0073 0.0316 0.2399 0.2440 0.3592 0.6859 0.0252 0.8384 0.0020 0.0000
8.10 -1.250 -3.00 0.0661 0.0200 0.0357 0.0073 0.0491 0.2139 0.2260 0.3357 0.5003 0.0621 0.6166 0.0095 0.0030
8.10 -1.375 -3.00 0.0660 0.0199 0.0357 0.0073 0.0491 0.2142 0.2263 0.3360 0.5010 0.0467 0.6175 0.0072 0.0022
8.10 -1.500 -3.00 0.0660 0.0199 0.0358 0.0073 0.0490 0.2145 0.2266 0.3363 0.5016 0.0350 0.6182 0.0054 0.0017
8.10 -1.750 -3.00 0.0660 0.0199 0.0358 0.0073 0.0490 0.2147 0.2269 0.3367 0.5023 0.0197 0.6190 0.0030 0.0011
8.20 -1.000 -2.50 0.0664 0.0201 0.1890 0.0074 0.0274 0.3091 0.3000 0.4457 0.9839 0.1957 1.1819 0.0092 0.0029
8.20 -1.125 -2.50 0.0663 0.0200 0.1894 0.0074 0.0273 0.3098 0.3009 0.4465 0.9861 0.1470 1.1846 0.0069 0.0022
8.20 -1.500 -2.50 0.0662 0.0200 0.1902 0.0074 0.0273 0.3110 0.3022 0.4479 0.9900 0.0622 1.1893 0.0029 0.0012
8.20 -1.000 -2.75 0.0668 0.0202 0.0920 0.0074 0.0431 0.2847 0.2930 0.4382 0.8101 0.1702 0.9877 0.0141 0.0044
8.20 -1.125 -2.75 0.0667 0.0202 0.0922 0.0074 0.0431 0.2854 0.2938 0.4391 0.8121 0.1279 0.9901 0.0106 0.0033
8.20 -1.250 -2.75 0.0667 0.0202 0.0924 0.0074 0.0430 0.2859 0.2944 0.4397 0.8136 0.0961 0.9919 0.0080 0.0025
8.20 -1.375 -2.75 0.0667 0.0202 0.0926 0.0074 0.0430 0.2863 0.2949 0.4402 0.8147 0.0721 0.9933 0.0060 0.0019
8.20 -1.500 -2.75 0.0666 0.0201 0.0927 0.0074 0.0430 0.2866 0.2952 0.4406 0.8156 0.0541 0.9943 0.0045 0.0014
8.20 -1.000 -3.00 0.0672 0.0204 0.0394 0.0075 0.0659 0.2523 0.2723 0.4101 0.5862 0.1316 0.7216 0.0211 0.0066
8.20 -1.125 -3.00 0.0671 0.0203 0.0396 0.0075 0.0659 0.2530 0.2732 0.4111 0.5879 0.0990 0.7237 0.0159 0.0049
8.20 -1.250 -3.00 0.0671 0.0203 0.0397 0.0075 0.0659 0.2535 0.2739 0.4118 0.5892 0.0744 0.7252 0.0119 0.0037
8.20 -1.500 -3.00 0.0670 0.0203 0.0398 0.0075 0.0659 0.2542 0.2747 0.4127 0.5909 0.0420 0.7274 0.0067 0.0021
8.30 -1.000 -2.50 0.0677 0.0205 0.2038 0.0076 0.0389 0.3654 0.3611 0.5453 1.1632 0.2357 1.3877 0.0116 0.0036
