#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
7.00 -2.000 -1.75 0.0561 0.0164 0.0710 0.0060 0.0000 0.0266 0.0159 0.0211 0.0995 0.0012 0.1191 0.0000 0.0000
7.00 -0.250 -2.00 0.0581 0.0171 0.0550 0.0063 0.0000 0.0256 0.0181 0.0244 0.0925 0.0742 0.1118 0.0016 0.0010
7.00 -0.375 -2.00 0.0579 0.0170 0.0549 0.0063 0.0000 0.0257 0.0182 0.0244 0.0928 0.0556 0.1121 0.0012 0.0000
7.00 -0.500 -2.00 0.0577 0.0170 0.0548 0.0063 0.0000 0.0257 0.0182 0.0245 0.0930 0.0417 0.1123 0.0018 0.0000
7.00 -0.625 -2.00 0.0576 0.0169 0.0547 0.0062 0.0000 0.0257 0.0183 0.0245 0.0931 0.0313 0.1124 0.0013 0.0000
7.00 -0.750 -2.00 0.0575 0.0169 0.0547 0.0062 0.0000 0.0257 0.0183 0.0245 0.0932 0.0235 0.1125 0.0010 0.0000
7.00 -0.875 -2.00 0.0575 0.0169 0.0546 0.0062 0.0000 0.0257 0.0183 0.0246 0.0933 0.0176 0.1126 0.0000 0.0000
7.00 -1.000 -2.00 0.0574 0.0168 0.0546 0.0062 0.0000 0.0258 0.0183 0.0246 0.0934 0.0132 0.1127 0.0000 0.0000
7.00 -1.125 -2.00 0.0574 0.0168 0.0545 0.0062 0.0000 0.0258 0.0183 0.0246 0.0934 0.0099 0.1127 0.0000 0.0000
7.00 -1.250 -2.00 0.0573 0.0168 0.0545 0.0062 0.0000 0.0258 0.0184 0.0246 0.0935 0.0074 0.1127 0.0000 0.0000
7.00 -1.375 -2.00 0.0573 0.0168 0.0545 0.0062 0.0000 0.0258 0.0184 0.0246 0.0935 0.0056 0.1128 0.0000 0.0000
7.00 -1.675 -2.00 0.0576 0.0169 0.0547 0.0062 0.0000 0.0257 0.0183 0.0245 0.0932 0.0028 0.1125 0.0000 0.0000
7.00 -1.750 -2.00 0.0573 0.0168 0.0545 0.0062 0.0000 0.0258 0.0184 0.0246 0.0935 0.0024 0.1128 0.0000 0.0000
7.00 0.000 -2.25 0.0592 0.0175 0.0375 0.0064 0.0000 0.0247 0.0201 0.0275 0.0854 0.1383 0.1039 0.0040 0.0013
7.00 -0.125 -2.25 0.0590 0.0174 0.0375 0.0064 0.0000 0.0247 0.0202 0.0275 0.0857 0.1038 0.1042 0.0030 0.0016
7.00 -0.250 -2.25 0.0589 0.0174 0.0375 0.0064 0.0000 0.0248 0.0202 0.0275 0.0859 0.0779 0.1044 0.0023 0.0012
7.00 -0.375 -2.25 0.0588 0.0173 0.0375 0.0064 0.0000 0.0248 0.0203 0.0276 0.0860 0.0585 0.1046 0.0017 0.0000
7.00 -0.500 -2.25 0.0586 0.0173 0.0374 0.0064 0.0000 0.0248 0.0203 0.0276 0.0862 0.0438 0.1047 0.0013 0.0000
7.00 -0.625 -2.25 0.0586 0.0173 0.0374 0.0064 0.0000 0.0248 0.0203 0.0276 0.0863 0.0329 0.1048 0.0016 0.0000
7.00 -0.750 -2.25 0.0585 0.0172 0.0374 0.0063 0.0000 0.0248 0.0203 0.0276 0.0863 0.0247 0.1048 0.0012 0.0000
7.00 -0.875 -2.25 0.0585 0.0172 0.0374 0.0063 0.0000 0.0248 0.0203 0.0276 0.0864 0.0185 0.1049 0.0000 0.0000
7.00 -1.250 -2.25 0.0584 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0078 0.1050 0.0000 0.0000
7.00 -1.375 -2.25 0.0584 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0059 0.1050 0.0000 0.0000
7.00 -1.500 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0044 0.1050 0.0000 0.0000
7.00 -1.675 -2.25 0.0585 0.0172 0.0374 0.0063 0.0000 0.0248 0.0203 0.0276 0.0863 0.0029 0.1048 0.0000 0.0000
7.00 -1.750 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0248 0.0204 0.0276 0.0865 0.0025 0.1050 0.0000 0.0000
7.00 -1.875 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0249 0.0204 0.0276 0.0865 0.0019 0.1050 0.0000 0.0000
7.00 -2.000 -2.25 0.0583 0.0172 0.0374 0.0063 0.0000 0.0249 0.0204 0.0276 0.0865 0.0014 0.1050 0.0000 0.0000
7.10 -0.250 -1.75 0.0569 0.0167 0.0891 0.0062 0.0000 0.0334 0.0201 0.0268 0.1243 0.0861 0.1489 0.0015 0.0011
7.10 -0.375 -1.75 0.0569 0.0167 0.0891 0.0061 0.0000 0.0334 0.0201 0.0268 0.1243 0.0646 0.1489 0.0012 0.0000
7.10 -0.500 -1.75 0.0569 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1243 0.0484 0.1489 0.0020 0.0000
7.10 -0.625 -1.75 0.0568 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0363 0.1489 0.0015 0.0000
7.10 -0.750 -1.75 0.0568 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0272 0.1490 0.0011 0.0000
7.10 -0.875 -1.75 0.0568 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0204 0.1490 0.0000 0.0000
7.10 -1.000 -1.75 0.0568 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0153 0.1490 0.0000 0.0000
7.10 -1.125 -1.75 0.0568 0.0167 0.0890 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0115 0.1490 0.0000 0.0000
7.10 -1.250 -1.75 0.0568 0.0167 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0086 0.1490 0.0000 0.0000
7.10 -1.375 -1.75 0.0568 0.0167 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0065 0.1490 0.0000 0.0000
7.10 -1.500 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0049 0.1490 0.0000 0.0000
7.10 -1.625 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0036 0.1490 0.0000 0.0000
7.10 -1.750 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0027 0.1490 0.0000 0.0000
7.10 -1.875 -1.75 0.0568 0.0166 0.0889 0.0061 0.0000 0.0334 0.0201 0.0268 0.1244 0.0021 0.1490 0.0000 0.0000
7.10 0.000 -2.00 0.0583 0.0172 0.0679 0.0063 0.0000 0.0322 0.0231 0.0311 0.1163 0.1687 0.1405 0.0036 0.0012
7.10 -0.125 -2.00 0.0579 0.0170 0.0676 0.0063 0.0000 0.0324 0.0233 0.0313 0.1171 0.1266 0.1413 0.0027 0.0017
7.10 -0.250 -2.00 0.0579 0.0170 0.0676 0.0063 0.0000 0.0324 0.0233 0.0313 0.1171 0.0949 0.1413 0.0021 0.0013
7.10 -0.375 -2.00 0.0578 0.0170 0.0676 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0712 0.1413 0.0015 0.0000
7.10 -0.500 -2.00 0.0578 0.0170 0.0676 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0534 0.1413 0.0012 0.0000
7.10 -0.875 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0225 0.1414 0.0000 0.0000
7.10 -1.000 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0169 0.1414 0.0000 0.0000
7.10 -1.125 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0127 0.1414 0.0000 0.0000
7.10 -1.500 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0053 0.1414 0.0000 0.0000
7.10 -1.625 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0040 0.1414 0.0000 0.0000
7.10 -1.750 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0030 0.1414 0.0000 0.0000
7.10 -1.875 -2.00 0.0578 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0023 0.1414 0.0000 0.0000
7.10 -2.000 -2.00 0.0577 0.0170 0.0675 0.0063 0.0000 0.0324 0.0233 0.0313 0.1172 0.0017 0.1414 0.0000 0.0000
